,Universal_male,Universal_female,tuple,Health_male,Health_female,Services_male,Services_female,average_male,average_female,female-male
38,-1.5880527,-1.3747844,"('kind', 'unkind')",-2.6791308,-2.5309844,-2.7567217,-2.4910212,-2.3413016,-2.1322633,0.2090383
13,-1.5833669,-1.6318552,"('helpful', 'unhelpful')",-1.5813158,-1.7405539,-3.4941363,-3.4087784,-2.2196064,-2.2603958,-0.0407894
105,-1.5819789,-1.6409242,"('conventional', 'modern')",-0.6457773,-0.38869527,-0.8720866,-0.8876015,-1.0332809,-0.972407,0.0608739
107,1.5785778,1.6468112,"('conventional', 'modern')",0.46722645,0.4581787,-0.5760403,-0.5365312,0.4899213,0.5228196,0.0328983
28,-1.5748705,-1.4401351,"('honest', 'dishonest')",-1.3735565,-1.402355,-2.0890431,-2.0122137,-1.6791566,-1.6182346,0.060922
14,1.5468928,1.3163246,"('supportive', 'unsupportive')",-1.4098067,-1.5497266,-0.81557304,-1.0024071,-0.2261623,-0.4119364,-0.1857741
109,1.5229142,1.5425221,"('conservative', 'liberal')",1.9178655,1.8012807,0.42947862,0.42285255,1.2900861,1.2555518,-0.0345343
108,1.5229142,1.5425221,"('conservative', 'liberal')",1.9178655,1.8012807,0.42947862,0.42285255,1.2900861,1.2555518,-0.0345343
58,-1.4767925,-1.1507258,"('able', 'clumsy')",-1.0146544,-0.95100236,-1.9331657,-1.6732321,-1.4748708,-1.2583201,0.2165507
46,1.4604728,1.5374072,"('generous', 'stingy')",1.0394344,1.1612793,0.8734084,0.91218686,1.1244385,1.2036245,0.079186
29,-1.4343672,-1.5584035,"('honest', 'immoral')",-0.6831671,-0.7778778,-1.6853487,-1.8605052,-1.2676276,-1.3989288,-0.1313012
88,1.399317,1.2638439,"('impulsive', 'meek')",0.45823333,0.40681654,1.8127391,1.8035607,1.2234298,1.1580737,-0.0653561
26,1.3942702,1.4495373,"('trustworthy', 'untrustworthy')",0.38182366,0.3459624,-0.42344028,-0.48886764,0.4508845,0.435544,-0.0153405
8,-1.3725249,-1.558509,"('open', 'distant')",-1.1615669,-1.0727255,0.5817198,0.48190713,-0.6507906,-0.7164425,-0.0656519
99,-1.3360546,-1.4278849,"('prestigious', 'insignificant')",-1.8771632,-1.6128066,0.9965351,1.1594312,-0.7388942,-0.6270867,0.1118075
63,-1.2947843,-1.3490691,"('capable', 'incapable')",-0.48439378,-0.6293658,-0.5883218,-0.69402605,-0.7891666,-0.8908203,-0.1016537
15,1.2701902,1.313678,"('polite', 'impolite')",0.9661789,0.9220848,-0.07799788,0.028121352,0.7194571,0.754628,0.0351709
97,-1.2189192,-1.0507346,"('superior', 'inferior')",-1.4807854,-1.3852739,-0.4412992,-0.40161496,-1.0470013,-0.9458745,0.1011268
31,-1.1866772,-1.273649,"('altruistic', 'egoistic')",-0.9646871,-0.70350957,-0.862207,-0.6191016,-1.0045238,-0.86542,0.1391038
78,1.1639941,0.8828775,"('active', 'inactive')",-0.08787882,-0.1671602,1.3720936,1.0546747,0.8160696,0.5901307,-0.2259389
106,-1.1511743,-0.9837391,"('conventional', 'unconventional')",-0.29862982,-0.3964581,-0.11331634,-0.09159658,-0.5210401,-0.4905979,0.0304422
16,1.0646937,1.2634201,"('social', 'antisocial')",0.12018961,0.118481785,-0.95266426,-0.85524005,0.0774064,0.1755539,0.0981475
93,1.0342314,1.1481849,"('dominating', 'dominated')",1.0381573,0.896279,-0.04266721,-0.081279755,0.6765738,0.6543947,-0.0221791
49,-1.0149813,-1.1688483,"('responsible', 'irresponsible')",-1.0162113,-1.2501893,-1.8501934,-2.0792723,-1.2937953,-1.4994367,-0.2056414
98,-0.993743,-1.0994328,"('prestigious', 'insignificant')",-0.9332038,-0.79730093,0.6121701,0.5601676,-0.4382589,-0.4455221,-0.0072632
103,0.98527354,1.034495,"('traditional', 'modern')",2.2623336,2.2203307,0.87421095,0.9379681,1.3739394,1.3975979,0.0236585
70,0.9482931,0.7230253,"('wise', 'unwise')",-0.42525136,-0.2776423,-0.37390745,-0.22995055,0.0497114,0.0718108,0.0220994
81,0.88772535,0.7615094,"('industrious', 'lazy')",-0.21131074,-0.20548612,1.2418962,1.1596451,0.6394369,0.5718895,-0.0675474
84,-0.85452926,-1.0229025,"('self-confident', 'diffident')",-2.682856,-2.6820798,-0.39090323,-0.6189716,-1.3094296,-1.4413179,-0.1318883
52,0.85136366,0.94893235,"('competitive', 'uncompetitive')",0.39474916,0.2945735,-1.6236938,-1.6916325,-0.1258603,-0.1493756,-0.0235153
24,-0.8342221,-0.7871683,"('thoughtful', 'rough')",-0.24614312,-0.18697262,-0.5472726,-0.5610686,-0.542546,-0.5117365,0.0308095
102,-0.832089,-0.81752867,"('eminent', 'low')",-0.29399025,-0.3155308,-0.7516811,-0.4810942,-0.6259201,-0.5380512,0.0878689
51,0.8107664,0.67204463,"('competent', 'incompetent')",-0.49019143,-0.67050195,-2.5979652,-2.6128986,-0.7591301,-0.8704519,-0.1113218
87,-0.79397196,-0.8577273,"('dedicated', 'undedicated')",-0.4912004,-0.46497816,-1.9766495,-1.8179691,-1.0872739,-1.0468915,0.0403824
60,0.78471166,1.0422363,"('educated', 'uneducated')",0.95423204,1.0429562,-0.35454863,0.07304467,0.461465,0.7194125,0.2579475
76,0.7726886,0.902495,"('secure', 'insecure')",0.9948346,0.91250604,0.09961967,-0.09336388,0.622381,0.573879,-0.048502
55,-0.76145214,-0.8550339,"('intelligent', 'unintelligent')",-0.17709383,-0.26025957,-0.19641119,-0.2099348,-0.378319,-0.4417428,-0.0634238
92,-0.7371311,-0.8950004,"('unwavering', 'wavering')",-1.0172529,-1.0229039,-0.06812179,0.07679224,-0.6075019,-0.613704,-0.0062021
71,0.7335222,0.5977198,"('efficient', 'inefficient')",1.0736911,0.7766826,-2.1932652,-2.3872523,-0.128684,-0.3376166,-0.2089326
21,0.71712714,0.6383879,"('nice', 'nasty')",-0.25087988,-0.47731453,0.05399841,-0.26799607,0.1734152,-0.0356409,-0.2090561
96,0.69879484,0.6789826,"('powerful', 'powerless')",-0.39244187,-0.41949207,0.1162388,0.17198148,0.1408639,0.143824,0.0029601
69,-0.6728808,-0.66823053,"('wise', 'foolish')",-1.8478694,-1.6298013,-0.32645425,-0.2644197,-0.9490681,-0.8541505,0.0949176
62,-0.61586404,-0.8310806,"('creative', 'uncreative')",-0.47049227,-0.26318774,-0.7397859,-0.7031885,-0.6087141,-0.5991522,0.0095619
45,-0.6117429,-0.56276196,"('cooperative', 'exploitative')",0.30841237,0.16527948,-0.89444447,-0.9477563,-0.3992583,-0.4484129,-0.0491546
64,0.611192,0.5199467,"('clever', 'incompetent')",0.77199584,0.58969796,-1.2568398,-1.2451607,0.042116,-0.045172,-0.087288
101,-0.6079849,-0.6526879,"('successful', 'unsuccessful')",-0.99550664,-1.0150849,-1.5923803,-1.5846562,-1.0652906,-1.084143,-0.0188524
80,0.58589536,0.61881924,"('independent', 'dependent')",1.2977545,1.2611009,1.2422193,1.0392039,1.0419564,0.9730414,-0.068915
25,0.57131445,0.6380721,"('moral', 'immoral')",-0.60793155,-0.8349019,-1.0834653,-1.2744999,-0.3733608,-0.4904432,-0.1170824
43,-0.56520915,-0.59613544,"('genuine', 'fake')",-0.49017674,-0.38319984,-1.1306248,-1.154748,-0.7286702,-0.7113611,0.0173091
68,-0.48659053,-0.73169625,"('clever', 'inept')",-0.5995548,-0.9450475,-1.1191678,-1.3077735,-0.7351044,-0.994839,-0.2597346
83,0.485182,0.46964878,"('energetic', 'lethargic')",0.75474775,0.72588944,-1.7548764,-1.6946771,-0.1716489,-0.1663796,0.0052693
72,-0.48485583,-0.3832083,"('logical', 'illogical')",-0.712168,-0.44934613,-1.4471173,-1.1490002,-0.8813804,-0.6605182,0.2208622
41,-0.47564423,-0.3636037,"('incorrupt', 'corrupt')",0.47934315,0.73505425,1.2745936,1.6617494,0.4260975,0.6777333,0.2516358
2,0.45512342,0.5563811,"('friendly', 'unfriendly')",0.58748305,0.41439855,-1.4482915,-1.3950808,-0.1352284,-0.1414337,-0.0062053
110,0.44831482,0.51194274,"('narrow-minded', 'open-minded')",0.63496774,0.5762866,0.3051892,0.080166906,0.4628239,0.3894655,-0.0733584
9,-0.4256674,-0.3881687,"('sensitive', 'insensitive')",-0.16512,-0.38597554,-1.4325736,-1.5790966,-0.6744537,-0.7844136,-0.1099599
39,-0.42432362,-0.45516422,"('right', 'wrong')",-0.94324577,-0.8191263,-0.16383955,-0.043324918,-0.5104697,-0.4392052,0.0712645
44,-0.41621512,-0.63719684,"('truthful', 'untruthful')",-1.0450749,-1.1294609,-1.0137355,-0.98088247,-0.8250086,-0.9158467,-0.0908381
89,0.40327218,0.34616682,"('daring', 'anxious')",1.4874247,1.2653182,-0.7685201,-0.8410495,0.3740589,0.2568118,-0.1172471
18,0.3756997,0.5008983,"('social', 'asocial')",-0.6594102,-0.6324192,-0.7656715,-0.770449,-0.349794,-0.3006566,0.0491374
5,0.34369385,0.2500832,"('pleasant', 'repellent')",1.428851,1.2735538,-0.050538518,-0.37507707,0.5740021,0.3828533,-0.1911488
12,0.34146672,0.31262642,"('sympathetic', 'unsympathetic')",-0.051341772,-0.30023667,-2.138866,-2.1428819,-0.616247,-0.7101641,-0.0939171
35,0.32965854,0.41649544,"('fair', 'unfair')",-0.03506306,0.12709892,0.9765778,0.91540724,0.4237244,0.4863338,0.0626094
54,0.32676178,0.20659198,"('smart', 'stupid')",0.103111684,0.0067638755,0.5776021,0.4964748,0.3358252,0.2366102,-0.099215
85,-0.3215763,-0.29133093,"('ambitious', 'unambitious')",-0.27564633,-0.30371156,-0.56565166,-0.60004044,-0.3876247,-0.398361,-0.0107363
74,-0.3112175,-0.50226843,"('insightful', 'unperceptive')",-0.6996582,-0.74001956,-2.1134381,-2.1809742,-1.0414379,-1.1410874,-0.0996495
37,0.30002213,0.10708624,"('good', 'evil')",0.48014396,0.53731936,2.3284948,2.2621083,1.0362203,0.968838,-0.0673823
57,0.293687,0.23083891,"('able', 'unable')",-0.7599276,-0.96241605,-0.1998832,-0.583821,-0.2220412,-0.4384661,-0.2164249
79,0.2882989,0.2907172,"('determined', 'doubtful')",0.40723115,0.28429645,-0.14669374,-0.29611647,0.1829455,0.0929657,-0.0899798
7,-0.28688526,-0.596393,"('outgoing', 'distant')",-0.6641216,-0.68242157,1.1084735,0.86121786,0.0524889,-0.1391989,-0.1916878
19,-0.28090894,-0.35405707,"('funny', 'boring')",-0.018433273,0.01998359,0.42601255,0.72428787,0.0422234,0.1300715,0.0878481
47,-0.27923638,-0.19438449,"('forgiving', 'unforgiving')",-0.338426,-0.37143958,-1.6843736,-1.539356,-0.7673453,-0.7017267,0.0656186
0,0.27178276,0.32847208,"('sociable', 'unsociable')",-0.04404056,0.030448437,-1.382978,-1.2662715,-0.3850786,-0.3024503,0.0826283
23,0.25783002,-0.04610002,"('hospitable', 'inhospitable')",-0.49560526,-0.6103699,0.40957287,0.35418585,0.0572659,-0.1007614,-0.1580273
77,0.2530269,0.32747784,"('active', 'inactive')",-0.02958116,0.15182914,0.29583222,0.44914404,0.1730926,0.3094837,0.1363911
22,0.2375021,0.27565715,"('welcoming', 'disagreeable')",1.0172254,0.9841429,0.46303797,0.42195678,0.5725885,0.5605856,-0.0120029
36,-0.19615084,-0.08625311,"('tolerant', 'intolerant')",-0.4524116,-0.54010224,-1.3548038,-1.2669089,-0.6677887,-0.6310881,0.0367006
42,-0.1878941,-0.14032722,"('amicable', 'hostile')",-0.5173815,-0.26167274,1.1766623,1.5167842,0.1571289,0.3715947,0.2144658
4,-0.17964168,-0.31301877,"('likable', 'unlikable')",-1.5928102,-1.5747783,-0.772751,-0.8468554,-0.8484009,-0.9115508,-0.0631499
82,-0.1555283,-0.034850776,"('industrious', 'meek')",-0.45596594,-0.36057073,0.9266212,0.951156,0.1050423,0.1852448,0.0802025
20,-0.14222708,-0.305989,"('popular', 'unpopular')",-1.0974336,-0.98454726,0.12733257,0.17453355,-0.370776,-0.3720009,-0.0012249
30,0.10766059,0.03487566,"('honest', 'dishonest')",-1.4991559,-1.6083213,-1.6794577,-1.7451088,-1.023651,-1.1061848,-0.0825338
65,-0.0991379,-0.31708574,"('practical', 'impractical')",-0.89325976,-1.1883292,-2.4467056,-2.4661667,-1.1463677,-1.3238606,-0.1774929
59,-0.08886418,0.044527456,"('skillful', 'clumsy')",-0.64444876,-0.5586407,-0.3196133,-0.103150144,-0.3509754,-0.2057545,0.1452209
100,-0.076615274,-0.094874024,"('influential', 'uninfluential')",-0.18522319,-0.028818786,-1.3453405,-1.0287426,-0.5357263,-0.3841451,0.1515812
61,-0.07125643,-0.0042579174,"('rational', 'irrational')",-0.1721922,-0.007750854,0.5254773,0.8111657,0.0940096,0.2663856,0.172376
67,-0.06737898,-0.02382487,"('discriminating', 'undiscriminating')",0.43830484,0.55038446,-0.85107,-0.6327966,-0.160048,-0.0354123,0.1246357
91,0.028841406,-0.08742249,"('resilient', 'nonresilient')",-0.74935025,-0.8789846,-0.15854919,-0.33136103,-0.2930193,-0.4325894,-0.1395701
17,-0.010860771,0.19773236,"('social', 'antisocial')",0.25039813,0.32846552,-0.43211162,-0.35411614,-0.0641914,0.0573606,0.121552
73,0.00047397614,-0.3565371,"('brilliant', 'incompetent')",-0.0019892156,-0.35076755,-2.1310096,-2.2568905,-0.7108416,-0.9880651,-0.2772235
