,HCA_male,HCA_female,tuple,Healthcare_male,Healthcare_female,average_male,average_female,female-male
49,0.3901045,0.44661674,"('motivated', 'unmotivated')",0.57290345,0.46267498,0.481503963470459,0.45464587211608887,-0.026858091354370117
32,-0.38440996,-0.36968726,"('able', 'unable')",-0.94542056,-0.97176814,-0.6649152636528015,-0.6707277297973633,-0.005812466144561768
1,0.3768578,0.24512629,"('friendly', 'unfriendly')",-0.6007084,-0.6588898,-0.11192531883716583,-0.20688173174858093,-0.0949564129114151
47,-0.36399484,-0.41923463,"('ambitious', 'unambitious')",0.008886278,0.0034643114,-0.17755427956581116,-0.20788516104221344,-0.030330881476402283
4,-0.36003768,-0.25563157,"('sensitive', 'insensitive')",-1.2467762,-1.2487707,-0.8034069538116455,-0.7522011399269104,0.05120581388473511
56,0.3523908,0.37989143,"('conventional', 'unconventional')",-0.26042983,-0.041193962,0.045980483293533325,0.16934873163700104,0.12336824834346771
52,-0.34205413,-0.14497745,"('superior', 'inferior')",-1.2243531,-1.1324329,-0.7832036018371582,-0.6387051939964294,0.14449840784072876
16,0.31994253,0.6385407,"('fair', 'unfair')",0.8290758,0.9547571,0.5745091438293457,0.7966488599777222,0.22213971614837646
43,-0.31410083,-0.08079216,"('active', 'inactive')",-1.0962161,-0.90960026,-0.7051584720611572,-0.49519622325897217,0.20996224880218506
55,0.30398571,0.019485474,"('conventional', 'unconventional')",-0.4719296,-0.2931019,-0.08397194743156433,-0.13680821657180786,-0.05283626914024353
15,-0.28364834,0.09901069,"('loyal', 'disloyal')",-0.94908834,-0.8048003,-0.6163683533668518,-0.35289478302001953,0.2634735703468323
23,0.25517434,0.3598163,"('truthful', 'untruthful')",0.8952136,1.0594852,0.5751940011978149,0.7096507549285889,0.13445675373077393
25,-0.25173378,-0.24565345,"('forgiving', 'unforgiving')",-0.8207341,-0.7212167,-0.5362339019775391,-0.4834350645542145,0.052798837423324585
13,0.22810113,0.44872558,"('sincere', 'insincere')",0.3494494,0.38977763,0.2887752652168274,0.41925162076950073,0.13047635555267334
34,0.22624364,0.10999814,"('rational', 'irrational')",0.72700226,0.776988,0.47662293910980225,0.4434930682182312,-0.033129870891571045
42,-0.19816445,0.09058219,"('secure', 'insecure')",-0.14672679,-0.081595615,-0.1724456250667572,0.004493288695812225,0.17693891376256943
31,0.19539467,0.34359372,"('intelligent', 'unintelligent')",-1.0557253,-0.8697854,-0.4301653504371643,-0.2630958557128906,0.16706949472427368
53,-0.17323034,0.1336883,"('influential', 'uninfluential')",-0.845639,-0.60722065,-0.5094346404075623,-0.23676617443561554,0.2726684659719467
39,-0.11706377,-0.3915677,"('wise', 'foolish')",-0.033236727,-0.069565535,-0.0751502513885498,-0.2305666208267212,-0.1554163694381714
45,-0.11282783,0.012943793,"('independent', 'dependent')",0.91919214,0.969361,0.40318214893341064,0.49115240573883057,0.08797025680541992
7,0.08795887,0.5039599,"('polite', 'impolite')",0.21666743,0.4096853,0.15231314301490784,0.45682260394096375,0.3045094609260559
6,0.078770116,-0.063143134,"('supportive', 'unsupportive')",-0.77940863,-0.8660743,-0.3503192663192749,-0.46460872888565063,-0.11428946256637573
8,0.07812482,0.116348684,"('popular', 'unpopular')",-1.1961187,-1.105851,-0.5589969158172607,-0.4947511851787567,0.06424573063850403
35,0.07177606,0.12703364,"('creative', 'uncreative')",-0.40823472,-0.44820058,-0.16822932660579681,-0.1605834662914276,0.007645860314369202
10,0.061732486,-0.081610546,"('hospitable', 'inhospitable')",-0.29531989,-0.4093833,-0.11679369956254959,-0.245496928691864,-0.12870322912931442
41,-0.049305193,-0.12603989,"('confident', 'shy')",0.97170305,0.69595474,0.46119892597198486,0.2849574089050293,-0.17624151706695557
26,-0.04291618,-0.13147911,"('reliable', 'unreliable')",1.2096953,1.1034582,0.5833895802497864,0.485989511013031,-0.09740006923675537
51,0.031814426,0.1548819,"('powerful', 'powerless')",-0.94133806,-0.7163442,-0.454761803150177,-0.2807311415672302,0.17403066158294678
2,-0.02073446,0.1726309,"('likable', 'unlikable')",-0.44671097,-0.28176647,-0.2337227165699005,-0.05456778407096863,0.17915493249893188
