,Newmont_male,Newmont_female,tuple,average_male,average_female,female-male
76,0.8352481,0.92730415,"('secure', 'insecure')",0.8352481,0.9273041,0.092056
52,0.8311584,0.9090278,"('competitive', 'uncompetitive')",0.8311584,0.9090278,0.0778694
41,-0.7689315,-0.5119037,"('incorrupt', 'corrupt')",-0.7689315,-0.5119037,0.2570278
88,-0.74995434,-0.65105677,"('impulsive', 'meek')",-0.7499543,-0.6510568,0.0988975
103,0.7330192,0.5562207,"('traditional', 'modern')",0.7330192,0.5562207,-0.1767985
74,0.70342237,0.5723214,"('insightful', 'unperceptive')",0.7034224,0.5723214,-0.131101
69,-0.70271164,-0.6713971,"('wise', 'foolish')",-0.7027116,-0.6713971,0.0313145
38,0.6979128,0.874642,"('kind', 'unkind')",0.6979128,0.874642,0.1767292
102,0.6903397,0.5669925,"('eminent', 'low')",0.6903397,0.5669925,-0.1233472
109,0.6888388,0.3830392,"('conservative', 'liberal')",0.6888388,0.3830392,-0.3057996
108,0.6888388,0.3830392,"('conservative', 'liberal')",0.6888388,0.3830392,-0.3057996
2,0.6882797,0.8010813,"('friendly', 'unfriendly')",0.6882797,0.8010813,0.1128016
12,0.6570749,0.9179405,"('sympathetic', 'unsympathetic')",0.6570749,0.9179405,0.2608656
78,0.6503935,0.16942063,"('active', 'inactive')",0.6503935,0.1694206,-0.4809729
26,-0.64405763,-0.534199,"('trustworthy', 'untrustworthy')",-0.6440576,-0.534199,0.1098586
68,-0.6320205,-0.79290056,"('clever', 'inept')",-0.6320205,-0.7929006,-0.1608801
25,0.60584766,0.30949157,"('moral', 'immoral')",0.6058477,0.3094916,-0.2963561
3,0.60244876,0.4589083,"('likable', 'unlikable')",0.6024488,0.4589083,-0.1435405
22,0.5853228,0.34927976,"('welcoming', 'disagreeable')",0.5853228,0.3492798,-0.236043
23,0.5851162,0.50629103,"('hospitable', 'inhospitable')",0.5851162,0.506291,-0.0788252
5,0.58305234,0.5177461,"('pleasant', 'repellent')",0.5830523,0.5177461,-0.0653062
16,0.57717735,0.6698201,"('social', 'antisocial')",0.5771773,0.6698201,0.0926428
92,-0.561319,-0.3476879,"('unwavering', 'wavering')",-0.561319,-0.3476879,0.2136311
93,0.5209023,0.821393,"('dominating', 'dominated')",0.5209023,0.821393,0.3004907
57,0.5114916,0.39022905,"('able', 'unable')",0.5114916,0.390229,-0.1212626
64,0.506805,0.39098543,"('clever', 'incompetent')",0.506805,0.3909854,-0.1158196
7,-0.49939474,-0.5735291,"('outgoing', 'distant')",-0.4993947,-0.5735291,-0.0741344
28,-0.48694858,-0.312409,"('honest', 'dishonest')",-0.4869486,-0.312409,0.1745396
85,0.45717916,0.48511198,"('ambitious', 'unambitious')",0.4571792,0.485112,0.0279328
9,0.45253354,0.51864755,"('sensitive', 'insensitive')",0.4525335,0.5186476,0.0661141
67,-0.44999254,-0.4588858,"('discriminating', 'undiscriminating')",-0.4499925,-0.4588858,-0.0088933
63,-0.44422942,-0.5369745,"('capable', 'incapable')",-0.4442294,-0.5369745,-0.0927451
105,-0.419765,-0.43377444,"('conventional', 'modern')",-0.419765,-0.4337744,-0.0140094
21,0.41229492,0.25085598,"('nice', 'nasty')",0.4122949,0.250856,-0.1614389
80,0.4004699,0.30411124,"('independent', 'dependent')",0.4004699,0.3041112,-0.0963587
32,-0.3964714,-0.12776801,"('benevolent', 'hardhearted')",-0.3964714,-0.127768,0.2687034
84,-0.39345977,-0.58201635,"('self-confident', 'diffident')",-0.3934598,-0.5820163,-0.1885565
24,-0.39029095,-0.3433931,"('thoughtful', 'rough')",-0.3902909,-0.3433931,0.0468978
4,-0.37406626,-0.5245931,"('likable', 'unlikable')",-0.3740663,-0.5245931,-0.1505268
96,0.35542455,0.23027894,"('powerful', 'powerless')",0.3554246,0.2302789,-0.1251457
79,0.35466313,0.07735279,"('determined', 'doubtful')",0.3546631,0.0773528,-0.2773103
99,-0.35132012,-0.38937944,"('prestigious', 'insignificant')",-0.3513201,-0.3893794,-0.0380593
43,-0.33761322,-0.199343,"('genuine', 'fake')",-0.3376132,-0.199343,0.1382702
62,0.32905486,0.2574128,"('creative', 'uncreative')",0.3290549,0.2574128,-0.0716421
73,0.31951442,0.03208843,"('brilliant', 'incompetent')",0.3195144,0.0320884,-0.287426
39,-0.30829072,-0.43115592,"('right', 'wrong')",-0.3082907,-0.4311559,-0.1228652
58,-0.29795033,-0.068241894,"('able', 'clumsy')",-0.2979503,-0.0682419,0.2297084
51,0.29715562,0.6001265,"('competent', 'incompetent')",0.2971556,0.6001265,0.3029709
77,-0.28588617,-0.24616419,"('active', 'inactive')",-0.2858862,-0.2461642,0.039722
1,0.278632,0.41852897,"('friendly', 'unfriendly')",0.278632,0.418529,0.139897
37,0.2752716,0.22011527,"('good', 'evil')",0.2752716,0.2201153,-0.0551563
33,0.2665086,0.4330031,"('softhearted', 'hardhearted')",0.2665086,0.4330031,0.1664945
29,-0.23653011,-0.46626273,"('honest', 'immoral')",-0.2365301,-0.4662627,-0.2297326
8,-0.23457864,-0.30229464,"('open', 'distant')",-0.2345786,-0.3022946,-0.067716
101,-0.23420495,-0.2903408,"('successful', 'unsuccessful')",-0.2342049,-0.2903408,-0.0561359
97,-0.23193657,-0.15095907,"('superior', 'inferior')",-0.2319366,-0.1509591,0.0809775
82,0.22776805,-0.034968868,"('industrious', 'meek')",0.227768,-0.0349689,-0.2627369
35,-0.22368352,-0.07285557,"('fair', 'unfair')",-0.2236835,-0.0728556,0.1508279
50,-0.21580452,-0.31865042,"('unprejudiced', 'prejudiced')",-0.2158045,-0.3186504,-0.1028459
65,0.20942205,0.0034406334,"('practical', 'impractical')",0.2094221,0.0034406,-0.2059815
13,0.20709631,0.23127481,"('helpful', 'unhelpful')",0.2070963,0.2312748,0.0241785
56,-0.18404788,-0.12464887,"('intelligent', 'dumb')",-0.1840479,-0.1246489,0.059399
89,-0.16304395,-0.42055443,"('daring', 'anxious')",-0.1630439,-0.4205544,-0.2575105
48,0.15817153,0.1255445,"('reliable', 'unreliable')",0.1581715,0.1255445,-0.032627
18,-0.15343662,-0.21088089,"('social', 'asocial')",-0.1534366,-0.2108809,-0.0574443
36,0.15083885,0.27108616,"('tolerant', 'intolerant')",0.1508389,0.2710862,0.1202473
83,-0.14964135,0.042944342,"('energetic', 'lethargic')",-0.1496413,0.0429443,0.1925856
49,0.14795381,0.1512298,"('responsible', 'irresponsible')",0.1479538,0.1512298,0.003276
46,0.1446765,0.29114217,"('generous', 'stingy')",0.1446765,0.2911422,0.1464657
34,0.13996848,0.5424136,"('loyal', 'disloyal')",0.1399685,0.5424136,0.4024451
106,0.13664599,-0.04607737,"('conventional', 'unconventional')",0.136646,-0.0460774,-0.1827234
87,0.1251061,0.12170842,"('dedicated', 'undedicated')",0.1251061,0.1217084,-0.0033977
45,-0.12246975,-0.35685146,"('cooperative', 'exploitative')",-0.1224698,-0.3568515,-0.2343817
59,0.12193507,0.33938456,"('skillful', 'clumsy')",0.1219351,0.3393846,0.2174495
11,-0.10973871,-0.018877298,"('caring', 'unaffectionate')",-0.1097387,-0.0188773,0.0908614
81,-0.10493989,-0.29232186,"('industrious', 'lazy')",-0.1049399,-0.2923219,-0.187382
47,0.09963208,0.15210927,"('forgiving', 'unforgiving')",0.0996321,0.1521093,0.0524772
61,-0.0922426,0.14388874,"('rational', 'irrational')",-0.0922426,0.1438887,0.2361313
42,-0.09174907,0.020386964,"('amicable', 'hostile')",-0.0917491,0.020387,0.1121361
17,-0.0697726,0.12374844,"('social', 'antisocial')",-0.0697726,0.1237484,0.193521
30,0.056283668,0.12709409,"('honest', 'dishonest')",0.0562837,0.1270941,0.0708104
19,0.052258164,-0.033637315,"('funny', 'boring')",0.0522582,-0.0336373,-0.0858955
20,-0.046440527,-0.13911659,"('popular', 'unpopular')",-0.0464405,-0.1391166,-0.0926761
72,0.04584512,0.32634163,"('logical', 'illogical')",0.0458451,0.3263416,0.2804965
44,0.04367403,0.05284886,"('truthful', 'untruthful')",0.043674,0.0528489,0.0091749
31,0.03690526,-0.10962102,"('altruistic', 'egoistic')",0.0369053,-0.109621,-0.1465263
10,0.03456241,0.374377,"('affectionate', 'unaffectionate')",0.0345624,0.374377,0.3398146
