,Verisign_male,Verisign_female,tuple,average_male,average_female,female-male
37,-1.1090641,-0.93269217,"('good', 'evil')",-1.1090641,-0.9326922,0.1763719
97,-1.1050174,-1.0172884,"('superior', 'inferior')",-1.1050174,-1.0172884,0.087729
33,-1.0545329,-0.6203363,"('softhearted', 'hardhearted')",-1.0545329,-0.6203363,0.4341966
9,1.0389321,1.1006992,"('sensitive', 'insensitive')",1.0389321,1.1006992,0.0617671
40,-1.0316391,-1.0783784,"('honorable', 'mean')",-1.0316391,-1.0783784,-0.0467393
31,-1.0153404,-1.001366,"('altruistic', 'egoistic')",-1.0153404,-1.001366,0.0139744
36,0.92231566,0.8920257,"('tolerant', 'intolerant')",0.9223157,0.8920257,-0.03029
77,-0.91360426,-0.8774828,"('active', 'inactive')",-0.9136043,-0.8774828,0.0361215
82,-0.9129993,-1.0363342,"('industrious', 'meek')",-0.9129993,-1.0363342,-0.1233349
89,0.902894,0.77096534,"('daring', 'anxious')",0.902894,0.7709653,-0.1319287
65,0.87370867,0.5193995,"('practical', 'impractical')",0.8737087,0.5193995,-0.3543092
45,0.8611371,0.5850717,"('cooperative', 'exploitative')",0.8611371,0.5850717,-0.2760654
110,-0.8594855,-0.78114706,"('narrow-minded', 'open-minded')",-0.8594855,-0.7811471,0.0783384
62,-0.84532773,-0.95297015,"('creative', 'uncreative')",-0.8453277,-0.9529701,-0.1076424
3,0.8183119,0.91610676,"('likable', 'unlikable')",0.8183119,0.9161068,0.0977949
35,-0.80198175,-0.5613854,"('fair', 'unfair')",-0.8019817,-0.5613854,0.2405963
10,-0.78569067,-0.6107278,"('affectionate', 'unaffectionate')",-0.7856907,-0.6107278,0.1749629
6,0.75948316,0.67327774,"('liked', 'disliked')",0.7594832,0.6732777,-0.0862055
59,-0.7555568,-0.5597299,"('skillful', 'clumsy')",-0.7555568,-0.5597299,0.1958269
32,-0.75540674,-0.83888245,"('benevolent', 'hardhearted')",-0.7554067,-0.8388824,-0.0834757
63,-0.7527498,-0.56550723,"('capable', 'incapable')",-0.7527498,-0.5655072,0.1872426
20,-0.7398775,-0.4817664,"('popular', 'unpopular')",-0.7398775,-0.4817664,0.2581111
13,0.7293073,0.6233306,"('helpful', 'unhelpful')",0.7293073,0.6233306,-0.1059767
74,0.7156631,0.7161871,"('insightful', 'unperceptive')",0.7156631,0.7161871,0.000524
50,0.6729221,0.3839492,"('unprejudiced', 'prejudiced')",0.6729221,0.3839492,-0.2889729
23,-0.6682732,-0.58134526,"('hospitable', 'inhospitable')",-0.6682732,-0.5813453,0.0869279
85,0.665158,0.7368609,"('ambitious', 'unambitious')",0.665158,0.7368609,0.0717029
38,0.6598079,0.64709175,"('kind', 'unkind')",0.6598079,0.6470917,-0.0127162
86,-0.65043485,-0.70213664,"('self-reliant', 'helpless')",-0.6504349,-0.7021366,-0.0517017
19,-0.6407537,-0.7052699,"('funny', 'boring')",-0.6407537,-0.7052699,-0.0645162
66,0.6173455,0.59535867,"('imaginative', 'unimaginative')",0.6173455,0.5953587,-0.0219868
51,0.5763438,0.62189734,"('competent', 'incompetent')",0.5763438,0.6218973,0.0455535
101,0.561844,0.26544797,"('successful', 'unsuccessful')",0.561844,0.265448,-0.296396
91,0.5609392,0.56235063,"('resilient', 'nonresilient')",0.5609392,0.5623506,0.0014114
67,-0.5563879,-0.48409343,"('discriminating', 'undiscriminating')",-0.5563879,-0.4840934,0.0722945
102,0.55446875,0.30538514,"('eminent', 'low')",0.5544688,0.3053851,-0.2490837
43,-0.5446235,-0.5946226,"('genuine', 'fake')",-0.5446235,-0.5946226,-0.0499991
30,0.53885794,0.49805218,"('honest', 'dishonest')",0.5388579,0.4980522,-0.0408057
56,-0.5244837,-0.42359325,"('intelligent', 'dumb')",-0.5244837,-0.4235933,0.1008904
83,0.5147034,0.46128225,"('energetic', 'lethargic')",0.5147034,0.4612823,-0.0534211
68,-0.46519616,-0.6636773,"('clever', 'inept')",-0.4651962,-0.6636773,-0.1984811
46,-0.44275174,-0.15366203,"('generous', 'stingy')",-0.4427517,-0.153662,0.2890897
57,0.44247222,0.26192367,"('able', 'unable')",0.4424722,0.2619237,-0.1805485
17,0.43939242,0.5102195,"('social', 'antisocial')",0.4393924,0.5102195,0.0708271
24,-0.4321105,-0.4790647,"('thoughtful', 'rough')",-0.4321105,-0.4790647,-0.0469542
87,-0.4197904,-0.41500795,"('dedicated', 'undedicated')",-0.4197904,-0.4150079,0.0047825
11,-0.36465043,-0.26522788,"('caring', 'unaffectionate')",-0.3646504,-0.2652279,0.0994225
21,0.3625429,0.33442518,"('nice', 'nasty')",0.3625429,0.3344252,-0.0281177
48,0.31297544,0.22757128,"('reliable', 'unreliable')",0.3129754,0.2275713,-0.0854041
96,0.28486565,0.13618287,"('powerful', 'powerless')",0.2848656,0.1361829,-0.1486827
47,0.26035875,0.2912444,"('forgiving', 'unforgiving')",0.2603588,0.2912444,0.0308856
78,0.25228834,0.077992246,"('active', 'inactive')",0.2522883,0.0779922,-0.1742961
4,-0.24405077,-0.33483005,"('likable', 'unlikable')",-0.2440508,-0.33483,-0.0907792
72,-0.21308465,-0.110503525,"('logical', 'illogical')",-0.2130847,-0.1105035,0.1025812
27,-0.19627053,-0.12315714,"('sincere', 'insincere')",-0.1962705,-0.1231571,0.0731134
106,-0.17422713,-0.22775029,"('conventional', 'unconventional')",-0.1742271,-0.2277503,-0.0535232
44,0.14833225,0.12310835,"('truthful', 'untruthful')",0.1483323,0.1231083,-0.025224
29,-0.14435399,-0.096752256,"('honest', 'immoral')",-0.144354,-0.0967523,0.0476017
34,-0.12241091,0.06968274,"('loyal', 'disloyal')",-0.1224109,0.0696827,0.1920936
26,0.120860696,0.2674248,"('trustworthy', 'untrustworthy')",0.1208607,0.2674248,0.1465641
79,0.11497581,-0.14660607,"('determined', 'doubtful')",0.1149758,-0.1466061,-0.2615819
54,-0.10962176,-0.2852414,"('smart', 'stupid')",-0.1096218,-0.2852414,-0.1756196
70,-0.10355598,0.06396197,"('wise', 'unwise')",-0.103556,0.063962,0.167518
84,-0.09007722,-0.1935252,"('self-confident', 'diffident')",-0.0900772,-0.1935252,-0.103448
80,0.032589257,0.21607794,"('independent', 'dependent')",0.0325893,0.2160779,0.1834886
58,-0.029641211,0.010507613,"('able', 'clumsy')",-0.0296412,0.0105076,0.0401488
28,0.021602124,0.19278124,"('honest', 'dishonest')",0.0216021,0.1927812,0.1711791
