,Baxter_male,Baxter_female,tuple,International_male,International_female,average_male,average_female,female-male
7,-0.6460999,-0.8887485,"('outgoing', 'distant')",0.1345121,-0.030213177,-0.2557939,-0.4594809,-0.203687
29,-0.6265957,-0.60711455,"('honest', 'immoral')",-0.55425906,-0.6227187,-0.5904274,-0.6149166,-0.0244892
110,-0.6208639,-0.5525949,"('narrow-minded', 'open-minded')",0.67623246,0.5805007,0.0276843,0.0139529,-0.0137314
79,0.6050341,0.4584757,"('determined', 'doubtful')",0.033679813,0.07503861,0.319357,0.2667572,-0.0525998
96,0.58954835,0.6274973,"('powerful', 'powerless')",-0.40749988,-0.40346423,0.0910242,0.1120165,0.0209923
61,-0.5749301,-0.48725462,"('rational', 'irrational')",0.36130077,0.66771543,-0.1068147,0.0902304,0.1970451
47,-0.5234543,-0.42191458,"('forgiving', 'unforgiving')",-0.4067515,-0.3589463,-0.4651029,-0.3904305,0.0746724
0,0.45580512,0.7248125,"('sociable', 'unsociable')",-0.27770647,-0.14003941,0.0890493,0.2923865,0.2033372
51,0.45532444,0.57768714,"('competent', 'incompetent')",-0.26766315,-0.4206282,0.0938306,0.0785295,-0.0153011
68,-0.4267513,-0.52567434,"('clever', 'inept')",-1.050265,-1.2191378,-0.7385081,-0.8724061,-0.133898
44,-0.41060174,-0.61734796,"('truthful', 'untruthful')",-0.7288245,-0.8781763,-0.5697131,-0.7477621,-0.178049
106,-0.3878051,-0.20626378,"('conventional', 'unconventional')",-0.5712053,-0.39823276,-0.4795052,-0.3022483,0.1772569
35,0.38296807,0.56446767,"('fair', 'unfair')",0.60003513,0.8196356,0.4915016,0.6920516,0.20055
30,0.376507,0.47760904,"('honest', 'dishonest')",-0.6705753,-0.73997504,-0.1470342,-0.131183,0.0158512
12,0.3657992,0.6161588,"('sympathetic', 'unsympathetic')",-0.49762845,-0.685357,-0.0659146,-0.0345991,0.0313155
22,0.3620615,0.3406828,"('welcoming', 'disagreeable')",-0.38902038,-0.22840753,-0.0134794,0.0561376,0.069617
20,-0.3135924,-0.2643279,"('popular', 'unpopular')",0.39338326,0.5133883,0.0398954,0.1245302,0.0846348
36,-0.31197727,-0.25220007,"('tolerant', 'intolerant')",-0.3008271,-0.26529256,-0.3064022,-0.2587463,0.0476559
45,-0.29530138,-0.3182088,"('cooperative', 'exploitative')",-1.1601453,-1.0837905,-0.7277234,-0.7009997,0.0267237
4,-0.2947987,-0.50304437,"('likable', 'unlikable')",-0.91524863,-0.84401244,-0.6050237,-0.6735284,-0.0685047
57,0.29376248,0.05619487,"('able', 'unable')",-0.13709077,-0.19273978,0.0783359,-0.0682725,-0.1466084
73,0.292534,0.19510615,"('brilliant', 'incompetent')",-1.0608741,-1.3812499,-0.3841701,-0.5930719,-0.2089018
19,-0.2893585,-0.38027203,"('funny', 'boring')",-0.28610492,-0.07843876,-0.2877317,-0.2293554,0.0583763
59,0.27800128,0.3794599,"('skillful', 'clumsy')",0.0013440698,0.22128336,0.1396727,0.3003716,0.1606989
83,0.2601334,0.45538747,"('energetic', 'lethargic')",-0.43350598,-0.5810111,-0.0866863,-0.0628118,0.0238745
9,-0.2566991,-0.15321726,"('sensitive', 'insensitive')",-0.6889987,-0.7582403,-0.4728489,-0.4557288,0.0171201
24,-0.2554472,-0.12131369,"('thoughtful', 'rough')",-1.3044584,-1.2857392,-0.7799528,-0.7035264,0.0764264
43,-0.252427,-0.21225119,"('genuine', 'fake')",-0.13543843,-0.17187852,-0.1939327,-0.1920649,0.0018678
101,-0.23317823,-0.29014468,"('successful', 'unsuccessful')",-1.133564,-1.1630486,-0.6833711,-0.7265967,-0.0432256
70,0.2226493,0.16325139,"('wise', 'unwise')",1.090466,1.0092695,0.6565577,0.5862604,-0.0702973
100,0.21340203,0.4732529,"('influential', 'uninfluential')",-0.10443923,-0.004018843,0.0544814,0.234617,0.1801356
23,-0.21279025,-0.40643406,"('hospitable', 'inhospitable')",0.8630278,0.73783946,0.3251188,0.1657027,-0.1594161
91,0.20036566,0.13131794,"('resilient', 'nonresilient')",-0.3920109,-0.46235928,-0.0958226,-0.1655207,-0.0696981
37,-0.1544097,-0.21761787,"('good', 'evil')",0.876606,0.9465544,0.3610981,0.3644683,0.0033702
87,0.13446862,0.2503885,"('dedicated', 'undedicated')",-1.1067047,-1.0585175,-0.486118,-0.4040645,0.0820535
102,-0.13016224,-0.23147915,"('eminent', 'low')",-0.85955703,-0.73904496,-0.4948596,-0.4852621,0.0095975
55,-0.1068666,-0.057951927,"('intelligent', 'unintelligent')",-0.7534328,-0.72291386,-0.4301497,-0.3904329,0.0397168
82,0.10525423,0.01734078,"('industrious', 'meek')",-0.29817155,-0.07838851,-0.0964587,-0.0305239,0.0659348
17,0.10503054,0.44496137,"('social', 'antisocial')",-0.17056382,0.014495134,-0.0327666,0.2297283,0.2624949
77,-0.089283824,0.004511237,"('active', 'inactive')",0.11710368,0.11085279,0.0139099,0.057682,0.0437721
85,-0.08488667,-0.09143382,"('ambitious', 'unambitious')",-0.1450349,-0.25959486,-0.1149608,-0.1755143,-0.0605535
18,-0.07832809,0.08333887,"('social', 'asocial')",-0.57078177,-0.54671586,-0.3245549,-0.2316885,0.0928664
21,0.06300259,0.008944869,"('nice', 'nasty')",1.1096721,0.9406854,0.5863373,0.4748151,-0.1115222
54,0.053310364,-0.15022469,"('smart', 'stupid')",0.79684246,0.59786206,0.4250764,0.2238187,-0.2012577
67,-0.04779286,0.053169847,"('discriminating', 'undiscriminating')",-0.81801575,-0.7733197,-0.4329043,-0.3600749,0.0728294
74,0.033606917,0.041726127,"('insightful', 'unperceptive')",-1.2218003,-1.3378356,-0.5940967,-0.6480547,-0.053958
