,Avery_male,Avery_female,tuple,Dennison_male,Dennison_female,average_male,average_female,female-male
46,1.3613113,1.7652216,"('generous', 'stingy')",0.34233022,0.49161997,0.8518208,1.1284208,0.2766
78,1.2085187,1.1214263,"('active', 'inactive')",0.8631766,0.8086688,1.0358477,0.9650476,-0.0708001
81,1.2024294,1.4702718,"('industrious', 'lazy')",-1.183001,-1.3094192,0.0097142,0.0804263,0.0707121
34,-1.1364596,-1.0908542,"('loyal', 'disloyal')",-0.1757899,-0.04891002,-0.6561247,-0.5698821,0.0862426
36,-1.1078298,-1.2668266,"('tolerant', 'intolerant')",-0.095219105,-0.116458476,-0.6015245,-0.6916425,-0.090118
45,-1.1063213,-1.4123533,"('cooperative', 'exploitative')",-0.35696396,-0.41854253,-0.7316427,-0.9154479,-0.1838052
105,-1.0816733,-1.0712714,"('conventional', 'modern')",-1.0134056,-0.99009836,-1.0475395,-1.0306849,0.0168546
72,-1.072348,-0.895316,"('logical', 'illogical')",-0.51572376,-0.27176252,-0.7940359,-0.5835392,0.2104967
73,-1.0605265,-1.5700965,"('brilliant', 'incompetent')",0.1402211,0.045296885,-0.4601527,-0.7623998,-0.3022471
56,1.0466383,1.1717525,"('intelligent', 'dumb')",-0.056448787,0.046805143,0.4950947,0.6092788,0.1141841
10,-1.0290565,-0.7643805,"('affectionate', 'unaffectionate')",-1.4590659,-1.2832818,-1.2440612,-1.0238311,0.2202301
70,1.0268362,1.083425,"('wise', 'unwise')",0.16362917,0.32534,0.5952327,0.7043825,0.1091498
29,-1.0105517,-1.195991,"('honest', 'immoral')",-0.033785194,-0.05650407,-0.5221685,-0.6262475,-0.104079
77,0.98121417,1.4824896,"('active', 'inactive')",-0.29184723,-0.39669886,0.3446835,0.5428954,0.1982119
68,-0.92274433,-1.0657865,"('clever', 'inept')",-1.8535466,-1.7953397,-1.3881454,-1.4305631,-0.0424177
5,0.913301,0.7298373,"('pleasant', 'repellent')",1.1283791,1.1052136,1.02084,0.9175255,-0.1033145
63,-0.9081988,-0.98362607,"('capable', 'incapable')",-0.41580316,-0.42215958,-0.662001,-0.7028928,-0.0408918
100,-0.89158356,-0.6254827,"('influential', 'uninfluential')",-0.07106471,0.16642728,-0.4813241,-0.2295277,0.2517964
74,-0.8869442,-1.0371156,"('insightful', 'unperceptive')",-0.78826225,-0.7312502,-0.8376032,-0.8841829,-0.0465797
14,0.88570756,0.76805973,"('supportive', 'unsupportive')",-0.049319506,0.054810435,0.418194,0.4114351,-0.0067589
23,0.8807991,0.93929166,"('hospitable', 'inhospitable')",-0.50279593,-0.58452153,0.1890016,0.1773851,-0.0116165
49,-0.87754977,-1.1408206,"('responsible', 'irresponsible')",-0.015607119,0.073042095,-0.4465784,-0.5338893,-0.0873109
24,-0.8548718,-0.7244935,"('thoughtful', 'rough')",-0.33638406,-0.35583717,-0.5956279,-0.5401653,0.0554626
103,0.8482334,0.7650564,"('traditional', 'modern')",0.77815884,0.7642653,0.8131961,0.7646608,-0.0485353
2,-0.82249224,-0.91198283,"('friendly', 'unfriendly')",0.556466,0.54152304,-0.1330131,-0.1852299,-0.0522168
22,0.78888965,0.8428832,"('welcoming', 'disagreeable')",0.74136734,0.7386907,0.7651285,0.790787,0.0256585
55,-0.767026,-0.78958964,"('intelligent', 'unintelligent')",0.11062765,0.09001133,-0.3281992,-0.3497891,-0.0215899
20,0.76560533,0.8339573,"('popular', 'unpopular')",0.18590935,0.19456124,0.4757573,0.5142593,0.038502
97,-0.754595,-0.656521,"('superior', 'inferior')",0.068922654,0.0022048205,-0.3428362,-0.3271581,0.0156781
9,-0.75018203,-0.8618497,"('sensitive', 'insensitive')",-0.40373695,-0.4345082,-0.5769595,-0.6481789,-0.0712194
0,-0.7439058,-0.7009158,"('sociable', 'unsociable')",-0.08756721,-2.259016e-05,-0.4157365,-0.3504692,0.0652673
64,-0.74177873,-1.074924,"('clever', 'incompetent')",0.5035231,0.5183873,-0.1191278,-0.2782683,-0.1591405
21,0.73668563,0.6906276,"('nice', 'nasty')",0.267014,0.14121878,0.5018498,0.4159232,-0.0859266
80,0.700968,0.5592606,"('independent', 'dependent')",0.058750957,-0.009444386,0.3798595,0.2749081,-0.1049514
61,0.6783589,1.0275508,"('rational', 'irrational')",-0.06457031,0.18835002,0.3068943,0.6079504,0.3010561
47,-0.6288764,-0.47753578,"('forgiving', 'unforgiving')",-0.7556067,-0.6394322,-0.6922415,-0.558484,0.1337575
94,0.6123415,0.40068543,"('aggressive', 'submissive')",1.5963935,1.5151047,1.1043675,0.957895,-0.1464725
43,-0.60317504,-0.5366106,"('genuine', 'fake')",-0.3292496,-0.3588612,-0.4662123,-0.4477359,0.0184764
59,0.5977662,0.67449844,"('skillful', 'clumsy')",0.21007264,0.3635313,0.4039194,0.5190148,0.1150954
71,-0.59766984,-1.3345394,"('efficient', 'inefficient')",1.4388398,1.2565114,0.420585,-0.039014,-0.459599
87,-0.59567875,-0.64088607,"('dedicated', 'undedicated')",-0.79588884,-0.71768904,-0.6957838,-0.6792876,0.0164962
41,0.595669,0.94972587,"('incorrupt', 'corrupt')",-1.7102125,-1.6090944,-0.5572717,-0.3296843,0.2275874
104,-0.59498763,-0.082679406,"('conventional', 'unconventional')",-1.1050384,-0.9484204,-0.850013,-0.5155499,0.3344631
38,-0.5613392,-0.52487373,"('kind', 'unkind')",0.5161147,0.69576585,-0.0226122,0.0854461,0.1080583
54,-0.55939543,-0.6228896,"('smart', 'stupid')",0.738365,0.6483249,0.0894848,0.0127177,-0.0767671
62,-0.5544727,-0.35750628,"('creative', 'uncreative')",-0.4948344,-0.42296642,-0.5246536,-0.3902363,0.1344173
18,-0.5473337,-0.6655908,"('social', 'asocial')",0.48219228,0.59932566,-0.0325707,-0.0331326,-0.0005619
76,0.5091872,0.28391027,"('secure', 'insecure')",1.5480124,1.6148422,1.0285997,0.9493762,-0.0792235
65,-0.50635326,-1.0269505,"('practical', 'impractical')",0.28657904,0.21186042,-0.1098871,-0.407545,-0.2976579
98,-0.46853977,-0.17076051,"('prestigious', 'insignificant')",-1.0328374,-1.0960112,-0.7506886,-0.6333858,0.1173028
106,0.42674926,0.663803,"('conventional', 'unconventional')",-0.041718602,-0.041045934,0.1925153,0.3113785,0.1188632
44,-0.41838336,-0.69715583,"('truthful', 'untruthful')",-0.51699317,-0.46413225,-0.4676883,-0.580644,-0.1129557
17,-0.41346246,-0.28972903,"('social', 'antisocial')",-0.051196128,0.06144193,-0.2323293,-0.1141436,0.1181857
31,-0.40523738,-0.25218287,"('altruistic', 'egoistic')",-0.964079,-0.87613845,-0.6846582,-0.5641606,0.1204976
83,-0.39346027,-0.40378505,"('energetic', 'lethargic')",-0.20967206,-0.054243743,-0.3015662,-0.2290144,0.0725518
90,0.39035922,0.0023933053,"('motivated', 'unmotivated')",0.9691926,0.8489027,0.679776,0.425648,-0.254128
91,-0.39013427,-0.42168027,"('resilient', 'nonresilient')",-0.1780963,-0.13861617,-0.2841153,-0.2801482,0.0039671
57,0.38189608,0.13499862,"('able', 'unable')",0.063256145,-0.013383806,0.2225761,0.0608074,-0.1617687
39,-0.3792218,-0.24220932,"('right', 'wrong')",-0.9578843,-0.8626905,-0.6685531,-0.5524499,0.1161032
101,-0.3107464,-0.3244406,"('successful', 'unsuccessful')",-0.63101816,-0.69527614,-0.4708823,-0.5098584,-0.0389761
96,-0.30753464,-0.3621649,"('powerful', 'powerless')",0.66178685,0.5731497,0.1771261,0.1054924,-0.0716337
92,0.30664197,0.34299123,"('unwavering', 'wavering')",-0.59108746,-0.61696446,-0.1422227,-0.1369866,0.0052361
51,-0.29467967,-0.46316022,"('competent', 'incompetent')",-0.6252128,-0.45453173,-0.4599462,-0.458846,0.0011002
42,0.27285394,0.5597733,"('amicable', 'hostile')",-1.1552091,-1.0965812,-0.4411775,-0.2684039,0.1727736
25,-0.26905286,-0.67160416,"('moral', 'immoral')",1.1716855,1.0481284,0.4513163,0.1882621,-0.2630542
102,-0.26860482,-0.30851966,"('eminent', 'low')",0.51526964,0.4114091,0.1233324,0.0514447,-0.0718877
12,-0.26174638,-0.32148176,"('sympathetic', 'unsympathetic')",0.40470406,0.5026008,0.0714788,0.0905595,0.0190807
109,0.25436944,-0.07752961,"('conservative', 'liberal')",1.6497918,1.4475393,0.9520806,0.6850048,-0.2670758
108,0.25436944,-0.07752961,"('conservative', 'liberal')",1.6497918,1.4475393,0.9520806,0.6850048,-0.2670758
52,-0.25355846,-0.5352523,"('competitive', 'uncompetitive')",0.33247358,0.41401184,0.0394576,-0.0606202,-0.1000778
67,-0.24758616,-0.23755708,"('discriminating', 'undiscriminating')",-0.9337579,-0.89986193,-0.590672,-0.5687095,0.0219625
85,-0.22723195,-0.3980226,"('ambitious', 'unambitious')",1.0389526,1.0729816,0.4058603,0.3374795,-0.0683808
79,0.19510424,0.01616311,"('determined', 'doubtful')",0.4089473,0.2321246,0.3020258,0.1241439,-0.1778819
89,0.19444081,0.1598986,"('daring', 'anxious')",1.1360254,1.0269717,0.6652331,0.5934352,-0.0717979
19,-0.1691826,-0.055449188,"('funny', 'boring')",-0.35843402,-0.30606353,-0.2638083,-0.1807564,0.0830519
4,-0.16551016,-0.29806378,"('likable', 'unlikable')",-0.30077058,-0.40596455,-0.2331404,-0.3520142,-0.1188738
69,0.16271642,0.35905313,"('wise', 'foolish')",-0.61063975,-0.527239,-0.2239617,-0.0840929,0.1398688
60,-0.16030747,-0.012733027,"('educated', 'uneducated')",1.1240139,1.1124642,0.4818532,0.5498656,0.0680124
99,-0.15500514,0.1460107,"('prestigious', 'insignificant')",-1.5566798,-1.6245978,-0.8558425,-0.7392936,0.1165489
8,-0.13690603,0.0114148855,"('open', 'distant')",-0.74645334,-0.7570186,-0.4416797,-0.3728019,0.0688778
110,-0.12299229,-0.12663248,"('narrow-minded', 'open-minded')",-0.37512282,-0.350656,-0.2490576,-0.2386442,0.0104134
16,0.098912984,0.08609596,"('social', 'antisocial')",1.0204501,1.0062473,0.5596815,0.5461716,-0.0135099
93,-0.09330794,0.18700142,"('dominating', 'dominated')",0.25443918,0.32729584,0.0805656,0.2571486,0.176583
82,-0.09245527,0.13086548,"('industrious', 'meek')",-1.2865539,-1.5146978,-0.6895046,-0.6919162,-0.0024116
15,-0.07213927,-0.2489984,"('polite', 'impolite')",1.1116515,1.07855,0.5197561,0.4147758,-0.1049803
7,0.06066674,0.15167183,"('outgoing', 'distant')",-0.9044872,-0.94566894,-0.4219102,-0.3969986,0.0249116
30,0.040035814,-0.19700518,"('honest', 'dishonest')",-0.17209578,-0.07554421,-0.06603,-0.1362747,-0.0702447
84,-0.035954982,-0.11675078,"('self-confident', 'diffident')",-1.3678615,-1.3713019,-0.7019082,-0.7440263,-0.0421181
26,0.0173768,-0.10303851,"('trustworthy', 'untrustworthy')",0.25113603,0.48139438,0.1342564,0.1891779,0.0549215
