,U.S._male,U.S._female,tuple,Bancorp_male,Bancorp_female,average_male,average_female,female-male
87,-0.22203898,-0.47374457,"('dedicated', 'undedicated')",-0.48669386,-0.36719018,-0.3543664,-0.4204674,-0.066101
106,0.20927092,0.23775038,"('conventional', 'unconventional')",-0.14535736,-0.014239818,0.0319568,0.1117553,0.0797985
26,-0.20805867,-0.1863667,"('trustworthy', 'untrustworthy')",1.3576227,1.4645232,0.574782,0.6390783,0.0642963
40,-0.19339174,-0.40999675,"('honorable', 'mean')",-2.7961411,-2.957625,-1.4947665,-1.6838108,-0.1890443
55,0.18535666,0.18204291,"('intelligent', 'unintelligent')",0.56023264,0.563587,0.3727947,0.372815,2.03e-05
18,0.18359882,-0.02692055,"('social', 'asocial')",0.014941156,0.09024884,0.09927,0.0316641,-0.0676059
47,-0.17461938,-0.33866954,"('forgiving', 'unforgiving')",-0.69354385,-0.51343644,-0.4340816,-0.426053,0.0080286
68,-0.17403851,-0.5642696,"('clever', 'inept')",-0.5060433,-0.702741,-0.3400409,-0.6335053,-0.2934644
85,-0.16680878,-0.16245665,"('ambitious', 'unambitious')",0.34410265,0.42149746,0.0886469,0.1295204,0.0408735
91,0.14529204,-0.07126148,"('resilient', 'nonresilient')",-0.71052694,-0.8176558,-0.2826174,-0.4444586,-0.1618412
44,0.13528953,0.065038115,"('truthful', 'untruthful')",-1.1835309,-1.2720091,-0.5241207,-0.6034855,-0.0793648
45,-0.1251377,-0.3414555,"('cooperative', 'exploitative')",-0.1048404,-0.1809842,-0.114989,-0.2612199,-0.1462309
28,-0.114049,-0.14635828,"('honest', 'dishonest')",-0.06402588,0.040651083,-0.0890374,-0.0528536,0.0361838
73,0.10700709,-0.22486562,"('brilliant', 'incompetent')",-0.14951582,-0.3444927,-0.0212544,-0.2846792,-0.2634248
25,0.08827484,-0.12936682,"('moral', 'immoral')",0.99781597,0.9232044,0.5430454,0.3969188,-0.1461266
62,0.084086746,0.15274504,"('creative', 'uncreative')",-0.98367405,-0.8653257,-0.4497936,-0.3562903,0.0935033
38,0.079680085,0.10958153,"('kind', 'unkind')",-1.3066198,-1.0764551,-0.6134698,-0.4834368,0.130033
33,-0.062021688,-0.37544367,"('softhearted', 'hardhearted')",-0.47699112,-0.34347448,-0.2695064,-0.3594591,-0.0899527
72,-0.05081987,-0.037582926,"('logical', 'illogical')",-0.64624584,-0.5318836,-0.3485329,-0.2847333,0.0637996
24,-0.04522139,-0.15121594,"('thoughtful', 'rough')",-0.18147841,-0.1660759,-0.1133499,-0.1586459,-0.045296
14,-0.043455213,-0.487112,"('supportive', 'unsupportive')",0.2196744,0.17169222,0.0881096,-0.1577099,-0.2458195
77,0.038050026,0.042022318,"('active', 'inactive')",-1.5284979,-1.4995824,-0.7452239,-0.72878,0.0164439
110,0.03635726,0.0380757,"('narrow-minded', 'open-minded')",0.1109127,0.08711371,0.073635,0.0625947,-0.0110403
74,0.03494811,-0.23180297,"('insightful', 'unperceptive')",-0.77651304,-0.8496119,-0.3707825,-0.5407074,-0.1699249
17,0.025794268,0.11499038,"('social', 'antisocial')",0.26617706,0.33930624,0.1459857,0.2271483,0.0811626
96,0.023852557,-0.08105166,"('powerful', 'powerless')",-0.6511735,-0.65656507,-0.3136604,-0.3688084,-0.055148
23,-0.01434347,-0.19469285,"('hospitable', 'inhospitable')",0.38286662,0.22566703,0.1842616,0.0154871,-0.1687745
88,0.014078975,0.114277035,"('impulsive', 'meek')",-0.10652967,-0.26282272,-0.0462253,-0.0742728,-0.0280475
