,Teleflex_male,Teleflex_female,tuple,average_male,average_female,female-male
77,-0.6842196,-0.6463634,"('active', 'inactive')",-0.6842196,-0.6463634,0.0378562
67,0.6818978,0.72619855,"('discriminating', 'undiscriminating')",0.6818978,0.7261986,0.0443008
11,0.6800318,0.7591449,"('caring', 'unaffectionate')",0.6800318,0.7591449,0.0791131
44,0.6602941,0.67950165,"('truthful', 'untruthful')",0.6602941,0.6795017,0.0192076
17,0.6558043,0.75814664,"('social', 'antisocial')",0.6558043,0.7581466,0.1023423
3,0.6429844,0.643504,"('likable', 'unlikable')",0.6429844,0.643504,0.0005196
29,0.6379546,0.62591136,"('honest', 'immoral')",0.6379546,0.6259114,-0.0120432
87,0.60441077,0.5699406,"('dedicated', 'undedicated')",0.6044108,0.5699406,-0.0344702
18,0.58460325,0.56474596,"('social', 'asocial')",0.5846033,0.564746,-0.0198573
43,0.5717082,0.52831525,"('genuine', 'fake')",0.5717082,0.5283152,-0.043393
54,0.5648619,0.43788144,"('smart', 'stupid')",0.5648619,0.4378814,-0.1269805
53,-0.56403375,-0.69323844,"('smart', 'stupid')",-0.5640337,-0.6932384,-0.1292047
65,0.5465883,0.47046345,"('practical', 'impractical')",0.5465883,0.4704635,-0.0761248
110,-0.52444637,-0.5509517,"('narrow-minded', 'open-minded')",-0.5244464,-0.5509517,-0.0265053
21,0.47160915,0.4056698,"('nice', 'nasty')",0.4716091,0.4056698,-0.0659393
34,0.45255247,0.54707235,"('loyal', 'disloyal')",0.4525525,0.5470724,0.0945199
57,0.45167267,0.35431287,"('able', 'unable')",0.4516727,0.3543129,-0.0973598
6,0.45133817,0.48158336,"('liked', 'disliked')",0.4513382,0.4815834,0.0302452
78,0.44961822,0.25704068,"('active', 'inactive')",0.4496182,0.2570407,-0.1925775
95,-0.44635886,-0.5845269,"('rich', 'poor')",-0.4463589,-0.5845269,-0.138168
72,0.42512947,0.59271723,"('logical', 'illogical')",0.4251295,0.5927172,0.1675877
33,0.41040394,0.38937357,"('softhearted', 'hardhearted')",0.4104039,0.3893736,-0.0210303
102,0.39380264,0.36623484,"('eminent', 'low')",0.3938026,0.3662348,-0.0275678
22,0.37332347,0.40568393,"('welcoming', 'disagreeable')",0.3733235,0.4056839,0.0323604
105,-0.3501849,-0.1989403,"('conventional', 'modern')",-0.3501849,-0.1989403,0.1512446
106,-0.3221808,-0.20874445,"('conventional', 'unconventional')",-0.3221808,-0.2087445,0.1134363
24,0.3032074,0.36515713,"('thoughtful', 'rough')",0.3032074,0.3651571,0.0619497
10,0.2800233,0.37532073,"('affectionate', 'unaffectionate')",0.2800233,0.3753207,0.0952974
38,0.27058637,0.29684186,"('kind', 'unkind')",0.2705864,0.2968419,0.0262555
96,0.26548344,0.29190278,"('powerful', 'powerless')",0.2654834,0.2919028,0.0264194
45,-0.25609016,-0.2527943,"('cooperative', 'exploitative')",-0.2560902,-0.2527943,0.0032959
62,0.25188315,0.27696884,"('creative', 'uncreative')",0.2518831,0.2769688,0.0250857
101,-0.2390244,-0.3120606,"('successful', 'unsuccessful')",-0.2390244,-0.3120606,-0.0730362
56,0.2372685,0.11439352,"('intelligent', 'dumb')",0.2372685,0.1143935,-0.122875
97,0.21971199,0.2957827,"('superior', 'inferior')",0.219712,0.2957827,0.0760707
85,0.2136397,0.13186291,"('ambitious', 'unambitious')",0.2136397,0.1318629,-0.0817768
1,0.20642716,0.4045263,"('friendly', 'unfriendly')",0.2064272,0.4045263,0.1980991
59,-0.17646158,-0.20460382,"('skillful', 'clumsy')",-0.1764616,-0.2046038,-0.0281422
35,0.17253467,0.34351757,"('fair', 'unfair')",0.1725347,0.3435176,0.1709829
32,-0.16676006,-0.12814718,"('benevolent', 'hardhearted')",-0.1667601,-0.1281472,0.0386129
86,-0.13894106,-0.1377012,"('self-reliant', 'helpless')",-0.1389411,-0.1377012,0.0012399
46,0.12196171,0.24028969,"('generous', 'stingy')",0.1219617,0.2402897,0.118328
68,-0.10712388,-0.19820157,"('clever', 'inept')",-0.1071239,-0.1982016,-0.0910777
79,-0.08882752,-0.16751523,"('determined', 'doubtful')",-0.0888275,-0.1675152,-0.0786877
84,0.064428404,0.020604119,"('self-confident', 'diffident')",0.0644284,0.0206041,-0.0438243
40,0.05360768,-0.09618588,"('honorable', 'mean')",0.0536077,-0.0961859,-0.1497936
63,-0.032598913,0.022135653,"('capable', 'incapable')",-0.0325989,0.0221357,0.0547346
23,-0.005890459,-0.011408985,"('hospitable', 'inhospitable')",-0.0058905,-0.011409,-0.0055185
