,AbbVie_male,AbbVie_female,tuple,average_male,average_female,female-male
53,-0.8316244,-0.79138976,"('smart', 'stupid')",-0.8316244,-0.7913898,0.0402346
14,0.8167176,0.6042538,"('supportive', 'unsupportive')",0.8167176,0.6042538,-0.2124638
51,-0.78447944,-1.0051026,"('competent', 'incompetent')",-0.7844794,-1.0051026,-0.2206232
41,-0.78077745,-0.48987907,"('incorrupt', 'corrupt')",-0.7807775,-0.4898791,0.2908984
7,-0.6985971,-0.8619593,"('outgoing', 'distant')",-0.6985971,-0.8619593,-0.1633622
5,0.6871688,0.5882788,"('pleasant', 'repellent')",0.6871688,0.5882788,-0.09889
0,0.6826805,0.7244536,"('sociable', 'unsociable')",0.6826805,0.7244536,0.0417731
107,0.6531173,0.607998,"('conventional', 'modern')",0.6531173,0.607998,-0.0451193
98,-0.6517957,-0.64316475,"('prestigious', 'insignificant')",-0.6517957,-0.6431648,0.0086309
105,-0.64877206,-0.6393688,"('conventional', 'modern')",-0.6487721,-0.6393688,0.0094033
27,-0.6485985,-0.5241517,"('sincere', 'insincere')",-0.6485985,-0.5241517,0.1244468
106,-0.61474454,-0.70877045,"('conventional', 'unconventional')",-0.6147445,-0.7087705,-0.094026
30,-0.59012353,-0.78929615,"('honest', 'dishonest')",-0.5901235,-0.7892962,-0.1991727
6,0.5789258,0.27574077,"('liked', 'disliked')",0.5789258,0.2757408,-0.303185
32,-0.5640043,-0.5016062,"('benevolent', 'hardhearted')",-0.5640043,-0.5016062,0.0623981
110,-0.5537635,-0.4977344,"('narrow-minded', 'open-minded')",-0.5537635,-0.4977344,0.0560291
29,0.54431033,0.40264454,"('honest', 'immoral')",0.5443103,0.4026445,-0.1416658
13,0.53586745,0.4579251,"('helpful', 'unhelpful')",0.5358675,0.4579251,-0.0779424
68,-0.5352144,-0.78876185,"('clever', 'inept')",-0.5352144,-0.7887619,-0.2535475
8,-0.5235603,-0.57261014,"('open', 'distant')",-0.5235603,-0.5726101,-0.0490498
21,0.51222456,0.26720715,"('nice', 'nasty')",0.5122246,0.2672071,-0.2450175
83,-0.51013315,-0.5848039,"('energetic', 'lethargic')",-0.5101331,-0.5848039,-0.0746708
104,-0.5030958,-0.35828477,"('conventional', 'unconventional')",-0.5030958,-0.3582848,0.144811
9,0.5017649,0.41543323,"('sensitive', 'insensitive')",0.5017649,0.4154332,-0.0863317
50,-0.48151025,-0.63897496,"('unprejudiced', 'prejudiced')",-0.4815103,-0.638975,-0.1574647
19,-0.46120134,-0.59055173,"('funny', 'boring')",-0.4612013,-0.5905517,-0.1293504
48,0.46106505,0.04560493,"('reliable', 'unreliable')",0.4610651,0.0456049,-0.4154602
47,0.41028172,0.34535873,"('forgiving', 'unforgiving')",0.4102817,0.3453587,-0.064923
73,-0.40850022,-0.5947134,"('brilliant', 'incompetent')",-0.4085002,-0.5947134,-0.1862132
89,0.40592,0.2614174,"('daring', 'anxious')",0.40592,0.2614174,-0.1445026
103,0.38941285,0.40205866,"('traditional', 'modern')",0.3894129,0.4020587,0.0126458
39,-0.37919083,-0.29984304,"('right', 'wrong')",-0.3791908,-0.299843,0.0793478
1,0.3712991,0.31559446,"('friendly', 'unfriendly')",0.3712991,0.3155945,-0.0557046
35,0.36890465,0.5117702,"('fair', 'unfair')",0.3689047,0.5117702,0.1428655
17,0.35885984,0.5284038,"('social', 'antisocial')",0.3588598,0.5284038,0.169544
26,0.35422733,0.25506854,"('trustworthy', 'untrustworthy')",0.3542273,0.2550685,-0.0991588
88,-0.35339075,-0.402002,"('impulsive', 'meek')",-0.3533908,-0.402002,-0.0486112
87,-0.33425236,-0.49128336,"('dedicated', 'undedicated')",-0.3342524,-0.4912834,-0.157031
78,0.32189777,0.010482401,"('active', 'inactive')",0.3218978,0.0104824,-0.3114154
4,-0.32071662,-0.4160123,"('likable', 'unlikable')",-0.3207166,-0.4160123,-0.0952957
34,0.31831577,0.3589338,"('loyal', 'disloyal')",0.3183158,0.3589338,0.040618
36,0.3132174,0.35279045,"('tolerant', 'intolerant')",0.3132174,0.3527904,0.039573
23,0.29488772,0.13071428,"('hospitable', 'inhospitable')",0.2948877,0.1307143,-0.1641734
58,0.24747512,0.33080015,"('able', 'clumsy')",0.2474751,0.3308001,0.083325
20,-0.24352056,-0.3270793,"('popular', 'unpopular')",-0.2435206,-0.3270793,-0.0835587
38,0.23227638,0.3316114,"('kind', 'unkind')",0.2322764,0.3316114,0.099335
46,0.22969985,0.34675008,"('generous', 'stingy')",0.2296999,0.3467501,0.1170502
43,-0.22486636,-0.048722804,"('genuine', 'fake')",-0.2248664,-0.0487228,0.1761436
31,0.21692075,0.27841985,"('altruistic', 'egoistic')",0.2169207,0.2784199,0.0614992
57,0.21357785,0.025292799,"('able', 'unable')",0.2135779,0.0252928,-0.1882851
56,0.21225798,0.039216757,"('intelligent', 'dumb')",0.212258,0.0392168,-0.1730412
59,-0.20983584,-0.24076337,"('skillful', 'clumsy')",-0.2098358,-0.2407634,-0.0309276
44,0.20866081,-0.06254369,"('truthful', 'untruthful')",0.2086608,-0.0625437,-0.2712045
10,0.18726602,0.27857113,"('affectionate', 'unaffectionate')",0.187266,0.2785711,0.0913051
33,-0.17542768,0.1560412,"('softhearted', 'hardhearted')",-0.1754277,0.1560412,0.3314689
37,0.17081894,0.07887888,"('good', 'evil')",0.1708189,0.0788789,-0.09194
74,0.16775396,-0.10213092,"('insightful', 'unperceptive')",0.167754,-0.1021309,-0.2698849
93,0.16305554,0.27391142,"('dominating', 'dominated')",0.1630555,0.2739114,0.1108559
65,-0.15892002,-0.4444801,"('practical', 'impractical')",-0.15892,-0.4444801,-0.2855601
28,-0.15071139,-0.13763799,"('honest', 'dishonest')",-0.1507114,-0.137638,0.0130734
84,-0.137566,-0.27933478,"('self-confident', 'diffident')",-0.137566,-0.2793348,-0.1417688
45,0.13255806,0.036478072,"('cooperative', 'exploitative')",0.1325581,0.0364781,-0.09608
79,0.11005688,-0.10154709,"('determined', 'doubtful')",0.1100569,-0.1015471,-0.211604
3,0.09463772,-0.18493369,"('likable', 'unlikable')",0.0946377,-0.1849337,-0.2795714
61,0.09060103,0.25072038,"('rational', 'irrational')",0.090601,0.2507204,0.1601194
42,0.087628394,0.19472903,"('amicable', 'hostile')",0.0876284,0.194729,0.1071006
11,0.079527006,0.09624305,"('caring', 'unaffectionate')",0.079527,0.0962431,0.0167161
63,-0.07880305,-0.104191154,"('capable', 'incapable')",-0.078803,-0.1041912,-0.0253882
99,-0.06677157,-0.052479148,"('prestigious', 'insignificant')",-0.0667716,-0.0524791,0.0142925
67,0.052690506,-0.025614053,"('discriminating', 'undiscriminating')",0.0526905,-0.0256141,-0.0783046
86,0.041890413,-0.02655527,"('self-reliant', 'helpless')",0.0418904,-0.0265553,-0.0684457
72,0.040001094,0.2438817,"('logical', 'illogical')",0.0400011,0.2438817,0.2038806
97,-0.035341658,0.021383643,"('superior', 'inferior')",-0.0353417,0.0213836,0.0567253
49,0.032311916,-0.17385194,"('responsible', 'irresponsible')",0.0323119,-0.1738519,-0.2061638
24,-0.02341193,0.18144709,"('thoughtful', 'rough')",-0.0234119,0.1814471,0.204859
77,0.0070249736,0.003179878,"('active', 'inactive')",0.007025,0.0031799,-0.0038451
91,-0.0056445748,-0.09554428,"('resilient', 'nonresilient')",-0.0056446,-0.0955443,-0.0898997
69,-0.0055577755,0.042701125,"('wise', 'foolish')",-0.0055578,0.0427011,0.0482589
