,Intuit_male,Intuit_female,tuple,average_male,average_female,female-male
5,-0.42115113,-0.2003476,"('helpful', 'unhelpful')",-0.42115113139152527,-0.20034760236740112,0.22080352902412415
19,-0.40001804,-0.16470276,"('kind', 'unkind')",-0.40001803636550903,-0.16470275819301605,0.23531527817249298
27,0.36237603,0.71276367,"('responsible', 'irresponsible')",0.36237603425979614,0.7127636671066284,0.3503876328468323
51,-0.33734548,-0.116583765,"('powerful', 'powerless')",-0.3373454809188843,-0.11658376455307007,0.2207617163658142
31,-0.31089664,-0.33996022,"('intelligent', 'unintelligent')",-0.310896635055542,-0.3399602174758911,-0.02906358242034912
16,-0.30304313,0.1034292,"('fair', 'unfair')",-0.3030431270599365,0.10342919826507568,0.4064723253250122
2,0.29504532,0.45190045,"('likable', 'unlikable')",0.29504531621932983,0.451900452375412,0.15685513615608215
4,0.25989082,0.56079173,"('sensitive', 'insensitive')",0.2598908245563507,0.5607917308807373,0.3009009063243866
9,0.2553968,0.12510091,"('nice', 'nasty')",0.2553968131542206,0.12510091066360474,-0.13029590249061584
45,0.25111616,0.4585629,"('independent', 'dependent')",0.25111615657806396,0.4585629105567932,0.20744675397872925
0,0.24498254,0.76704025,"('sociable', 'unsociable')",0.2449825406074524,0.7670402526855469,0.5220577120780945
40,-0.2418038,0.035830498,"('logical', 'illogical')",-0.24180379509925842,0.03583049774169922,0.27763429284095764
12,0.2212234,0.7214828,"('trustworthy', 'untrustworthy')",0.2212233990430832,0.7214828133583069,0.5002594143152237
21,0.20016411,-0.0038250089,"('incorrupt', 'corrupt')",0.20016410946846008,-0.0038250088691711426,-0.20398911833763123
54,0.19710198,-0.04637158,"('successful', 'unsuccessful')",0.19710198044776917,-0.04637157917022705,-0.24347355961799622
14,0.19424053,0.36746514,"('honest', 'dishonest')",0.1942405253648758,0.36746513843536377,0.17322461307048798
8,-0.19288051,-0.32123914,"('popular', 'unpopular')",-0.1928805112838745,-0.3212391436100006,-0.1283586323261261
15,-0.17124997,0.08248429,"('loyal', 'disloyal')",-0.17124997079372406,0.08248429000377655,0.2537342607975006
33,-0.12185484,0.46220285,"('educated', 'uneducated')",-0.12185484170913696,0.46220284700393677,0.5840576887130737
10,-0.11494443,0.007266581,"('hospitable', 'inhospitable')",-0.11494442820549011,0.007266581058502197,0.12221100926399231
11,0.107030466,0.4825503,"('moral', 'immoral')",0.1070304661989212,0.4825502932071686,0.3755198270082474
17,-0.06466174,0.13917434,"('tolerant', 'intolerant')",-0.06466174125671387,0.13917434215545654,0.2038360834121704
37,0.04735422,0.5933269,"('practical', 'impractical')",0.04735422134399414,0.5933269262313843,0.5459727048873901
