,Fortinet_male,Fortinet_female,tuple,average_male,average_female,female-male
67,-0.27650088,-0.10101967,"('discriminating', 'undiscriminating')",-0.2765009,-0.1010197,0.1754812
17,-0.272522,-0.2022832,"('social', 'antisocial')",-0.272522,-0.2022832,0.0702388
76,0.2689142,0.116045415,"('secure', 'insecure')",0.2689142,0.1160454,-0.1528688
45,-0.265042,-0.6489718,"('cooperative', 'exploitative')",-0.265042,-0.6489718,-0.3839298
110,-0.25101388,-0.1456586,"('narrow-minded', 'open-minded')",-0.2510139,-0.1456586,0.1053553
93,0.23565584,0.33656242,"('dominating', 'dominated')",0.2356558,0.3365624,0.1009066
97,-0.23510964,-0.16144231,"('superior', 'inferior')",-0.2351096,-0.1614423,0.0736673
44,0.23467933,0.26216796,"('truthful', 'untruthful')",0.2346793,0.262168,0.0274887
18,-0.23294017,-0.14238498,"('social', 'asocial')",-0.2329402,-0.142385,0.0905552
7,0.22573195,0.20582706,"('outgoing', 'distant')",0.225732,0.2058271,-0.0199049
31,-0.22146228,-0.2463148,"('altruistic', 'egoistic')",-0.2214623,-0.2463148,-0.0248525
41,-0.21304454,0.0039009005,"('incorrupt', 'corrupt')",-0.2130445,0.0039009,0.2169454
101,0.20003238,0.02782078,"('successful', 'unsuccessful')",0.2000324,0.0278208,-0.1722116
56,-0.19118091,-0.17723602,"('intelligent', 'dumb')",-0.1911809,-0.177236,0.0139449
19,-0.19055265,-0.19859153,"('funny', 'boring')",-0.1905527,-0.1985915,-0.0080388
5,0.19049518,0.05011362,"('pleasant', 'repellent')",0.1904952,0.0501136,-0.1403816
47,-0.18349859,-0.12139483,"('forgiving', 'unforgiving')",-0.1834986,-0.1213948,0.0621038
33,0.1767058,0.26709834,"('softhearted', 'hardhearted')",0.1767058,0.2670983,0.0903925
50,0.17002088,0.064593285,"('unprejudiced', 'prejudiced')",0.1700209,0.0645933,-0.1054276
28,-0.16397735,-0.22517507,"('honest', 'dishonest')",-0.1639774,-0.2251751,-0.0611977
85,0.15767272,0.16904145,"('ambitious', 'unambitious')",0.1576727,0.1690415,0.0113688
61,0.14970568,0.43990898,"('rational', 'irrational')",0.1497057,0.439909,0.2902033
80,0.14796789,0.2415736,"('independent', 'dependent')",0.1479679,0.2415736,0.0936057
107,0.14513347,0.27322304,"('conventional', 'modern')",0.1451335,0.273223,0.1280895
94,0.12945169,0.11665025,"('aggressive', 'submissive')",0.1294517,0.1166503,-0.0128014
58,-0.1176527,-0.17612839,"('able', 'clumsy')",-0.1176527,-0.1761284,-0.0584757
74,-0.115798384,-0.08981934,"('insightful', 'unperceptive')",-0.1157984,-0.0898193,0.0259791
57,0.11295942,-0.059885815,"('able', 'unable')",0.1129594,-0.0598858,-0.1728452
16,-0.11239025,-0.31149262,"('social', 'antisocial')",-0.1123902,-0.3114926,-0.1991024
89,-0.1070188,-0.36005828,"('daring', 'anxious')",-0.1070188,-0.3600583,-0.2530395
32,-0.098263435,-0.0930295,"('benevolent', 'hardhearted')",-0.0982634,-0.0930295,0.0052339
82,0.09227443,0.03466908,"('industrious', 'meek')",0.0922744,0.0346691,-0.0576053
13,0.09037912,0.15712889,"('helpful', 'unhelpful')",0.0903791,0.1571289,0.0667498
86,-0.08295584,-0.031086221,"('self-reliant', 'helpless')",-0.0829558,-0.0310862,0.0518696
8,0.08235285,0.15280941,"('open', 'distant')",0.0823528,0.1528094,0.0704566
30,-0.070070446,-0.18058474,"('honest', 'dishonest')",-0.0700704,-0.1805847,-0.1105143
3,0.06352156,-0.14808442,"('likable', 'unlikable')",0.0635216,-0.1480844,-0.211606
38,-0.048635572,0.021029219,"('kind', 'unkind')",-0.0486356,0.0210292,0.0696648
51,-0.046212345,-0.059426486,"('competent', 'incompetent')",-0.0462123,-0.0594265,-0.0132142
98,-0.045220703,0.101196945,"('prestigious', 'insignificant')",-0.0452207,0.1011969,0.1464176
49,-0.036394432,-0.23958263,"('responsible', 'irresponsible')",-0.0363944,-0.2395826,-0.2031882
36,-0.03291832,-0.060347557,"('tolerant', 'intolerant')",-0.0329183,-0.0603476,-0.0274293
12,0.022494763,0.17978054,"('sympathetic', 'unsympathetic')",0.0224948,0.1797805,0.1572857
92,-0.011263937,0.09862296,"('unwavering', 'wavering')",-0.0112639,0.098623,0.1098869
0,-0.008542344,0.005638227,"('sociable', 'unsociable')",-0.0085423,0.0056382,0.0141805
20,-0.0030152202,0.18630388,"('popular', 'unpopular')",-0.0030152,0.1863039,0.1893191
