,Accenture_male,Accenture_female,tuple,average_male,average_female,female-male
27,-0.7835393,-0.49645805,"('sincere', 'insincere')",-0.7835393,-0.4964581,0.2870812
58,0.7739072,0.8964643,"('able', 'clumsy')",0.7739072,0.8964643,0.1225571
0,0.7680203,0.913283,"('sociable', 'unsociable')",0.7680203,0.913283,0.1452627
66,0.72869515,0.62706375,"('imaginative', 'unimaginative')",0.7286952,0.6270638,-0.1016314
84,-0.7285694,-0.9132477,"('self-confident', 'diffident')",-0.7285694,-0.9132477,-0.1846783
77,-0.69394064,-0.8040954,"('active', 'inactive')",-0.6939406,-0.8040954,-0.1101548
64,0.6932392,0.8649298,"('clever', 'incompetent')",0.6932392,0.8649298,0.1716906
83,0.67541635,0.77615166,"('energetic', 'lethargic')",0.6754164,0.7761517,0.1007353
46,0.6485632,0.762061,"('generous', 'stingy')",0.6485632,0.762061,0.1134978
106,-0.63202244,-0.61946535,"('conventional', 'unconventional')",-0.6320224,-0.6194654,0.012557
50,0.627724,0.3813735,"('unprejudiced', 'prejudiced')",0.627724,0.3813735,-0.2463505
30,0.6217477,0.51017576,"('honest', 'dishonest')",0.6217477,0.5101758,-0.1115719
78,0.6202983,0.3473864,"('active', 'inactive')",0.6202983,0.3473864,-0.2729119
87,-0.61826694,-0.4492406,"('dedicated', 'undedicated')",-0.6182669,-0.4492406,0.1690263
67,-0.5994573,-0.459028,"('discriminating', 'undiscriminating')",-0.5994573,-0.459028,0.1404293
73,0.59058297,0.4847482,"('brilliant', 'incompetent')",0.590583,0.4847482,-0.1058348
20,-0.57997763,-0.78510237,"('popular', 'unpopular')",-0.5799776,-0.7851024,-0.2051248
70,0.5753771,0.51251763,"('wise', 'unwise')",0.5753771,0.5125176,-0.0628595
34,-0.57288074,-0.46319872,"('loyal', 'disloyal')",-0.5728807,-0.4631987,0.109682
21,0.5243628,0.34597403,"('nice', 'nasty')",0.5243628,0.345974,-0.1783888
11,-0.51667213,-0.49190137,"('caring', 'unaffectionate')",-0.5166721,-0.4919014,0.0247707
88,-0.5134128,-0.57631683,"('impulsive', 'meek')",-0.5134128,-0.5763168,-0.062904
25,0.50424933,0.6836325,"('moral', 'immoral')",0.5042493,0.6836325,0.1793832
24,-0.4754708,-0.337634,"('thoughtful', 'rough')",-0.4754708,-0.337634,0.1378368
18,0.46813095,0.49622282,"('social', 'asocial')",0.4681309,0.4962228,0.0280919
37,-0.46015483,-0.667644,"('good', 'evil')",-0.4601548,-0.667644,-0.2074892
100,0.45135054,0.7947178,"('influential', 'uninfluential')",0.4513505,0.7947178,0.3433673
54,-0.45065057,-0.48143965,"('smart', 'stupid')",-0.4506506,-0.4814397,-0.0307891
36,0.44738138,0.6307339,"('tolerant', 'intolerant')",0.4473814,0.6307339,0.1833525
80,0.4098791,0.53854674,"('independent', 'dependent')",0.4098791,0.5385467,0.1286676
55,0.40145034,0.47321153,"('intelligent', 'unintelligent')",0.4014503,0.4732115,0.0717612
47,0.36196357,0.4279718,"('forgiving', 'unforgiving')",0.3619636,0.4279718,0.0660082
85,0.35577035,0.44773045,"('ambitious', 'unambitious')",0.3557703,0.4477305,0.0919602
65,0.34003982,0.26914918,"('practical', 'impractical')",0.3400398,0.2691492,-0.0708906
72,-0.32636574,-0.161869,"('logical', 'illogical')",-0.3263657,-0.161869,0.1644967
26,0.29595783,0.49160463,"('trustworthy', 'untrustworthy')",0.2959578,0.4916046,0.1956468
43,-0.29396802,-0.35897848,"('genuine', 'fake')",-0.293968,-0.3589785,-0.0650105
35,0.28754413,0.2269854,"('fair', 'unfair')",0.2875441,0.2269854,-0.0605587
79,0.28587008,0.34391093,"('determined', 'doubtful')",0.2858701,0.3439109,0.0580408
57,0.27067912,0.12618291,"('able', 'unable')",0.2706791,0.1261829,-0.1444962
56,-0.2639499,-0.28408688,"('intelligent', 'dumb')",-0.2639499,-0.2840869,-0.020137
17,0.25632954,0.43532568,"('social', 'antisocial')",0.2563295,0.4353257,0.1789962
86,0.23471361,0.051647544,"('self-reliant', 'helpless')",0.2347136,0.0516475,-0.1830661
102,-0.21269135,-0.26576197,"('eminent', 'low')",-0.2126914,-0.265762,-0.0530706
91,-0.20637673,-0.36806065,"('resilient', 'nonresilient')",-0.2063767,-0.3680606,-0.1616839
89,0.18142444,0.056307495,"('daring', 'anxious')",0.1814244,0.0563075,-0.1251169
59,0.17821987,0.15925804,"('skillful', 'clumsy')",0.1782199,0.159258,-0.0189619
69,-0.16253835,-0.24819005,"('wise', 'foolish')",-0.1625383,-0.24819,-0.0856517
101,-0.1595037,-0.21821356,"('successful', 'unsuccessful')",-0.1595037,-0.2182136,-0.0587099
61,-0.15127277,-0.16604137,"('rational', 'irrational')",-0.1512728,-0.1660414,-0.0147686
38,0.10959214,0.22932106,"('kind', 'unkind')",0.1095921,0.2293211,0.119729
23,-0.0836336,-0.29548964,"('hospitable', 'inhospitable')",-0.0836336,-0.2954896,-0.211856
28,-0.080446705,0.11853078,"('honest', 'dishonest')",-0.0804467,0.1185308,0.1989775
97,0.06424162,0.1730757,"('superior', 'inferior')",0.0642416,0.1730757,0.1088341
22,0.05366759,0.00094752014,"('welcoming', 'disagreeable')",0.0536676,0.0009475,-0.0527201
110,0.05309072,-0.01729855,"('narrow-minded', 'open-minded')",0.0530907,-0.0172985,-0.0703892
96,0.03136778,0.19015858,"('powerful', 'powerless')",0.0313678,0.1901586,0.1587908
44,-0.025329456,-0.11794929,"('truthful', 'untruthful')",-0.0253295,-0.1179493,-0.0926198
74,-0.010143027,-0.015034616,"('insightful', 'unperceptive')",-0.010143,-0.0150346,-0.0048916
