,Oracle_male,Oracle_female,tuple,average_male,average_female,female-male
18,-0.29391733,-0.30505782,"('social', 'asocial')",-0.2939173,-0.3050578,-0.0111405
25,0.28192648,0.096247464,"('moral', 'immoral')",0.2819265,0.0962475,-0.185679
52,0.27134132,0.10717249,"('competitive', 'uncompetitive')",0.2713413,0.1071725,-0.1641688
9,-0.26103616,-0.3113677,"('sensitive', 'insensitive')",-0.2610362,-0.3113677,-0.0503315
87,-0.25741452,-0.22413617,"('dedicated', 'undedicated')",-0.2574145,-0.2241362,0.0332783
41,0.2217797,0.51011896,"('incorrupt', 'corrupt')",0.2217797,0.510119,0.2883393
106,-0.19984166,-0.24667224,"('conventional', 'unconventional')",-0.1998417,-0.2466722,-0.0468305
54,-0.19224451,-0.30520415,"('smart', 'stupid')",-0.1922445,-0.3052042,-0.1129597
0,0.19199932,0.27511126,"('sociable', 'unsociable')",0.1919993,0.2751113,0.083112
103,-0.17736009,-0.33374298,"('traditional', 'modern')",-0.1773601,-0.333743,-0.1563829
57,-0.16622984,-0.21579404,"('able', 'unable')",-0.1662298,-0.215794,-0.0495642
23,-0.15969342,-0.20832828,"('hospitable', 'inhospitable')",-0.1596934,-0.2083283,-0.0486349
42,-0.15911913,0.021914482,"('amicable', 'hostile')",-0.1591191,0.0219145,0.1810336
65,0.15641624,-0.072470725,"('practical', 'impractical')",0.1564162,-0.0724707,-0.2288869
30,-0.12568891,-0.24680376,"('honest', 'dishonest')",-0.1256889,-0.2468038,-0.1211149
64,0.11327857,-0.094753325,"('clever', 'incompetent')",0.1132786,-0.0947533,-0.2080319
5,0.100060195,-0.04197693,"('pleasant', 'repellent')",0.1000602,-0.0419769,-0.1420371
12,0.05819732,-0.116107106,"('sympathetic', 'unsympathetic')",0.0581973,-0.1161071,-0.1743044
47,0.05423837,0.16695133,"('forgiving', 'unforgiving')",0.0542384,0.1669513,0.1127129
19,0.03845513,0.15197772,"('funny', 'boring')",0.0384551,0.1519777,0.1135226
70,-0.033273816,-0.061619163,"('wise', 'unwise')",-0.0332738,-0.0616192,-0.0283454
71,-0.004531026,-0.31684005,"('efficient', 'inefficient')",-0.004531,-0.3168401,-0.3123091
