,Hilton_male,Hilton_female,tuple,Worldwide_male,Worldwide_female,average_male,average_female,female-male
0,-0.5753224,-0.51849234,"('sociable', 'unsociable')",0.3144437,0.38737744,-0.1304393,-0.0655575,0.0648818
64,0.56488407,0.54042125,"('clever', 'incompetent')",0.13977301,0.17024115,0.3523285,0.3553312,0.0030027
59,0.55232465,0.7662179,"('skillful', 'clumsy')",-0.4902444,-0.2833469,0.0310401,0.2414355,0.2103954
26,0.54756355,0.6791415,"('trustworthy', 'untrustworthy')",0.047146037,-0.0682888,0.2973548,0.3054264,0.0080716
103,0.5217456,0.75884527,"('traditional', 'modern')",0.6361412,0.80166674,0.5789434,0.780256,0.2013126
37,0.5180576,0.50933754,"('good', 'evil')",1.1202816,1.0339692,0.8191696,0.7716534,-0.0475162
41,-0.51250434,-0.34126425,"('incorrupt', 'corrupt')",-0.11195356,0.03471744,-0.3122289,-0.1532734,0.1589555
60,0.51129967,0.6245307,"('educated', 'uneducated')",0.08561212,0.34574074,0.2984559,0.4851357,0.1866798
55,-0.5087151,-0.58806,"('intelligent', 'unintelligent')",-0.83696944,-0.7446731,-0.6728423,-0.6663666,0.0064757
106,-0.47369087,-0.33659226,"('conventional', 'unconventional')",-1.1262994,-1.0397573,-0.7999951,-0.6881747,0.1118204
25,0.47001052,0.3453343,"('moral', 'immoral')",-0.6555189,-0.59448546,-0.0927542,-0.1245756,-0.0318214
9,-0.46940988,-0.47503942,"('sensitive', 'insensitive')",-0.7571052,-0.92054236,-0.6132575,-0.6977909,-0.0845334
29,-0.4623058,-0.2750868,"('honest', 'immoral')",-1.2130789,-1.2549456,-0.8376923,-0.7650162,0.0726761
110,0.4591788,0.5043132,"('narrow-minded', 'open-minded')",0.30400354,0.46813822,0.3815912,0.4862257,0.1046345
67,-0.42814237,-0.42094344,"('discriminating', 'undiscriminating')",-0.9857192,-0.88519,-0.7069308,-0.6530668,0.053864
54,0.42391354,0.23732325,"('smart', 'stupid')",0.84338826,0.7626513,0.6336509,0.4999873,-0.1336636
70,0.42284474,0.596454,"('wise', 'unwise')",0.6013982,0.4693576,0.5121215,0.5329058,0.0207843
76,0.40700722,0.38007867,"('secure', 'insecure')",-0.16477764,-0.11260602,0.1211148,0.1337363,0.0126215
73,0.40412194,0.3027891,"('brilliant', 'incompetent')",-0.7439525,-1.0030173,-0.1699153,-0.3501141,-0.1801988
36,-0.40003306,-0.28971884,"('tolerant', 'intolerant')",-0.27985936,-0.10788751,-0.3399462,-0.1988032,0.141143
91,-0.367626,-0.48870417,"('resilient', 'nonresilient')",-0.66135967,-0.8572618,-0.5144929,-0.672983,-0.1584901
87,-0.34517294,-0.18872806,"('dedicated', 'undedicated')",-1.3861524,-1.4823842,-0.8656627,-0.8355561,0.0301066
82,0.3181156,0.043298185,"('industrious', 'meek')",-0.019579321,0.1895865,0.1492681,0.1164423,-0.0328258
16,0.31322992,0.23092243,"('social', 'antisocial')",0.8102805,0.87475646,0.5617552,0.5528395,-0.0089157
19,-0.30518502,-0.25942284,"('funny', 'boring')",0.39810655,0.41698977,0.0464608,0.0787835,0.0323227
85,-0.30006835,-0.47518933,"('ambitious', 'unambitious')",-0.38027093,-0.52497715,-0.3401696,-0.5000832,-0.1599136
35,0.29008597,0.5331367,"('fair', 'unfair')",0.3773463,0.4743659,0.3337162,0.5037513,0.1700351
100,-0.28175342,0.02223152,"('influential', 'uninfluential')",-0.11970675,-0.0123974085,-0.2007301,0.0049171,0.2056472
57,-0.2552905,-0.24560261,"('able', 'unable')",-0.33579582,-0.3514945,-0.2955432,-0.2985485,-0.0030053
102,-0.24853289,-0.39068303,"('eminent', 'low')",-0.9772731,-0.9992858,-0.612903,-0.6949844,-0.0820814
44,-0.23709676,-0.34095752,"('truthful', 'untruthful')",-0.98725456,-1.1312523,-0.6121756,-0.7361049,-0.1239293
7,-0.20829058,-0.41163594,"('outgoing', 'distant')",0.027100086,-0.23963076,-0.0905952,-0.3256333,-0.2350381
79,0.16619337,0.14650989,"('determined', 'doubtful')",0.4834501,0.39847228,0.3248217,0.2724911,-0.0523306
65,-0.14362425,-0.24595833,"('practical', 'impractical')",-0.67344326,-0.9296818,-0.4085338,-0.5878201,-0.1792863
30,0.11068803,0.21633878,"('honest', 'dishonest')",-1.1575243,-1.2468109,-0.5234182,-0.5152361,0.0081821
17,-0.10794881,-0.06437528,"('social', 'antisocial')",-0.3323688,-0.124203116,-0.2201588,-0.0942892,0.1258696
12,-0.06797373,0.09078044,"('sympathetic', 'unsympathetic')",-0.741052,-0.87789476,-0.4045129,-0.3935572,0.0109557
23,0.048323274,-0.018125772,"('hospitable', 'inhospitable')",0.30787826,0.051050812,0.1781008,0.0164625,-0.1616383
96,0.04165423,0.0407131,"('powerful', 'powerless')",-0.18687764,-0.12818593,-0.0726117,-0.0437364,0.0288753
77,0.038772345,0.11907226,"('active', 'inactive')",-0.016062707,0.031077534,0.0113548,0.0750749,0.0637201
22,0.035929367,-0.124789715,"('welcoming', 'disagreeable')",0.48620397,0.46327156,0.2610667,0.1692409,-0.0918258
18,-0.008301079,0.07193515,"('social', 'asocial')",-0.3076049,-0.34163117,-0.157953,-0.134848,0.023105
43,-0.007273987,0.29447758,"('genuine', 'fake')",-0.5275293,-0.4419334,-0.2674016,-0.0737279,0.1936737
