,LyondellBasell_male,LyondellBasell_female,tuple,average_male,average_female,female-male
39,-0.781218,-0.6097302,"('right', 'wrong')",-0.781218,-0.6097302,0.1714878
68,-0.7798528,-0.88942194,"('clever', 'inept')",-0.7798528,-0.8894219,-0.1095691
52,0.779674,0.7153518,"('competitive', 'uncompetitive')",0.779674,0.7153518,-0.0643222
16,0.77739704,0.6885953,"('social', 'antisocial')",0.777397,0.6885953,-0.0888017
25,0.77105075,0.7380485,"('moral', 'immoral')",0.7710508,0.7380485,-0.0330023
76,0.7651062,0.6201451,"('secure', 'insecure')",0.7651062,0.6201451,-0.1449611
98,-0.7525444,-0.72986937,"('prestigious', 'insignificant')",-0.7525444,-0.7298694,0.022675
54,0.7001629,0.5693179,"('smart', 'stupid')",0.7001629,0.5693179,-0.130845
66,0.68615943,0.7426877,"('imaginative', 'unimaginative')",0.6861594,0.7426877,0.0565283
48,0.66052145,0.5221056,"('reliable', 'unreliable')",0.6605214,0.5221056,-0.1384158
60,0.65231633,0.72118294,"('educated', 'uneducated')",0.6523163,0.7211829,0.0688666
19,-0.61779964,-0.5532881,"('funny', 'boring')",-0.6177996,-0.5532881,0.0645115
32,-0.61746204,-0.5269555,"('benevolent', 'hardhearted')",-0.617462,-0.5269555,0.0905065
63,-0.6106381,-0.5815781,"('capable', 'incapable')",-0.6106381,-0.5815781,0.02906
21,0.5988601,0.5528135,"('nice', 'nasty')",0.5988601,0.5528135,-0.0460466
87,-0.5979879,-0.58532083,"('dedicated', 'undedicated')",-0.5979879,-0.5853208,0.0126671
93,0.596821,0.5077057,"('dominating', 'dominated')",0.596821,0.5077057,-0.0891153
92,-0.5836848,-0.59788233,"('unwavering', 'wavering')",-0.5836848,-0.5978823,-0.0141975
5,0.576378,0.42652044,"('pleasant', 'repellent')",0.576378,0.4265204,-0.1498576
70,0.5762469,0.5795863,"('wise', 'unwise')",0.5762469,0.5795863,0.0033394
100,0.5729249,0.70664984,"('influential', 'uninfluential')",0.5729249,0.7066498,0.1337249
4,-0.56706774,-0.6047859,"('likable', 'unlikable')",-0.5670677,-0.6047859,-0.0377182
84,-0.55409503,-0.6675701,"('self-confident', 'diffident')",-0.554095,-0.6675701,-0.1134751
65,-0.5477465,-0.6099099,"('practical', 'impractical')",-0.5477465,-0.6099099,-0.0621634
89,0.54234296,0.41329503,"('daring', 'anxious')",0.542343,0.413295,-0.129048
46,0.54088557,0.5920669,"('generous', 'stingy')",0.5408856,0.5920669,0.0511813
23,0.5208559,0.53282624,"('hospitable', 'inhospitable')",0.5208559,0.5328262,0.0119703
88,-0.5193358,-0.44212103,"('impulsive', 'meek')",-0.5193358,-0.442121,0.0772148
1,-0.5179612,-0.356583,"('friendly', 'unfriendly')",-0.5179612,-0.356583,0.1613782
105,-0.49503005,-0.44979385,"('conventional', 'modern')",-0.49503,-0.4497938,0.0452362
43,-0.48845893,-0.3926193,"('genuine', 'fake')",-0.4884589,-0.3926193,0.0958396
45,-0.47704405,-0.5903423,"('cooperative', 'exploitative')",-0.477044,-0.5903423,-0.1132983
101,-0.46849695,-0.48427916,"('successful', 'unsuccessful')",-0.4684969,-0.4842792,-0.0157823
26,-0.45010602,-0.35371596,"('trustworthy', 'untrustworthy')",-0.450106,-0.353716,0.09639
78,0.44869497,0.34407958,"('active', 'inactive')",0.448695,0.3440796,-0.1046154
97,-0.43861666,-0.36842,"('superior', 'inferior')",-0.4386167,-0.36842,0.0701967
10,-0.43413162,-0.19814596,"('affectionate', 'unaffectionate')",-0.4341316,-0.198146,0.2359856
33,0.42789978,0.5551087,"('softhearted', 'hardhearted')",0.4278998,0.5551087,0.1272089
55,0.424517,0.35977244,"('intelligent', 'unintelligent')",0.424517,0.3597724,-0.0647446
50,0.41646203,0.38651714,"('unprejudiced', 'prejudiced')",0.416462,0.3865171,-0.0299449
61,-0.41116974,-0.1985789,"('rational', 'irrational')",-0.4111697,-0.1985789,0.2125908
102,0.40793672,0.41053337,"('eminent', 'low')",0.4079367,0.4105334,0.0025967
34,-0.38963667,-0.3508038,"('loyal', 'disloyal')",-0.3896367,-0.3508038,0.0388329
30,-0.3683208,-0.46843153,"('honest', 'dishonest')",-0.3683208,-0.4684315,-0.1001107
14,0.35750908,0.29327527,"('supportive', 'unsupportive')",0.3575091,0.2932753,-0.0642338
3,0.349341,0.33841604,"('likable', 'unlikable')",0.349341,0.338416,-0.010925
91,0.34707654,0.3234541,"('resilient', 'nonresilient')",0.3470765,0.3234541,-0.0236224
49,0.3398716,0.26422668,"('responsible', 'irresponsible')",0.3398716,0.2642267,-0.0756449
83,0.339294,0.32376173,"('energetic', 'lethargic')",0.339294,0.3237617,-0.0155323
99,-0.33716467,-0.2209605,"('prestigious', 'insignificant')",-0.3371647,-0.2209605,0.1162042
59,-0.3327111,-0.33470213,"('skillful', 'clumsy')",-0.3327111,-0.3347021,-0.001991
36,0.3260445,0.3313564,"('tolerant', 'intolerant')",0.3260445,0.3313564,0.0053119
31,-0.3136206,-0.28687093,"('altruistic', 'egoistic')",-0.3136206,-0.2868709,0.0267497
104,-0.30254814,-0.14204793,"('conventional', 'unconventional')",-0.3025481,-0.1420479,0.1605002
24,-0.28569025,-0.22612385,"('thoughtful', 'rough')",-0.2856902,-0.2261239,0.0595663
28,-0.27128062,-0.23034817,"('honest', 'dishonest')",-0.2712806,-0.2303482,0.0409324
56,-0.26650345,-0.31821463,"('intelligent', 'dumb')",-0.2665035,-0.3182146,-0.0517111
8,-0.25499323,-0.18597363,"('open', 'distant')",-0.2549932,-0.1859736,0.0690196
20,-0.25333232,-0.29738367,"('popular', 'unpopular')",-0.2533323,-0.2973837,-0.0440514
77,-0.25273973,-0.26922122,"('active', 'inactive')",-0.2527397,-0.2692212,-0.0164815
17,0.25080338,0.41280517,"('social', 'antisocial')",0.2508034,0.4128052,0.1620018
11,-0.24424808,-0.09886247,"('caring', 'unaffectionate')",-0.2442481,-0.0988625,0.1453856
79,-0.24344042,-0.3149125,"('determined', 'doubtful')",-0.2434404,-0.3149125,-0.0714721
38,-0.24159294,-0.17865883,"('kind', 'unkind')",-0.2415929,-0.1786588,0.0629341
37,-0.24058211,-0.29267764,"('good', 'evil')",-0.2405821,-0.2926776,-0.0520955
96,0.23589492,0.14717856,"('powerful', 'powerless')",0.2358949,0.1471786,-0.0887163
62,-0.17597581,-0.14842692,"('creative', 'uncreative')",-0.1759758,-0.1484269,0.0275489
67,-0.16711183,-0.13350525,"('discriminating', 'undiscriminating')",-0.1671118,-0.1335053,0.0336065
44,-0.15706205,-0.091971606,"('truthful', 'untruthful')",-0.1570621,-0.0919716,0.0650905
29,-0.14817312,-0.24740392,"('honest', 'immoral')",-0.1481731,-0.2474039,-0.0992308
18,-0.13178869,-0.11300413,"('social', 'asocial')",-0.1317887,-0.1130041,0.0187846
47,0.117068656,0.15360434,"('forgiving', 'unforgiving')",0.1170687,0.1536043,0.0365356
7,-0.11581305,-0.081543684,"('outgoing', 'distant')",-0.115813,-0.0815437,0.0342693
86,0.114084244,0.20405842,"('self-reliant', 'helpless')",0.1140842,0.2040584,0.0899742
58,0.10689783,0.10526627,"('able', 'clumsy')",0.1068978,0.1052663,-0.0016315
85,0.08952439,0.078862235,"('ambitious', 'unambitious')",0.0895244,0.0788622,-0.0106622
9,-0.08706069,-0.21932958,"('sensitive', 'insensitive')",-0.0870607,-0.2193296,-0.1322689
35,-0.07576243,0.025534943,"('fair', 'unfair')",-0.0757624,0.0255349,0.1012973
51,0.048334032,-0.02236563,"('competent', 'incompetent')",0.048334,-0.0223656,-0.0706996
72,0.033170804,0.15680537,"('logical', 'illogical')",0.0331708,0.1568054,0.1236346
73,0.03280233,-0.07318248,"('brilliant', 'incompetent')",0.0328023,-0.0731825,-0.1059848
64,0.025826514,-0.056868345,"('clever', 'incompetent')",0.0258265,-0.0568683,-0.0826948
42,-0.023900062,0.06673911,"('amicable', 'hostile')",-0.0239001,0.0667391,0.0906392
13,-0.020881474,-0.057668716,"('helpful', 'unhelpful')",-0.0208815,-0.0576687,-0.0367872
57,-0.0081819445,-0.18933393,"('able', 'unable')",-0.0081819,-0.1893339,-0.181152
74,-0.0035335422,-0.07172699,"('insightful', 'unperceptive')",-0.0035335,-0.071727,-0.0681935
106,0.0008495599,0.101465605,"('conventional', 'unconventional')",0.0008496,0.1014656,0.100616
