,CME_male,CME_female,tuple,Group_male,Group_female,average_male,average_female,female-male
37,0.7195349,0.42104295,"('good', 'evil')",0.7744244,0.91167974,0.7469796,0.6663613,-0.0806183
45,-0.7093191,-0.8239206,"('cooperative', 'exploitative')",-1.9009249,-1.9702867,-1.305122,-1.3971037,-0.0919817
28,-0.6883371,-0.41625142,"('honest', 'dishonest')",-1.2048888,-1.128978,-0.946613,-0.7726147,0.1739983
82,0.63675654,0.32339808,"('industrious', 'meek')",0.9025123,1.1112237,0.7696344,0.7173109,-0.0523235
88,0.6327599,0.40068373,"('impulsive', 'meek')",1.5234294,1.4456608,1.0780947,0.9231723,-0.1549224
104,-0.6009312,-0.59350145,"('conventional', 'unconventional')",-0.67142415,-0.24533151,-0.6361777,-0.4194165,0.2167612
48,0.5988126,0.3482784,"('reliable', 'unreliable')",1.8447677,1.6735976,1.2217901,1.0109379,-0.2108522
30,-0.5461353,-0.3056929,"('honest', 'dishonest')",0.04217182,-0.04210545,-0.2519817,-0.1738992,0.0780825
0,-0.529097,-0.073397264,"('sociable', 'unsociable')",-0.40689105,-0.3461396,-0.467994,-0.2097684,0.2582256
47,-0.5005233,-0.2713593,"('forgiving', 'unforgiving')",-0.9559828,-0.9265202,-0.7282531,-0.5989398,0.1293133
52,-0.4879231,-0.054600924,"('competitive', 'uncompetitive')",-0.0655148,-0.03451228,-0.2767189,-0.0445566,0.2321623
103,0.48037565,0.7450062,"('traditional', 'modern')",0.87036145,0.92975515,0.6753685,0.8373806,0.1620121
59,-0.47801125,-0.22316244,"('skillful', 'clumsy')",0.56868166,0.8225073,0.0453352,0.2996724,0.2543372
12,-0.46557975,-0.026810363,"('sympathetic', 'unsympathetic')",-0.7666068,-0.9300687,-0.6160933,-0.4784395,0.1376538
17,-0.45706046,-0.15163478,"('social', 'antisocial')",-1.5508528,-1.3880534,-1.0039566,-0.7698441,0.2341125
85,-0.4569653,-0.38538474,"('ambitious', 'unambitious')",-0.9323306,-0.99152136,-0.694648,-0.6884531,0.0061949
54,0.45257837,0.21832791,"('smart', 'stupid')",0.23790723,0.18104374,0.3452428,0.1996858,-0.145557
3,0.44972235,0.5056363,"('likable', 'unlikable')",1.3933429,1.2382158,0.9215326,0.8719261,-0.0496065
100,-0.43967247,0.012968212,"('influential', 'uninfluential')",-0.5620071,-0.310604,-0.5008398,-0.1488179,0.3520219
41,0.43631947,0.29646963,"('incorrupt', 'corrupt')",0.68986225,1.0056114,0.5630909,0.6510406,0.0879497
2,-0.4361642,-0.03905552,"('friendly', 'unfriendly')",-0.44472814,-0.44586506,-0.4404462,-0.2424603,0.1979859
5,-0.42344663,-0.21388176,"('pleasant', 'repellent')",0.15378407,-0.012486555,-0.1348313,-0.1131842,0.0216471
35,0.41856188,0.5030265,"('fair', 'unfair')",0.6207746,0.8404393,0.5196682,0.6717329,0.1520647
109,-0.412243,0.002538994,"('conservative', 'liberal')",-0.16389841,-0.30879396,-0.2880707,-0.1531275,0.1349432
108,-0.412243,0.002538994,"('conservative', 'liberal')",-0.16389841,-0.30879396,-0.2880707,-0.1531275,0.1349432
10,0.40623048,0.30586618,"('affectionate', 'unaffectionate')",-1.1393261,-0.8931228,-0.3665478,-0.2936283,0.0729195
22,0.40389502,0.44938573,"('welcoming', 'disagreeable')",0.5881824,0.64519274,0.4960387,0.5472893,0.0512506
63,-0.39634645,-0.4361125,"('capable', 'incapable')",-0.56577706,-0.4710226,-0.4810618,-0.4535676,0.0274942
79,-0.3949743,-0.3366314,"('determined', 'doubtful')",-0.15765628,-0.30015415,-0.2763153,-0.3183928,-0.0420775
43,-0.39230663,-0.33526137,"('genuine', 'fake')",-0.88670385,-0.9199076,-0.6395053,-0.6275845,0.0119208
71,-0.38521898,-0.13899297,"('efficient', 'inefficient')",-0.76204103,-1.0111597,-0.57363,-0.5750763,-0.0014463
107,-0.3834549,0.19858614,"('conventional', 'modern')",0.738622,0.5124657,0.1775836,0.3555259,0.1779423
46,0.36765528,0.40618074,"('generous', 'stingy')",0.9692997,0.9897683,0.6684775,0.6979746,0.0294971
44,-0.3676242,-0.35001165,"('truthful', 'untruthful')",-0.13600042,-0.25821292,-0.2518123,-0.3041123,-0.0523
98,-0.3642467,-0.629359,"('prestigious', 'insignificant')",0.3881728,0.41579565,0.0119631,-0.1067817,-0.1187448
110,-0.35957348,-0.3979724,"('narrow-minded', 'open-minded')",-0.15787387,-0.1721431,-0.2587237,-0.2850578,-0.0263341
94,0.34748936,0.6425725,"('aggressive', 'submissive')",0.06651914,-0.14785033,0.2070042,0.2473611,0.0403569
97,-0.34644336,-0.0747944,"('superior', 'inferior')",-0.6515706,-0.39768904,-0.499007,-0.2362417,0.2627653
80,0.34588236,0.4218646,"('independent', 'dependent')",0.7788498,0.8744364,0.5623661,0.6481505,0.0857844
99,0.31789595,-0.28616792,"('prestigious', 'insignificant')",0.30995694,0.51857895,0.3139265,0.1162055,-0.197721
39,-0.31622243,-0.4707085,"('right', 'wrong')",-0.17319244,0.1579107,-0.2447074,-0.1563989,0.0883085
20,-0.311556,-0.27894557,"('popular', 'unpopular')",1.0949076,1.2217617,0.3916758,0.4714081,0.0797323
91,0.3101215,0.21486397,"('resilient', 'nonresilient')",-0.19396849,-0.093790576,0.0580765,0.0605367,0.0024602
32,-0.30861396,-0.27255726,"('benevolent', 'hardhearted')",-1.5650207,-1.3805013,-0.9368173,-0.8265293,0.110288
23,0.30260456,0.015512198,"('hospitable', 'inhospitable')",0.839142,0.7548155,0.5708733,0.3851638,-0.1857095
1,0.29527068,0.20868485,"('friendly', 'unfriendly')",-1.6588626,-1.3635361,-0.681796,-0.5774257,0.1043703
96,0.28816652,0.19130641,"('powerful', 'powerless')",0.41390386,0.47129026,0.3510352,0.3312984,-0.0197368
81,0.24360663,-0.14614654,"('industrious', 'lazy')",0.85116386,1.0533849,0.5473852,0.4536192,-0.093766
102,-0.2261792,-0.17541409,"('eminent', 'low')",0.56536305,0.7146404,0.1695919,0.2696131,0.1000212
90,0.22268644,0.28771514,"('motivated', 'unmotivated')",0.67405707,0.6063706,0.4483718,0.4470429,-0.0013289
62,-0.17230073,-0.09681042,"('creative', 'uncreative')",-0.30630842,-0.33219242,-0.2393046,-0.2145014,0.0248032
89,-0.17048794,-0.17490281,"('daring', 'anxious')",-0.09288578,-0.23951715,-0.1316869,-0.20721,-0.0755231
11,0.16508889,0.15479013,"('caring', 'unaffectionate')",-1.4996012,-1.3906996,-0.6672562,-0.6179547,0.0493015
55,0.14795116,0.41466442,"('intelligent', 'unintelligent')",-0.21457824,-0.08281401,-0.0333135,0.1659252,0.1992387
16,-0.14701694,0.1915905,"('social', 'antisocial')",-0.76079905,-0.7872024,-0.453908,-0.297806,0.156102
76,0.14066014,0.49268135,"('secure', 'insecure')",-0.33648872,-0.32083607,-0.0979143,0.0859226,0.1838369
84,-0.13025658,-0.46203125,"('self-confident', 'diffident')",-0.6263952,-0.5834639,-0.3783259,-0.5227476,-0.1444217
105,-0.11885992,-0.04420045,"('conventional', 'modern')",-0.8220514,-0.7898462,-0.4704556,-0.4170233,0.0534323
57,0.11797277,0.0009174794,"('able', 'unable')",0.22977036,0.315879,0.1738716,0.1583982,-0.0154734
18,-0.114534445,-0.06780058,"('social', 'asocial')",-1.058042,-1.0001144,-0.5862883,-0.5339575,0.0523308
69,-0.057331722,-0.28156215,"('wise', 'foolish')",0.4258079,0.60023564,0.1842381,0.1593367,-0.0249014
93,-0.057269305,0.0022310019,"('dominating', 'dominated')",0.29059702,0.16884139,0.1166639,0.0855362,-0.0311277
92,0.0560219,-0.08192402,"('unwavering', 'wavering')",0.5523386,0.48339194,0.3041803,0.200734,-0.1034463
19,0.054259956,0.038126707,"('funny', 'boring')",0.031997263,0.17675704,0.0431286,0.1074419,0.0643133
33,-0.04708317,-0.01299727,"('softhearted', 'hardhearted')",-1.2304585,-0.9917582,-0.6387708,-0.5023777,0.1363931
15,0.017689198,0.3639962,"('polite', 'impolite')",0.6039482,0.6048941,0.3108187,0.4844452,0.1736265
14,0.011485651,-0.064940624,"('supportive', 'unsupportive')",0.16738492,-0.07455863,0.0894353,-0.0697496,-0.1591849
56,-0.0033271313,-0.2622657,"('intelligent', 'dumb')",1.2655385,1.3052688,0.6311057,0.5215015,-0.1096042
31,0.0009777546,0.011049271,"('altruistic', 'egoistic')",-0.055580243,0.27682877,-0.0273012,0.143939,0.1712402
