,Pfizer_male,Pfizer_female,tuple,average_male,average_female,female-male
47,1.512787,1.4515022,"('ambitious', 'unambitious')",1.5127869844436646,1.4515022039413452,-0.061284780502319336
6,1.4663535,1.281167,"('supportive', 'unsupportive')",1.4663535356521606,1.2811670303344727,-0.185186505317688
25,1.4088206,1.5060494,"('forgiving', 'unforgiving')",1.408820629119873,1.506049394607544,0.0972287654876709
26,1.3707415,1.1965376,"('reliable', 'unreliable')",1.3707414865493774,1.1965376138687134,-0.17420387268066406
24,1.3615919,1.4917715,"('generous', 'stingy')",1.3615919351577759,1.4917714595794678,0.1301795244216919
36,-1.3492842,-1.4051125,"('capable', 'incapable')",-1.3492841720581055,-1.4051125049591064,-0.05582833290100098
1,-1.2992957,-1.2476461,"('friendly', 'unfriendly')",-1.2992956638336182,-1.2476460933685303,0.05164957046508789
33,1.2091511,1.4561476,"('educated', 'uneducated')",1.2091511487960815,1.45614755153656,0.24699640274047852
43,-1.160317,-1.0667213,"('active', 'inactive')",-1.1603169441223145,-1.0667213201522827,0.09359562397003174
31,1.1326972,1.1770381,"('intelligent', 'unintelligent')",1.1326972246170044,1.1770380735397339,0.04434084892272949
55,-1.1212906,-0.7736991,"('conventional', 'unconventional')",-1.1212905645370483,-0.7736991047859192,0.34759145975112915
8,-1.1126335,-1.1542476,"('popular', 'unpopular')",-1.112633466720581,-1.1542476415634155,-0.04161417484283447
10,-1.0619645,-1.1089113,"('hospitable', 'inhospitable')",-1.061964511871338,-1.1089112758636475,-0.04694676399230957
2,1.0502796,1.0835114,"('likable', 'unlikable')",1.0502796173095703,1.0835113525390625,0.03323173522949219
53,1.0189731,1.1128236,"('influential', 'uninfluential')",1.0189731121063232,1.1128236055374146,0.09385049343109131
37,1.0018377,0.91853094,"('practical', 'impractical')",1.0018377304077148,0.9185309410095215,-0.08330678939819336
49,0.96157336,0.90470237,"('motivated', 'unmotivated')",0.9615733623504639,0.904702365398407,-0.056870996952056885
14,0.9254529,1.0217052,"('honest', 'dishonest')",0.9254528880119324,1.021705150604248,0.09625226259231567
20,-0.8622078,-0.92665416,"('right', 'wrong')",-0.8622077703475952,-0.9266541600227356,-0.06444638967514038
54,-0.8586009,-0.7962707,"('successful', 'unsuccessful')",-0.858600914478302,-0.7962707281112671,0.06233018636703491
19,0.734354,0.830469,"('kind', 'unkind')",0.7343540191650391,0.830469012260437,0.09611499309539795
45,0.6781207,0.7764669,"('independent', 'dependent')",0.6781206727027893,0.7764669060707092,0.09834623336791992
28,0.6122389,0.47646785,"('unprejudiced', 'prejudiced')",0.612238883972168,0.4764678478240967,-0.1357710361480713
40,0.48403102,0.6043264,"('logical', 'illogical')",0.4840310215950012,0.6043264269828796,0.12029540538787842
52,-0.43270892,-0.38056886,"('superior', 'inferior')",-0.4327089190483093,-0.38056886196136475,0.05214005708694458
38,-0.3507152,-0.18419696,"('discriminating', 'undiscriminating')",-0.35071519017219543,-0.18419696390628815,0.1665182262659073
50,-0.33457264,-0.32588473,"('rich', 'poor')",-0.3345726430416107,-0.32588472962379456,0.008687913417816162
51,-0.29007435,-0.17679924,"('powerful', 'powerless')",-0.29007434844970703,-0.1767992377281189,0.11327511072158813
41,0.2723233,0.0687536,"('confident', 'shy')",0.2723233103752136,0.06875360012054443,-0.2035697102546692
35,-0.26650807,-0.38511866,"('creative', 'uncreative')",-0.2665080726146698,-0.38511866331100464,-0.11861059069633484
56,-0.17648032,-0.10952568,"('conventional', 'unconventional')",-0.17648032307624817,-0.10952568054199219,0.06695464253425598
30,-0.16131133,-0.18024239,"('smart', 'stupid')",-0.1613113284111023,-0.1802423894405365,-0.018931061029434204
44,-0.14615622,-0.588041,"('active', 'inactive')",-0.1461562216281891,-0.5880410075187683,-0.4418847858905792
32,0.13341942,0.039866835,"('able', 'unable')",0.13341942429542542,0.03986683487892151,-0.0935525894165039
15,0.13114919,0.32300928,"('loyal', 'disloyal')",0.13114918768405914,0.32300928235054016,0.19186009466648102
48,-0.102199614,0.012198687,"('dedicated', 'undedicated')",-0.10219961404800415,0.012198686599731445,0.1143983006477356
9,0.046307564,-0.19393736,"('nice', 'nasty')",0.04630756378173828,-0.19393736124038696,-0.24024492502212524
16,0.03896594,0.06567189,"('fair', 'unfair')",0.03896594047546387,0.0656718909740448,0.026705950498580933
