,Celanese_male,Celanese_female,tuple,average_male,average_female,female-male
48,0.6533805,0.5468967,"('reliable', 'unreliable')",0.6533805,0.5468967,-0.1064838
100,0.6501385,1.2368611,"('influential', 'uninfluential')",0.6501385,1.2368611,0.5867226
52,0.6447147,0.8182884,"('competitive', 'uncompetitive')",0.6447147,0.8182884,0.1735737
51,0.5747366,0.77612114,"('competent', 'incompetent')",0.5747366,0.7761211,0.2013845
63,-0.5708744,-0.40717947,"('capable', 'incapable')",-0.5708744,-0.4071795,0.1636949
43,-0.56921095,-0.5993447,"('genuine', 'fake')",-0.5692109,-0.5993447,-0.0301338
82,-0.5690534,-0.58445966,"('industrious', 'meek')",-0.5690534,-0.5844597,-0.0154063
72,-0.54722965,-0.17670685,"('logical', 'illogical')",-0.5472296,-0.1767069,0.3705227
97,-0.5441421,-0.47003433,"('superior', 'inferior')",-0.5441421,-0.4700343,0.0741078
56,-0.53809446,-0.44992566,"('intelligent', 'dumb')",-0.5380945,-0.4499257,0.0881688
94,0.53383815,0.70292264,"('aggressive', 'submissive')",0.5338382,0.7029226,0.1690844
9,0.5313071,0.5459555,"('sensitive', 'insensitive')",0.5313071,0.5459555,0.0146484
20,-0.5104799,-0.28371382,"('popular', 'unpopular')",-0.5104799,-0.2837138,0.2267661
98,-0.5023487,-0.52604616,"('prestigious', 'insignificant')",-0.5023487,-0.5260462,-0.0236975
83,0.4961105,0.60887575,"('energetic', 'lethargic')",0.4961105,0.6088758,0.1127653
19,-0.46324572,-0.24035396,"('funny', 'boring')",-0.4632457,-0.240354,0.2228917
2,0.4586522,0.61522347,"('friendly', 'unfriendly')",0.4586522,0.6152235,0.1565713
102,-0.43277413,-0.16906586,"('eminent', 'low')",-0.4327741,-0.1690659,0.2637082
84,-0.426875,-0.15416934,"('self-confident', 'diffident')",-0.426875,-0.1541693,0.2727057
80,0.41167793,0.34270865,"('independent', 'dependent')",0.4116779,0.3427086,-0.0689693
57,-0.39279538,-0.4176582,"('able', 'unable')",-0.3927954,-0.4176582,-0.0248628
46,-0.38727432,-0.2903161,"('generous', 'stingy')",-0.3872743,-0.2903161,0.0969582
65,0.38615647,0.5409261,"('practical', 'impractical')",0.3861565,0.5409261,0.1547696
86,0.37962943,0.17877223,"('self-reliant', 'helpless')",0.3796294,0.1787722,-0.2008572
60,0.36601788,0.8770088,"('educated', 'uneducated')",0.3660179,0.8770088,0.5109909
91,-0.36247185,-0.07696092,"('resilient', 'nonresilient')",-0.3624718,-0.0769609,0.2855109
96,-0.36097658,-0.08873138,"('powerful', 'powerless')",-0.3609766,-0.0887314,0.2722452
58,0.35566562,0.38658726,"('able', 'clumsy')",0.3556656,0.3865873,0.0309217
11,-0.35435605,0.014648527,"('caring', 'unaffectionate')",-0.3543561,0.0146485,0.3690046
110,-0.34017423,-0.56091857,"('narrow-minded', 'open-minded')",-0.3401742,-0.5609186,-0.2207444
87,-0.33115423,-0.10459997,"('dedicated', 'undedicated')",-0.3311542,-0.1046,0.2265542
47,-0.31308067,-0.11591977,"('forgiving', 'unforgiving')",-0.3130807,-0.1159198,0.1971609
77,0.29807097,0.47993785,"('active', 'inactive')",0.298071,0.4799379,0.1818669
64,0.2886421,0.42228237,"('clever', 'incompetent')",0.2886421,0.4222824,0.1336403
62,0.2841877,0.5927346,"('creative', 'uncreative')",0.2841877,0.5927346,0.3085469
21,0.26773587,0.2352274,"('nice', 'nasty')",0.2677359,0.2352274,-0.0325085
8,-0.26581967,-0.1913278,"('open', 'distant')",-0.2658197,-0.1913278,0.0744919
26,0.26341903,0.32826477,"('trustworthy', 'untrustworthy')",0.263419,0.3282648,0.0648458
3,0.25970066,0.39200217,"('likable', 'unlikable')",0.2597007,0.3920022,0.1323015
34,-0.24138634,0.14564203,"('loyal', 'disloyal')",-0.2413863,0.145642,0.3870283
13,-0.22801983,0.08198717,"('helpful', 'unhelpful')",-0.2280198,0.0819872,0.310007
101,-0.22104639,-0.09897977,"('successful', 'unsuccessful')",-0.2210464,-0.0989798,0.1220666
33,-0.20639086,-0.23486963,"('softhearted', 'hardhearted')",-0.2063909,-0.2348696,-0.0284787
93,0.2051799,0.21435596,"('dominating', 'dominated')",0.2051799,0.214356,0.0091761
30,0.20015901,0.42060804,"('honest', 'dishonest')",0.200159,0.420608,0.220449
44,-0.17023396,0.23582008,"('truthful', 'untruthful')",-0.170234,0.2358201,0.4060541
0,0.14840838,0.59674907,"('sociable', 'unsociable')",0.1484084,0.5967491,0.4483407
74,-0.13790041,0.23331589,"('insightful', 'unperceptive')",-0.1379004,0.2333159,0.3712163
7,0.13511854,0.21376239,"('outgoing', 'distant')",0.1351185,0.2137624,0.0786439
22,0.10867694,0.12293099,"('welcoming', 'disagreeable')",0.1086769,0.122931,0.0142541
73,0.105505496,0.20246248,"('brilliant', 'incompetent')",0.1055055,0.2024625,0.096957
17,-0.06788638,0.12251534,"('social', 'antisocial')",-0.0678864,0.1225153,0.1904017
54,0.06662134,0.01299642,"('smart', 'stupid')",0.0666213,0.0129964,-0.0536249
35,-0.057843506,-0.02162686,"('fair', 'unfair')",-0.0578435,-0.0216269,0.0362166
49,0.055057347,0.20165765,"('responsible', 'irresponsible')",0.0550573,0.2016577,0.1466004
59,-0.054122835,-0.05618021,"('skillful', 'clumsy')",-0.0541228,-0.0561802,-0.0020574
50,0.0474509,-0.30185193,"('unprejudiced', 'prejudiced')",0.0474509,-0.3018519,-0.3493028
28,-0.042650938,-0.01003772,"('honest', 'dishonest')",-0.0426509,-0.0100377,0.0326132
88,-0.03690669,0.03711027,"('impulsive', 'meek')",-0.0369067,0.0371103,0.074017
37,-0.032498777,-0.112249315,"('good', 'evil')",-0.0324988,-0.1122493,-0.0797505
78,0.03099946,0.15456106,"('active', 'inactive')",0.0309995,0.1545611,0.1235616
92,0.024857402,0.08678448,"('unwavering', 'wavering')",0.0248574,0.0867845,0.0619271
18,-0.017954819,0.1677267,"('social', 'asocial')",-0.0179548,0.1677267,0.1856815
68,-0.01534719,0.0046573766,"('clever', 'inept')",-0.0153472,0.0046574,0.0200046
105,-0.0072185397,0.2189262,"('conventional', 'modern')",-0.0072185,0.2189262,0.2261447
25,-0.005977571,0.1984722,"('moral', 'immoral')",-0.0059776,0.1984722,0.2044498
67,-0.0038796365,0.23277402,"('discriminating', 'undiscriminating')",-0.0038796,0.232774,0.2366536
