,NXP_male,NXP_female,tuple,average_male,average_female,female-male
7,0.16048092,-0.11081357,"('outgoing', 'distant')",0.1604809,-0.1108136,-0.2712945
93,0.1555633,0.20366973,"('dominating', 'dominated')",0.1555633,0.2036697,0.0481064
51,-0.15219924,-0.104944855,"('competent', 'incompetent')",-0.1521992,-0.1049449,0.0472543
74,-0.1486223,-0.10026645,"('insightful', 'unperceptive')",-0.1486223,-0.1002664,0.0483559
86,-0.14518952,-0.2769431,"('self-reliant', 'helpless')",-0.1451895,-0.2769431,-0.1317536
94,-0.14387955,0.019258887,"('aggressive', 'submissive')",-0.1438795,0.0192589,0.1631384
81,0.14030865,-0.110962376,"('industrious', 'lazy')",0.1403086,-0.1109624,-0.251271
89,-0.11777955,-0.05522777,"('daring', 'anxious')",-0.1177796,-0.0552278,0.0625518
88,-0.11757996,-0.24544334,"('impulsive', 'meek')",-0.11758,-0.2454433,-0.1278633
33,-0.10416871,-0.018274069,"('softhearted', 'hardhearted')",-0.1041687,-0.0182741,0.0858946
31,0.10341455,0.05479154,"('altruistic', 'egoistic')",0.1034146,0.0547915,-0.0486231
43,-0.09621929,0.027436137,"('genuine', 'fake')",-0.0962193,0.0274361,0.1236554
99,-0.09305051,-0.3556484,"('prestigious', 'insignificant')",-0.0930505,-0.3556484,-0.2625979
67,-0.08256527,0.11166683,"('discriminating', 'undiscriminating')",-0.0825653,0.1116668,0.1942321
17,-0.08160207,0.077186555,"('social', 'antisocial')",-0.0816021,0.0771866,0.1587887
5,0.07672642,0.123473406,"('pleasant', 'repellent')",0.0767264,0.1234734,0.046747
59,0.07475528,0.062085822,"('skillful', 'clumsy')",0.0747553,0.0620858,-0.0126695
16,0.03125435,0.18041748,"('social', 'antisocial')",0.0312544,0.1804175,0.1491631
98,-0.017137624,-0.21976614,"('prestigious', 'insignificant')",-0.0171376,-0.2197661,-0.2026285
71,0.006778136,0.19668157,"('efficient', 'inefficient')",0.0067781,0.1966816,0.1899035
30,-0.0058294833,0.15657017,"('honest', 'dishonest')",-0.0058295,0.1565702,0.1623997
97,-0.0031821728,0.1191489,"('superior', 'inferior')",-0.0031822,0.1191489,0.1223311
