,Regeneron_male,Regeneron_female,tuple,Pharmaceuticals_male,Pharmaceuticals_female,average_male,average_female,female-male
78,0.36240202,0.14827819,"('active', 'inactive')",0.4443979,0.37297547,0.4033999,0.2606268,-0.1427731
19,-0.36199123,-0.17747548,"('funny', 'boring')",-0.36977518,-0.3657381,-0.3658832,-0.2716068,0.0942764
22,0.34969285,0.32347715,"('welcoming', 'disagreeable')",0.77331126,0.8968798,0.561502,0.6101785,0.0486765
96,0.33062696,0.28025597,"('powerful', 'powerless')",-0.09693408,-0.14469029,0.1168464,0.0677828,-0.0490636
72,-0.32002217,-0.14592475,"('logical', 'illogical')",-0.67120814,-0.45730162,-0.4956152,-0.3016132,0.194002
80,0.31829882,0.31552428,"('independent', 'dependent')",1.0255629,1.0027032,0.6719308,0.6591138,-0.012817
43,-0.294936,-0.53616256,"('genuine', 'fake')",0.07565591,0.091955215,-0.10964,-0.2221037,-0.1124637
34,0.28991085,0.33926654,"('loyal', 'disloyal')",-1.1717236,-0.95083034,-0.4409064,-0.3057819,0.1351245
87,-0.28281552,-0.39346102,"('dedicated', 'undedicated')",-0.5466957,-0.435032,-0.4147556,-0.4142465,0.0005091
48,0.26122236,0.1607022,"('reliable', 'unreliable')",1.8655382,1.8908663,1.0633802,1.0257843,-0.0375959
38,0.24307093,0.30138162,"('kind', 'unkind')",-1.5048215,-1.3333819,-0.6308753,-0.5160002,0.1148751
28,0.22949547,0.2802672,"('honest', 'dishonest')",-0.49816656,-0.44794396,-0.1343355,-0.0838384,0.0504971
84,-0.21432978,-0.25732106,"('self-confident', 'diffident')",-0.6169282,-0.69672525,-0.415629,-0.4770232,-0.0613942
85,0.20083037,0.3655001,"('ambitious', 'unambitious')",-0.20824957,-0.19757056,-0.0037096,0.0839648,0.0876744
74,0.16361722,0.21259716,"('insightful', 'unperceptive')",-0.39706516,-0.42873162,-0.116724,-0.1080672,0.0086568
27,-0.1469149,-0.114498794,"('sincere', 'insincere')",-3.2824852,-3.3322792,-1.7147001,-1.723389,-0.0086889
57,-0.14289024,-0.35370886,"('able', 'unable')",-0.38009992,-0.52840745,-0.2614951,-0.4410582,-0.1795631
20,0.13496903,0.18732668,"('popular', 'unpopular')",-0.2825124,-0.17794135,-0.0737717,0.0046927,0.0784644
79,-0.13380557,-0.33199275,"('determined', 'doubtful')",1.0489595,0.90017307,0.457577,0.2840902,-0.1734868
54,0.12279032,-0.11574501,"('smart', 'stupid')",0.33943728,0.19094574,0.2311138,0.0376004,-0.1935134
18,0.09151596,0.19858289,"('social', 'asocial')",-0.020236641,-0.05323188,0.0356397,0.0726755,0.0370358
47,-0.08371416,-0.09322153,"('forgiving', 'unforgiving')",-0.7105515,-0.5625461,-0.3971328,-0.3278838,0.069249
70,-0.07082111,0.12805174,"('wise', 'unwise')",0.6758661,0.772895,0.3025225,0.4504734,0.1479509
44,-0.04240732,-0.034976408,"('truthful', 'untruthful')",-0.69272125,-0.69164395,-0.3675643,-0.3633102,0.0042541
24,0.038674086,-0.046525925,"('thoughtful', 'rough')",-0.9889712,-0.9746456,-0.4751486,-0.5105858,-0.0354372
46,-0.0065640807,0.15675068,"('generous', 'stingy')",1.1178253,1.3183542,0.5556306,0.7375525,0.1819219
