,Regency_male,Regency_female,tuple,Centers_male,Centers_female,average_male,average_female,female-male
36,-0.934022,-1.1885614,"('capable', 'incapable')",-0.55190635,-0.5895917,-0.7429641485214233,-0.8890765905380249,-0.14611244201660156
45,0.8648649,1.0727526,"('independent', 'dependent')",0.09947908,0.15454952,0.4821719825267792,0.6136510372161865,0.13147905468940735
13,0.8371825,0.9947115,"('sincere', 'insincere')",-1.5383779,-1.6023815,-0.35059767961502075,-0.3038349747657776,0.046762704849243164
16,0.80686855,0.67777044,"('fair', 'unfair')",0.51944447,0.6162055,0.6631565093994141,0.6469879746437073,-0.016168534755706787
18,0.8060648,0.176112,"('good', 'evil')",0.48664883,0.871065,0.6463568210601807,0.5235885381698608,-0.12276828289031982
23,0.7845165,0.5881659,"('truthful', 'untruthful')",-0.72257334,-0.71902186,0.03097158670425415,-0.0654279887676239,-0.09639957547187805
53,-0.7469598,-0.40514034,"('influential', 'uninfluential')",-1.3497069,-1.3283904,-1.0483334064483643,-0.8667653799057007,0.18156802654266357
31,-0.71826977,-0.48125947,"('intelligent', 'unintelligent')",-0.9997196,-1.1677601,-0.858994722366333,-0.8245097994804382,0.034484922885894775
15,-0.70566297,-0.19864826,"('loyal', 'disloyal')",-1.1708205,-1.0945785,-0.938241720199585,-0.646613359451294,0.291628360748291
47,-0.6232898,-0.3903364,"('ambitious', 'unambitious')",-0.25763744,-0.37126005,-0.4404636323451996,-0.38079822063446045,0.059665411710739136
26,0.6124802,0.88181067,"('reliable', 'unreliable')",1.8534489,1.6030064,1.2329645156860352,1.2424085140228271,0.009443998336791992
48,-0.55771846,-0.62926054,"('dedicated', 'undedicated')",-2.1473656,-2.1970317,-1.3525420427322388,-1.4131461381912231,-0.060604095458984375
38,-0.5412227,-0.48736328,"('discriminating', 'undiscriminating')",-1.269727,-1.1748228,-0.905474841594696,-0.8310930728912354,0.0743817687034607
29,0.53194875,0.21832618,"('competent', 'incompetent')",-1.1434437,-1.1402957,-0.30574747920036316,-0.4609847664833069,-0.15523728728294373
14,-0.46441174,-0.58426654,"('honest', 'dishonest')",-1.4176415,-1.5248301,-0.9410266280174255,-1.0545482635498047,-0.11352163553237915
11,-0.42493114,-0.060843796,"('moral', 'immoral')",-1.3753568,-1.7486355,-0.9001439809799194,-0.9047396779060364,-0.004595696926116943
32,-0.414534,-0.6693318,"('able', 'unable')",-0.39933828,-0.6523151,-0.4069361388683319,-0.6608234643936157,-0.2538873255252838
25,-0.3786765,-0.28253096,"('forgiving', 'unforgiving')",-1.8725843,-1.8737942,-1.1256303787231445,-1.0781625509262085,0.047467827796936035
8,0.35044113,0.39711225,"('popular', 'unpopular')",-0.17134057,0.14545381,0.08955027908086777,0.27128303050994873,0.18173275142908096
20,-0.29328716,-0.01561141,"('right', 'wrong')",-0.15239528,0.2354824,-0.22284121811389923,0.10993549227714539,0.3327767103910446
7,-0.29254144,0.57646716,"('polite', 'impolite')",0.09817475,0.21404931,-0.09718334674835205,0.39525824785232544,0.4924415946006775
22,0.22894257,-0.019328356,"('amicable', 'hostile')",1.1455554,1.4964416,0.687248945236206,0.7385566234588623,0.05130767822265625
42,0.20316857,0.28232473,"('secure', 'insecure')",-0.25958145,-0.563521,-0.028206437826156616,-0.1405981481075287,-0.11239171028137207
43,-0.20250934,-0.042307436,"('active', 'inactive')",-0.55063057,-0.18290004,-0.3765699565410614,-0.11260373890399933,0.2639662176370621
0,-0.1998595,0.48882985,"('sociable', 'unsociable')",-1.6510851,-1.6061008,-0.9254723191261292,-0.5586354732513428,0.3668368458747864
55,-0.1798723,-0.3006817,"('conventional', 'unconventional')",-0.65795213,-0.46212193,-0.41891223192214966,-0.38140183687210083,0.03751039505004883
57,-0.15682697,0.75421834,"('conservative', 'liberal')",0.49187806,0.17858197,0.1675255447626114,0.466400146484375,0.2988746017217636
56,0.1316897,0.2837665,"('conventional', 'unconventional')",0.04146497,0.14347029,0.08657733350992203,0.21361839771270752,0.1270410642027855
39,0.10449535,0.013273895,"('wise', 'foolish')",-0.33324406,-0.25690004,-0.11437435448169708,-0.12181307375431061,-0.007438719272613525
40,-0.09981185,-0.03991455,"('logical', 'illogical')",-1.4748138,-1.3496027,-0.7873128652572632,-0.6947586536407471,0.09255421161651611
54,-0.09512526,-0.58445007,"('successful', 'unsuccessful')",-1.58887,-1.2291341,-0.8419976234436035,-0.9067920446395874,-0.06479442119598389
10,-0.06981066,-0.034838796,"('hospitable', 'inhospitable')",0.41667652,0.53184414,0.17343293130397797,0.2485026717185974,0.07506974041461945
46,-0.06919977,0.054961815,"('energetic', 'lethargic')",-1.1244812,-1.239795,-0.596840500831604,-0.5924165844917297,0.004423916339874268
6,0.05995682,0.19025636,"('supportive', 'unsupportive')",-0.28021324,-0.5411762,-0.11012820899486542,-0.17545992136001587,-0.06533171236515045
2,0.0316109,-0.07834563,"('likable', 'unlikable')",-1.2460691,-1.0555617,-0.6072291135787964,-0.5669536590576172,0.0402754545211792
12,-0.029824197,0.08957565,"('trustworthy', 'untrustworthy')",-0.40277198,-0.44002202,-0.21629808843135834,-0.1752231866121292,0.041074901819229126
9,0.015137315,-0.16126168,"('nice', 'nasty')",1.190075,1.1700912,0.6026061773300171,0.5044147372245789,-0.09819144010543823
