,CBRE_male,CBRE_female,tuple,average_male,average_female,female-male
94,0.58717126,0.5938799,"('aggressive', 'submissive')",0.5871713,0.5938799,0.0067086
74,-0.584378,-0.637311,"('insightful', 'unperceptive')",-0.584378,-0.637311,-0.052933
23,-0.5792872,-0.566485,"('hospitable', 'inhospitable')",-0.5792872,-0.566485,0.0128022
68,-0.5496737,-0.62207234,"('clever', 'inept')",-0.5496737,-0.6220723,-0.0723986
37,-0.5365108,-0.93082154,"('good', 'evil')",-0.5365108,-0.9308215,-0.3943107
13,-0.50257933,-0.31774002,"('helpful', 'unhelpful')",-0.5025793,-0.31774,0.1848393
34,-0.50048995,-0.3225678,"('loyal', 'disloyal')",-0.50049,-0.3225678,0.1779222
55,0.48953032,0.49649274,"('intelligent', 'unintelligent')",0.4895303,0.4964927,0.0069624
100,0.48654562,0.65843683,"('influential', 'uninfluential')",0.4865456,0.6584368,0.1718912
87,-0.45693368,-0.28954363,"('dedicated', 'undedicated')",-0.4569337,-0.2895436,0.1673901
47,-0.42832816,-0.3752783,"('forgiving', 'unforgiving')",-0.4283282,-0.3752783,0.0530499
48,0.41505608,0.32295924,"('reliable', 'unreliable')",0.4150561,0.3229592,-0.0920969
66,0.40587437,0.4248349,"('imaginative', 'unimaginative')",0.4058744,0.4248349,0.0189605
14,-0.40336508,-0.6487576,"('supportive', 'unsupportive')",-0.4033651,-0.6487576,-0.2453925
18,0.3839594,0.36242673,"('social', 'asocial')",0.3839594,0.3624267,-0.0215327
6,0.37897342,0.22917527,"('liked', 'disliked')",0.3789734,0.2291753,-0.1497981
96,0.378335,0.32355595,"('powerful', 'powerless')",0.378335,0.3235559,-0.0547791
0,0.3569428,0.54717565,"('sociable', 'unsociable')",0.3569428,0.5471756,0.1902328
97,-0.35552818,-0.35891232,"('superior', 'inferior')",-0.3555282,-0.3589123,-0.0033841
88,0.35502413,0.17945424,"('impulsive', 'meek')",0.3550241,0.1794542,-0.1755699
86,0.35147575,0.34298015,"('self-reliant', 'helpless')",0.3514757,0.3429801,-0.0084956
33,-0.3444809,-0.27486423,"('softhearted', 'hardhearted')",-0.3444809,-0.2748642,0.0696167
44,-0.3392142,-0.2787068,"('truthful', 'untruthful')",-0.3392142,-0.2787068,0.0605074
8,-0.33777606,-0.6352259,"('open', 'distant')",-0.3377761,-0.6352259,-0.2974498
9,-0.31529793,-0.310745,"('sensitive', 'insensitive')",-0.3152979,-0.310745,0.0045529
51,0.31340647,0.38632527,"('competent', 'incompetent')",0.3134065,0.3863253,0.0729188
58,-0.31016576,-0.23095772,"('able', 'clumsy')",-0.3101658,-0.2309577,0.0792081
85,0.29351324,0.30131105,"('ambitious', 'unambitious')",0.2935132,0.301311,0.0077978
83,0.28529713,0.3283164,"('energetic', 'lethargic')",0.2852971,0.3283164,0.0430193
35,0.26130465,0.1636723,"('fair', 'unfair')",0.2613046,0.1636723,-0.0976323
24,-0.25189394,-0.20257938,"('thoughtful', 'rough')",-0.2518939,-0.2025794,0.0493145
17,0.23981726,0.40268117,"('social', 'antisocial')",0.2398173,0.4026812,0.1628639
43,0.23477124,0.23305169,"('genuine', 'fake')",0.2347712,0.2330517,-0.0017195
106,-0.21934831,-0.12983294,"('conventional', 'unconventional')",-0.2193483,-0.1298329,0.0895154
57,0.20590614,0.03325726,"('able', 'unable')",0.2059061,0.0332573,-0.1726488
36,-0.19689576,-0.11678617,"('tolerant', 'intolerant')",-0.1968958,-0.1167862,0.0801096
59,-0.18309331,0.04475093,"('skillful', 'clumsy')",-0.1830933,0.0447509,0.2278442
54,-0.17629589,-0.33481333,"('smart', 'stupid')",-0.1762959,-0.3348133,-0.1585174
60,0.16393411,0.57257473,"('educated', 'uneducated')",0.1639341,0.5725747,0.4086406
105,0.15849808,0.16152306,"('conventional', 'modern')",0.1584981,0.1615231,0.003025
30,0.15252006,0.31512198,"('honest', 'dishonest')",0.1525201,0.315122,0.1626019
110,0.115500316,0.09132004,"('narrow-minded', 'open-minded')",0.1155003,0.09132,-0.0241803
7,-0.11157119,-0.4627498,"('outgoing', 'distant')",-0.1115712,-0.4627498,-0.3511786
3,0.090826094,-0.036567107,"('likable', 'unlikable')",0.0908261,-0.0365671,-0.1273932
49,0.07406849,0.04105687,"('responsible', 'irresponsible')",0.0740685,0.0410569,-0.0330116
56,-0.06590317,-0.1765241,"('intelligent', 'dumb')",-0.0659032,-0.1765241,-0.1106209
91,-0.06410867,-0.24295172,"('resilient', 'nonresilient')",-0.0641087,-0.2429517,-0.178843
21,0.039640874,-0.16722035,"('nice', 'nasty')",0.0396409,-0.1672204,-0.2068613
29,-0.020290405,0.2150056,"('honest', 'immoral')",-0.0202904,0.2150056,0.235296
22,-0.012466222,-0.09186278,"('welcoming', 'disagreeable')",-0.0124662,-0.0918628,-0.0793966
26,-0.011479974,-0.0100005865,"('trustworthy', 'untrustworthy')",-0.01148,-0.0100006,0.0014794
