,McKesson_male,McKesson_female,tuple,Corporation_male,Corporation_female,average_male,average_female,female-male
24,0.48927537,0.5082327,"('thoughtful', 'rough')",-0.6666918,-0.6926383,-0.0887082,-0.0922028,-0.0034946
59,-0.48900455,-0.31641588,"('skillful', 'clumsy')",0.06462303,0.35131168,-0.2121908,0.0174479,0.2296387
30,0.47769183,0.47179848,"('honest', 'dishonest')",-0.64388895,-0.610849,-0.0830986,-0.0695253,0.0135733
106,0.4677726,0.48027438,"('conventional', 'unconventional')",-0.35674915,-0.2866406,0.0555117,0.0968169,0.0413052
4,-0.45261854,-0.5653943,"('likable', 'unlikable')",-1.1267765,-1.0491971,-0.7896975,-0.8072957,-0.0175982
56,-0.44914046,-0.46805644,"('intelligent', 'dumb')",1.060664,1.050429,0.3057618,0.2911863,-0.0145755
22,0.4441359,0.3914239,"('welcoming', 'disagreeable')",0.7834791,0.9223124,0.6138075,0.6568682,0.0430607
21,0.44405788,0.3250855,"('nice', 'nasty')",0.083910525,0.049200058,0.2639842,0.1871428,-0.0768414
101,-0.4354548,-0.41105455,"('successful', 'unsuccessful')",-2.0361576,-1.8054595,-1.2358062,-1.1082571,0.1275491
44,0.41488203,0.39909714,"('truthful', 'untruthful')",-1.0502793,-1.0505736,-0.3176986,-0.3257382,-0.0080396
53,0.41161123,0.5083451,"('smart', 'stupid')",-4.1904073,-4.529256,-1.889398,-2.0104554,-0.1210574
95,-0.39503062,-0.36276552,"('rich', 'poor')",-5.3035636,-5.4428234,-2.849297,-2.9027944,-0.0534974
78,-0.3817761,-0.6027056,"('active', 'inactive')",2.0573277,1.9229861,0.8377758,0.6601403,-0.1776355
35,-0.3433344,-0.30395287,"('fair', 'unfair')",0.836849,1.0450791,0.2467573,0.3705631,0.1238058
87,-0.31534675,-0.20644218,"('dedicated', 'undedicated')",-0.9341625,-0.80697924,-0.6247546,-0.5067107,0.1180439
57,0.29660335,0.15532464,"('able', 'unable')",-0.059098035,-0.26861152,0.1187527,-0.0566434,-0.1753961
33,-0.29271826,-0.09878376,"('softhearted', 'hardhearted')",-0.68716663,-0.48124987,-0.4899424,-0.2900168,0.1999256
103,0.29044643,0.42556682,"('traditional', 'modern')",1.3085226,1.3149366,0.7994845,0.8702517,0.0707672
28,0.28121924,0.43045157,"('honest', 'dishonest')",-1.754081,-1.7046982,-0.7364309,-0.6371233,0.0993076
70,0.14156574,0.25289837,"('wise', 'unwise')",-0.013055325,0.07970542,0.0642552,0.1663019,0.1020467
45,-0.098989025,-0.10522591,"('cooperative', 'exploitative')",-0.7605086,-0.95082784,-0.4297488,-0.5280269,-0.0982781
97,0.09583709,0.09574879,"('superior', 'inferior')",-1.1821775,-1.0645268,-0.5431702,-0.484389,0.0587812
1,-0.090369344,-0.032743037,"('friendly', 'unfriendly')",-1.9708536,-1.6629757,-1.0306115,-0.8478594,0.1827521
40,0.08140881,-0.057123728,"('honorable', 'mean')",-5.202524,-5.638261,-2.5605576,-2.8476923,-0.2871347
43,-0.017602503,-0.0092583895,"('genuine', 'fake')",-0.4597743,-0.51524913,-0.2386884,-0.2622538,-0.0235654
62,0.013452023,-0.111087054,"('creative', 'uncreative')",-0.59355617,-0.54130137,-0.2900521,-0.3261942,-0.0361421
34,0.010364603,0.22603828,"('loyal', 'disloyal')",-1.952559,-1.8180134,-0.9710972,-0.7959876,0.1751096
