,Halliburton_male,Halliburton_female,tuple,average_male,average_female,female-male
10,-1.0628512,-1.0790445,"('hospitable', 'inhospitable')",-1.0628511905670166,-1.0790444612503052,-0.016193270683288574
4,1.0092312,0.9807644,"('sensitive', 'insensitive')",1.0092312097549438,0.9807643890380859,-0.02846682071685791
29,0.9683038,1.0903375,"('competent', 'incompetent')",0.9683037996292114,1.0903375148773193,0.12203371524810791
6,0.96555406,0.9423302,"('supportive', 'unsupportive')",0.9655540585517883,0.9423301815986633,-0.023223876953125
50,-0.91072935,-1.0079645,"('rich', 'poor')",-0.9107293486595154,-1.0079644918441772,-0.09723514318466187
34,-0.9045527,-0.8082047,"('rational', 'irrational')",-0.904552698135376,-0.808204710483551,0.09634798765182495
14,0.8951481,0.8669585,"('honest', 'dishonest')",0.8951480984687805,0.866958498954773,-0.02818959951400757
51,0.852877,0.8534296,"('powerful', 'powerless')",0.8528770208358765,0.8534296154975891,0.0005525946617126465
25,0.84339345,1.0072054,"('forgiving', 'unforgiving')",0.8433934450149536,1.0072053670883179,0.16381192207336426
12,0.8411094,1.0332669,"('trustworthy', 'untrustworthy')",0.8411093950271606,1.0332669019699097,0.19215750694274902
55,-0.83630514,-0.7627666,"('conventional', 'unconventional')",-0.8363051414489746,-0.7627665996551514,0.07353854179382324
20,-0.7858807,-0.8571176,"('right', 'wrong')",-0.7858806848526001,-0.8571175932884216,-0.07123690843582153
8,-0.75668406,-0.69630986,"('popular', 'unpopular')",-0.7566840648651123,-0.6963098645210266,0.06037420034408569
43,-0.7409078,-0.78512,"('active', 'inactive')",-0.7409077882766724,-0.7851200103759766,-0.0442122220993042
36,-0.7225635,-0.76089823,"('capable', 'incapable')",-0.7225635051727295,-0.760898232460022,-0.03833472728729248
56,0.703161,0.6044885,"('conventional', 'unconventional')",0.7031610012054443,0.6044884920120239,-0.09867250919342041
1,-0.7014967,-0.7107321,"('friendly', 'unfriendly')",-0.7014967203140259,-0.710732102394104,-0.009235382080078125
3,0.6797236,0.8268823,"('liked', 'disliked')",0.6797236204147339,0.8268823027610779,0.147158682346344
24,0.583404,0.69420475,"('generous', 'stingy')",0.583404004573822,0.6942047476768494,0.11080074310302734
32,0.47196674,0.42731953,"('able', 'unable')",0.4719667434692383,0.4273195266723633,-0.044647216796875
15,0.43930998,0.73535687,"('loyal', 'disloyal')",0.4393099844455719,0.735356867313385,0.2960468828678131
41,0.42155644,0.081914365,"('confident', 'shy')",0.4215564429759979,0.08191436529159546,-0.33964207768440247
19,0.41959262,0.5589013,"('kind', 'unkind')",0.41959261894226074,0.558901309967041,0.13930869102478027
26,0.3488597,0.19219846,"('reliable', 'unreliable')",0.3488596975803375,0.19219845533370972,-0.1566612422466278
45,0.32504797,0.07763773,"('independent', 'dependent')",0.32504796981811523,0.07763773202896118,-0.24741023778915405
44,0.32289442,-0.013321057,"('active', 'inactive')",0.322894424200058,-0.013321056962013245,-0.33621548116207123
16,-0.30245975,-0.34877896,"('fair', 'unfair')",-0.3024597465991974,-0.34877896308898926,-0.04631921648979187
35,0.25815353,0.24896511,"('creative', 'uncreative')",0.2581535279750824,0.24896511435508728,-0.009188413619995117
30,0.24614714,0.43332857,"('smart', 'stupid')",0.24614714086055756,0.4333285689353943,0.18718142807483673
40,0.23842818,0.3271736,"('logical', 'illogical')",0.23842817544937134,0.3271735906600952,0.08874541521072388
52,0.22454569,0.18776509,"('superior', 'inferior')",0.2245456874370575,0.18776509165763855,-0.036780595779418945
48,0.21923657,0.07570836,"('dedicated', 'undedicated')",0.2192365676164627,0.07570835947990417,-0.14352820813655853
2,-0.17464733,-0.026159912,"('likable', 'unlikable')",-0.17464733123779297,-0.02615991234779358,0.1484874188899994
9,0.17387944,0.152694,"('nice', 'nasty')",0.1738794445991516,0.1526940017938614,-0.021185442805290222
28,0.17261854,0.13932222,"('unprejudiced', 'prejudiced')",0.1726185381412506,0.1393222212791443,-0.03329631686210632
54,0.118430704,0.13436738,"('successful', 'unsuccessful')",0.11843070387840271,0.13436737656593323,0.015936672687530518
38,0.088195145,0.1945098,"('discriminating', 'undiscriminating')",0.08819514513015747,0.19450980424880981,0.10631465911865234
