,IHS_male,IHS_female,tuple,Markit_male,Markit_female,average_male,average_female,female-male
37,0.2522804,-0.0100905895,"('practical', 'impractical')",-1.1932627,-1.2102493,-0.4704911410808563,-0.6101699471473694,-0.13967880606651306
51,0.24582954,0.32712412,"('powerful', 'powerless')",0.0099993795,-0.15620032,0.1279144585132599,0.08546189963817596,-0.04245255887508392
5,-0.24450499,-0.4852896,"('helpful', 'unhelpful')",-0.9167802,-0.56117696,-0.580642580986023,-0.5232332944869995,0.05740928649902344
2,0.19474792,0.14914814,"('likable', 'unlikable')",0.33643785,0.59560394,0.26559287309646606,0.372376024723053,0.10678315162658691
25,-0.14137006,-0.17872556,"('forgiving', 'unforgiving')",-0.6133698,-0.33122146,-0.3773699402809143,-0.25497350096702576,0.12239643931388855
45,-0.13774832,-0.2729032,"('independent', 'dependent')",0.47461596,0.36088526,0.16843381524085999,0.043991029262542725,-0.12444278597831726
38,-0.12558235,-0.044402838,"('discriminating', 'undiscriminating')",-0.16526225,-0.07986764,-0.1454223096370697,-0.0621352382004261,0.0832870714366436
11,-0.120910205,-0.21317217,"('moral', 'immoral')",-0.81951296,-0.68680596,-0.47021159529685974,-0.44998908042907715,0.020222514867782593
0,-0.08072674,-0.14026721,"('sociable', 'unsociable')",-0.33168468,-0.05428101,-0.20620571076869965,-0.09727410972118378,0.10893160104751587
22,-0.047935545,0.148471,"('amicable', 'hostile')",0.77276206,0.88821346,0.3624132573604584,0.5183422565460205,0.15592899918556213
17,-0.042075276,-0.06494275,"('tolerant', 'intolerant')",-1.077362,-0.8847999,-0.5597186088562012,-0.47487133741378784,0.08484727144241333
31,0.04068327,-0.08129537,"('intelligent', 'unintelligent')",0.100254,0.17505208,0.07046863436698914,0.046878352761268616,-0.02359028160572052
18,-0.031769753,0.098339915,"('good', 'evil')",1.1723254,1.0454273,0.5702778100967407,0.5718836188316345,0.0016058087348937988
47,-0.0076999366,-0.23749772,"('ambitious', 'unambitious')",0.44020835,0.5870708,0.21625420451164246,0.1747865527868271,-0.04146765172481537
