,Nasdaq_male,Nasdaq_female,tuple,average_male,average_female,female-male
67,-0.87339157,-0.9143586,"('discriminating', 'undiscriminating')",-0.8733916,-0.9143586,-0.040967
35,0.8407031,0.8947912,"('fair', 'unfair')",0.8407031,0.8947912,0.0540881
97,-0.83331376,-0.72122896,"('superior', 'inferior')",-0.8333138,-0.721229,0.1120848
9,0.8283124,0.8141293,"('sensitive', 'insensitive')",0.8283124,0.8141293,-0.0141831
100,0.8169894,1.0939084,"('influential', 'uninfluential')",0.8169894,1.0939084,0.276919
88,-0.7952312,-0.9017196,"('impulsive', 'meek')",-0.7952312,-0.9017196,-0.1064884
29,0.7838435,0.7867204,"('honest', 'immoral')",0.7838435,0.7867204,0.0028769
102,0.7134756,0.7492175,"('eminent', 'low')",0.7134756,0.7492175,0.0357419
3,-0.7020451,-0.8057056,"('likable', 'unlikable')",-0.7020451,-0.8057056,-0.1036605
50,0.68273526,0.5058499,"('unprejudiced', 'prejudiced')",0.6827353,0.5058499,-0.1768854
53,-0.67816484,-0.6146644,"('smart', 'stupid')",-0.6781648,-0.6146644,0.0635004
33,-0.6763576,-0.7348062,"('softhearted', 'hardhearted')",-0.6763576,-0.7348062,-0.0584486
27,0.65676594,0.82468826,"('sincere', 'insincere')",0.6567659,0.8246883,0.1679224
101,-0.5746095,-0.50969696,"('successful', 'unsuccessful')",-0.5746095,-0.509697,0.0649125
105,-0.56286764,-0.48867556,"('conventional', 'modern')",-0.5628676,-0.4886756,0.074192
45,0.56238425,0.52832353,"('cooperative', 'exploitative')",0.5623842,0.5283235,-0.0340607
18,0.5529168,0.59697926,"('social', 'asocial')",0.5529168,0.5969793,0.0440625
87,0.54972136,0.5792718,"('dedicated', 'undedicated')",0.5497214,0.5792718,0.0295504
56,0.5412532,0.5166496,"('intelligent', 'dumb')",0.5412532,0.5166496,-0.0246036
72,0.54105353,0.65370333,"('logical', 'illogical')",0.5410535,0.6537033,0.1126498
59,-0.51548666,-0.59009856,"('skillful', 'clumsy')",-0.5154867,-0.5900986,-0.0746119
74,-0.4427811,-0.44606668,"('insightful', 'unperceptive')",-0.4427811,-0.4460667,-0.0032856
78,0.44026363,0.25938487,"('active', 'inactive')",0.4402636,0.2593849,-0.1808787
38,0.34871787,0.423027,"('kind', 'unkind')",0.3487179,0.423027,0.0743091
46,-0.3374536,-0.27895457,"('generous', 'stingy')",-0.3374536,-0.2789546,0.058499
54,0.33614153,0.3004874,"('smart', 'stupid')",0.3361415,0.3004874,-0.0356541
52,0.32569313,0.43712354,"('competitive', 'uncompetitive')",0.3256931,0.4371235,0.1114304
95,0.3097837,0.38670132,"('rich', 'poor')",0.3097837,0.3867013,0.0769176
24,0.29198176,0.25502658,"('thoughtful', 'rough')",0.2919818,0.2550266,-0.0369552
91,-0.26146775,-0.22867882,"('resilient', 'nonresilient')",-0.2614678,-0.2286788,0.032789
110,-0.25596076,-0.22222522,"('narrow-minded', 'open-minded')",-0.2559608,-0.2222252,0.0337356
6,-0.20388722,-0.2353372,"('liked', 'disliked')",-0.2038872,-0.2353372,-0.03145
106,0.19185314,0.17606105,"('conventional', 'unconventional')",0.1918531,0.176061,-0.0157921
96,0.17142856,0.23417637,"('powerful', 'powerless')",0.1714286,0.2341764,0.0627478
21,0.13442072,0.029402196,"('nice', 'nasty')",0.1344207,0.0294022,-0.1050185
23,-0.10999632,-0.14268678,"('hospitable', 'inhospitable')",-0.1099963,-0.1426868,-0.0326905
44,-0.095654935,-0.10757122,"('truthful', 'untruthful')",-0.0956549,-0.1075712,-0.0119163
22,0.07222134,0.058861732,"('welcoming', 'disagreeable')",0.0722213,0.0588617,-0.0133596
47,0.06657544,0.2566701,"('forgiving', 'unforgiving')",0.0665754,0.2566701,0.1900947
86,-0.0507825,-0.23172623,"('self-reliant', 'helpless')",-0.0507825,-0.2317262,-0.1809437
14,0.030584693,-0.03826493,"('supportive', 'unsupportive')",0.0305847,-0.0382649,-0.0688496
68,0.0139430165,-0.0033595562,"('clever', 'inept')",0.013943,-0.0033596,-0.0173026
