,Bio-Techne_male,Bio-Techne_female,tuple,average_male,average_female,female-male
26,0.44538212,0.41830915,"('trustworthy', 'untrustworthy')",0.4453821,0.4183092,-0.0270729
80,0.43351686,0.4745602,"('independent', 'dependent')",0.4335169,0.4745602,0.0410433
101,-0.43036157,-0.28253007,"('successful', 'unsuccessful')",-0.4303616,-0.2825301,0.1478315
20,-0.39967558,-0.17313285,"('popular', 'unpopular')",-0.3996756,-0.1731329,0.2265427
38,-0.39420268,-0.2225092,"('kind', 'unkind')",-0.3942027,-0.2225092,0.1716935
22,-0.38940042,-0.33092636,"('welcoming', 'disagreeable')",-0.3894004,-0.3309264,0.058474
0,0.34522,0.327312,"('sociable', 'unsociable')",0.34522,0.327312,-0.017908
28,0.343096,0.3931136,"('honest', 'dishonest')",0.343096,0.3931136,0.0500176
58,0.31502658,0.4436393,"('able', 'clumsy')",0.3150266,0.4436393,0.1286127
45,-0.3077132,-0.40908715,"('cooperative', 'exploitative')",-0.3077132,-0.4090872,-0.101374
72,-0.301283,-0.17027499,"('logical', 'illogical')",-0.301283,-0.170275,0.131008
43,0.2995535,0.36856362,"('genuine', 'fake')",0.2995535,0.3685636,0.0690101
11,-0.29824972,-0.19436075,"('caring', 'unaffectionate')",-0.2982497,-0.1943607,0.103889
40,-0.28627542,-0.3526012,"('honorable', 'mean')",-0.2862754,-0.3526012,-0.0663258
91,-0.28428736,-0.2258229,"('resilient', 'nonresilient')",-0.2842874,-0.2258229,0.0584645
21,0.28144413,0.23071463,"('nice', 'nasty')",0.2814441,0.2307146,-0.0507295
13,0.2741055,0.24052131,"('helpful', 'unhelpful')",0.2741055,0.2405213,-0.0335842
96,-0.26293498,-0.3348642,"('powerful', 'powerless')",-0.262935,-0.3348642,-0.0719292
50,-0.25993136,-0.36342788,"('unprejudiced', 'prejudiced')",-0.2599314,-0.3634279,-0.1034965
17,-0.25156572,-0.20221525,"('social', 'antisocial')",-0.2515657,-0.2022153,0.0493504
54,-0.23762229,-0.36283445,"('smart', 'stupid')",-0.2376223,-0.3628345,-0.1252122
24,-0.2308501,-0.32015043,"('thoughtful', 'rough')",-0.2308501,-0.3201504,-0.0893003
33,0.22996998,0.20556104,"('softhearted', 'hardhearted')",0.22997,0.205561,-0.024409
78,0.22525534,0.092139125,"('active', 'inactive')",0.2252553,0.0921391,-0.1331162
63,-0.21685277,-0.036504216,"('capable', 'incapable')",-0.2168528,-0.0365042,0.1803486
85,-0.21469626,-0.27349973,"('ambitious', 'unambitious')",-0.2146963,-0.2734997,-0.0588034
56,-0.20963512,-0.18415865,"('intelligent', 'dumb')",-0.2096351,-0.1841587,0.0254764
79,0.2042645,0.09780875,"('determined', 'doubtful')",0.2042645,0.0978087,-0.1064558
49,0.19114453,0.102998435,"('responsible', 'irresponsible')",0.1911445,0.1029984,-0.0881461
73,0.18788803,0.019756198,"('brilliant', 'incompetent')",0.187888,0.0197562,-0.1681318
44,-0.1644445,-0.13570437,"('truthful', 'untruthful')",-0.1644445,-0.1357044,0.0287401
102,-0.12982513,-0.0014599562,"('eminent', 'low')",-0.1298251,-0.00146,0.1283651
3,0.121338695,0.12749833,"('likable', 'unlikable')",0.1213387,0.1274983,0.0061596
6,-0.11308402,-0.11939037,"('liked', 'disliked')",-0.113084,-0.1193904,-0.0063064
42,-0.09465128,0.12519455,"('amicable', 'hostile')",-0.0946513,0.1251945,0.2198458
48,-0.094206914,-0.08560625,"('reliable', 'unreliable')",-0.0942069,-0.0856062,0.0086007
87,-0.08819483,-0.06443292,"('dedicated', 'undedicated')",-0.0881948,-0.0644329,0.0237619
88,-0.08594164,-0.08922398,"('impulsive', 'meek')",-0.0859416,-0.089224,-0.0032824
35,0.06656,0.17127109,"('fair', 'unfair')",0.06656,0.1712711,0.1047111
34,-0.06147692,0.07132771,"('loyal', 'disloyal')",-0.0614769,0.0713277,0.1328046
65,0.038505018,-0.027530432,"('practical', 'impractical')",0.038505,-0.0275304,-0.0660354
25,0.026470482,0.064729154,"('moral', 'immoral')",0.0264705,0.0647292,0.0382587
92,-0.006176591,0.121843815,"('unwavering', 'wavering')",-0.0061766,0.1218438,0.1280204
47,-0.0058175363,0.023455922,"('forgiving', 'unforgiving')",-0.0058175,0.0234559,0.0292734
68,-0.00017400086,-0.011756003,"('clever', 'inept')",-0.000174,-0.011756,-0.011582
