,Hormel_male,Hormel_female,tuple,average_male,average_female,female-male
91,0.7744358,0.6667247,"('resilient', 'nonresilient')",0.7744358,0.6667247,-0.1077111
29,0.7734265,0.68644744,"('honest', 'immoral')",0.7734265,0.6864474,-0.0869791
19,-0.77001196,-0.71339816,"('funny', 'boring')",-0.770012,-0.7133982,0.0566138
89,0.76405746,0.44098043,"('daring', 'anxious')",0.7640575,0.4409804,-0.3230771
49,0.73543805,0.603459,"('responsible', 'irresponsible')",0.735438,0.603459,-0.131979
94,0.7243852,0.44127905,"('aggressive', 'submissive')",0.7243852,0.4412791,-0.2831061
7,-0.7072013,-0.32943004,"('outgoing', 'distant')",-0.7072013,-0.32943,0.3777713
34,0.6762987,0.7733371,"('loyal', 'disloyal')",0.6762987,0.7733371,0.0970384
95,-0.67143977,-0.59555227,"('rich', 'poor')",-0.6714398,-0.5955523,0.0758875
100,0.6658397,0.71961886,"('influential', 'uninfluential')",0.6658397,0.7196189,0.0537792
17,0.6520878,0.6247779,"('social', 'antisocial')",0.6520878,0.6247779,-0.0273099
64,0.64170223,0.16401392,"('clever', 'incompetent')",0.6417022,0.1640139,-0.4776883
1,-0.5942561,-0.40455285,"('friendly', 'unfriendly')",-0.5942561,-0.4045528,0.1897033
3,0.5911017,0.48072135,"('likable', 'unlikable')",0.5911017,0.4807214,-0.1103803
44,0.58768517,0.61081207,"('truthful', 'untruthful')",0.5876852,0.6108121,0.0231269
10,-0.54269123,-0.13558802,"('affectionate', 'unaffectionate')",-0.5426912,-0.135588,0.4071032
50,0.53442746,0.23433569,"('unprejudiced', 'prejudiced')",0.5344275,0.2343357,-0.3000918
92,-0.53270346,-0.2269988,"('unwavering', 'wavering')",-0.5327035,-0.2269988,0.3057047
65,0.53085256,0.34568807,"('practical', 'impractical')",0.5308526,0.3456881,-0.1851645
57,0.50892377,0.24716866,"('able', 'unable')",0.5089238,0.2471687,-0.2617551
73,0.5024121,0.16123569,"('brilliant', 'incompetent')",0.5024121,0.1612357,-0.3411764
83,0.49526197,0.6053005,"('energetic', 'lethargic')",0.495262,0.6053005,0.1100385
63,-0.4722061,-0.22496459,"('capable', 'incapable')",-0.4722061,-0.2249646,0.2472415
72,0.46252736,0.58767414,"('logical', 'illogical')",0.4625274,0.5876741,0.1251467
38,0.43257204,0.6583027,"('kind', 'unkind')",0.432572,0.6583027,0.2257307
61,-0.4079249,-0.12100133,"('rational', 'irrational')",-0.4079249,-0.1210013,0.2869236
93,0.40196845,0.348132,"('dominating', 'dominated')",0.4019684,0.348132,-0.0538364
105,-0.39850673,-0.29185808,"('conventional', 'modern')",-0.3985067,-0.2918581,0.1066486
36,0.37851423,0.48709238,"('tolerant', 'intolerant')",0.3785142,0.4870924,0.1085782
86,-0.3738883,-0.26626188,"('self-reliant', 'helpless')",-0.3738883,-0.2662619,0.1076264
46,-0.34481212,-0.039520264,"('generous', 'stingy')",-0.3448121,-0.0395203,0.3052918
58,0.34479076,0.63953716,"('able', 'clumsy')",0.3447908,0.6395372,0.2947464
18,0.31185108,0.3942995,"('social', 'asocial')",0.3118511,0.3942995,0.0824484
45,0.30432516,0.04628998,"('cooperative', 'exploitative')",0.3043252,0.04629,-0.2580352
97,0.3026511,0.3553298,"('superior', 'inferior')",0.3026511,0.3553298,0.0526787
6,0.28723055,0.4105369,"('liked', 'disliked')",0.2872306,0.4105369,0.1233063
68,-0.28214067,-0.51970345,"('clever', 'inept')",-0.2821407,-0.5197034,-0.2375627
103,0.2798266,0.290596,"('traditional', 'modern')",0.2798266,0.290596,0.0107694
23,-0.27335206,0.21294034,"('hospitable', 'inhospitable')",-0.2733521,0.2129403,0.4862924
37,-0.270674,-0.20627546,"('good', 'evil')",-0.270674,-0.2062755,0.0643985
110,-0.2448336,-0.39011705,"('narrow-minded', 'open-minded')",-0.2448336,-0.390117,-0.1452834
22,-0.24141127,-0.2288528,"('welcoming', 'disagreeable')",-0.2414113,-0.2288528,0.0125585
48,0.21617009,0.35237357,"('reliable', 'unreliable')",0.2161701,0.3523736,0.1362035
102,0.20699835,0.20449336,"('eminent', 'low')",0.2069983,0.2044934,-0.0025049
32,-0.19692916,-0.3106032,"('benevolent', 'hardhearted')",-0.1969292,-0.3106032,-0.113674
79,-0.1757701,-0.15804693,"('determined', 'doubtful')",-0.1757701,-0.1580469,0.0177232
35,-0.17443746,-0.010501325,"('fair', 'unfair')",-0.1744375,-0.0105013,0.1639362
43,0.14783406,0.26375723,"('genuine', 'fake')",0.1478341,0.2637572,0.1159231
96,-0.14540035,-0.15764731,"('powerful', 'powerless')",-0.1454003,-0.1576473,-0.012247
74,0.14302948,0.20088921,"('insightful', 'unperceptive')",0.1430295,0.2008892,0.0578597
20,-0.14273429,-0.014243484,"('popular', 'unpopular')",-0.1427343,-0.0142435,0.1284908
78,0.1422268,-0.24745435,"('active', 'inactive')",0.1422268,-0.2474543,-0.3896811
101,0.13274959,-0.11917971,"('successful', 'unsuccessful')",0.1327496,-0.1191797,-0.2519293
80,0.13048352,0.18009757,"('independent', 'dependent')",0.1304835,0.1800976,0.0496141
24,-0.09705585,-0.18934456,"('thoughtful', 'rough')",-0.0970559,-0.1893446,-0.0922887
47,-0.08909204,-0.07932996,"('forgiving', 'unforgiving')",-0.089092,-0.07933,0.009762
26,0.073000535,0.11181909,"('trustworthy', 'untrustworthy')",0.0730005,0.1118191,0.0388186
77,0.070916235,0.20081347,"('active', 'inactive')",0.0709162,0.2008135,0.1298973
28,0.06250309,0.30411416,"('honest', 'dishonest')",0.0625031,0.3041142,0.2416111
27,0.057651743,0.27675012,"('sincere', 'insincere')",0.0576517,0.2767501,0.2190984
59,0.053728163,0.26365742,"('skillful', 'clumsy')",0.0537282,0.2636574,0.2099292
87,0.05247301,0.116769835,"('dedicated', 'undedicated')",0.052473,0.1167698,0.0642968
85,0.044490352,-0.078477815,"('ambitious', 'unambitious')",0.0444904,-0.0784778,-0.1229682
84,-0.022314668,-0.0056084692,"('self-confident', 'diffident')",-0.0223147,-0.0056085,0.0167062
54,0.019429848,-0.37846217,"('smart', 'stupid')",0.0194298,-0.3784622,-0.397892
11,0.016280025,0.4219999,"('caring', 'unaffectionate')",0.01628,0.4219999,0.4057199
106,-0.014695942,-0.18942949,"('conventional', 'unconventional')",-0.0146959,-0.1894295,-0.1747336
62,0.0063259304,0.11737713,"('creative', 'uncreative')",0.0063259,0.1173771,0.1110512
