,Exelon_male,Exelon_female,tuple,average_male,average_female,female-male
55,0.92377347,0.9218497,"('intelligent', 'unintelligent')",0.9237735,0.9218497,-0.0019238
49,0.86108,0.79036903,"('responsible', 'irresponsible')",0.86108,0.790369,-0.070711
20,-0.8358633,-0.7562069,"('popular', 'unpopular')",-0.8358633,-0.7562069,0.0796564
37,-0.83288,-0.8630287,"('good', 'evil')",-0.83288,-0.8630287,-0.0301487
11,-0.8082155,-0.53543687,"('caring', 'unaffectionate')",-0.8082155,-0.5354369,0.2727786
13,0.80538404,0.95934486,"('helpful', 'unhelpful')",0.805384,0.9593449,0.1539609
26,0.7982273,0.9785867,"('trustworthy', 'untrustworthy')",0.7982273,0.9785867,0.1803594
48,0.76067066,0.6775233,"('reliable', 'unreliable')",0.7606707,0.6775233,-0.0831474
14,0.75841,0.9543329,"('supportive', 'unsupportive')",0.75841,0.9543329,0.1959229
103,0.7481198,0.9647216,"('traditional', 'modern')",0.7481198,0.9647216,0.2166018
95,-0.7452578,-0.6484166,"('rich', 'poor')",-0.7452578,-0.6484166,0.0968412
68,-0.73795664,-0.7937546,"('clever', 'inept')",-0.7379566,-0.7937546,-0.055798
77,-0.72562355,-0.87945837,"('active', 'inactive')",-0.7256235,-0.8794584,-0.1538349
70,0.6911928,0.90023595,"('wise', 'unwise')",0.6911928,0.900236,0.2090432
58,0.6794981,0.6153921,"('able', 'clumsy')",0.6794981,0.6153921,-0.064106
24,-0.6713423,-0.6287551,"('thoughtful', 'rough')",-0.6713423,-0.6287551,0.0425872
38,0.66099006,0.74117243,"('kind', 'unkind')",0.6609901,0.7411724,0.0801823
21,0.6506797,0.5836119,"('nice', 'nasty')",0.6506797,0.5836119,-0.0670678
35,-0.57803553,-0.39006042,"('fair', 'unfair')",-0.5780355,-0.3900604,0.1879751
43,-0.56952167,-0.68771756,"('genuine', 'fake')",-0.5695217,-0.6877176,-0.1181959
18,0.56812525,0.62430334,"('social', 'asocial')",0.5681252,0.6243033,0.0561781
101,0.5471418,0.43135712,"('successful', 'unsuccessful')",0.5471418,0.4313571,-0.1157847
87,-0.536909,-0.4375705,"('dedicated', 'undedicated')",-0.536909,-0.4375705,0.0993385
67,-0.5297777,-0.29824412,"('discriminating', 'undiscriminating')",-0.5297777,-0.2982441,0.2315336
62,-0.5082392,-0.27961946,"('creative', 'uncreative')",-0.5082392,-0.2796195,0.2286197
45,0.47903988,0.22100501,"('cooperative', 'exploitative')",0.4790399,0.221005,-0.2580349
32,-0.47875687,-0.5075408,"('benevolent', 'hardhearted')",-0.4787569,-0.5075408,-0.0287839
46,-0.47812122,-0.22883838,"('generous', 'stingy')",-0.4781212,-0.2288384,0.2492828
50,0.47276127,0.18661475,"('unprejudiced', 'prejudiced')",0.4727613,0.1866148,-0.2861465
30,0.45585588,0.5094018,"('honest', 'dishonest')",0.4558559,0.5094018,0.0535459
27,-0.44896466,-0.19224611,"('sincere', 'insincere')",-0.4489647,-0.1922461,0.2567186
3,0.3528437,0.23307069,"('likable', 'unlikable')",0.3528437,0.2330707,-0.119773
97,-0.334417,-0.27544433,"('superior', 'inferior')",-0.334417,-0.2754443,0.0589727
23,-0.32163244,-0.2304042,"('hospitable', 'inhospitable')",-0.3216324,-0.2304042,0.0912282
84,-0.2834139,-0.2114571,"('self-confident', 'diffident')",-0.2834139,-0.2114571,0.0719568
102,0.27915466,0.22681363,"('eminent', 'low')",0.2791547,0.2268136,-0.0523411
47,0.2438091,0.44195777,"('forgiving', 'unforgiving')",0.2438091,0.4419578,0.1981487
110,0.2231451,0.12288517,"('narrow-minded', 'open-minded')",0.2231451,0.1228852,-0.1002599
86,-0.20545512,-0.3106028,"('self-reliant', 'helpless')",-0.2054551,-0.3106028,-0.1051477
22,0.19473001,0.2634317,"('welcoming', 'disagreeable')",0.19473,0.2634317,0.0687017
59,-0.19225025,-0.12580407,"('skillful', 'clumsy')",-0.1922503,-0.1258041,0.0664462
72,-0.19004804,-0.05511993,"('logical', 'illogical')",-0.190048,-0.0551199,0.1349281
56,-0.17852691,-0.1989387,"('intelligent', 'dumb')",-0.1785269,-0.1989387,-0.0204118
96,0.16753002,0.08877416,"('powerful', 'powerless')",0.16753,0.0887742,-0.0787558
79,-0.13638514,-0.18289444,"('determined', 'doubtful')",-0.1363851,-0.1828944,-0.0465093
19,-0.12181035,-0.009086251,"('funny', 'boring')",-0.1218103,-0.0090863,0.112724
80,0.09899241,0.22210646,"('independent', 'dependent')",0.0989924,0.2221065,0.1231141
78,0.095878586,0.027186826,"('active', 'inactive')",0.0958786,0.0271868,-0.0686918
34,0.09535086,0.2322513,"('loyal', 'disloyal')",0.0953509,0.2322513,0.1369004
44,-0.080168165,0.07115661,"('truthful', 'untruthful')",-0.0801682,0.0711566,0.1513248
91,0.07821457,0.3164748,"('resilient', 'nonresilient')",0.0782146,0.3164748,0.2382602
85,-0.07406531,-0.01903519,"('ambitious', 'unambitious')",-0.0740653,-0.0190352,0.0550301
29,0.05380559,0.17327821,"('honest', 'immoral')",0.0538056,0.1732782,0.1194726
57,-0.04416555,-0.15866402,"('able', 'unable')",-0.0441656,-0.158664,-0.1144984
74,0.039724767,0.2982587,"('insightful', 'unperceptive')",0.0397248,0.2982587,0.2585339
54,0.016380362,-0.2678464,"('smart', 'stupid')",0.0163804,-0.2678464,-0.2842268
28,0.013890088,0.10758969,"('honest', 'dishonest')",0.0138901,0.1075897,0.0936996
