,Martin_male,Martin_female,tuple,Marietta_male,Marietta_female,Materials_male,Materials_female,average_male,average_female,female-male
104,-1.5061973,-1.3126392,"('conventional', 'unconventional')",-1.69781,-1.6334943,-0.70358765,-0.2882319,-1.3025317,-1.0781218,0.2244099
78,1.4410334,1.3029356,"('active', 'inactive')",0.2630007,0.23825455,1.5126692,1.3525776,1.0722345,0.9645893,-0.1076452
109,1.4277272,1.2599512,"('conservative', 'liberal')",1.4189574,1.2663224,0.19157957,0.21990333,1.0127547,0.9153923,-0.0973624
108,1.4277272,1.2599512,"('conservative', 'liberal')",1.4189574,1.2663224,0.19157957,0.21990333,1.0127547,0.9153923,-0.0973624
46,1.4170238,1.6658343,"('generous', 'stingy')",0.049622655,0.14961313,0.20520824,0.20958742,0.5572849,0.6750116,0.1177267
29,-1.3133742,-1.2976189,"('honest', 'immoral')",0.36214763,0.14655703,-0.798617,-0.86744994,-0.5832812,-0.6728373,-0.0895561
107,1.2922586,1.4587963,"('conventional', 'modern')",1.1907951,1.2069709,1.1073856,1.1743994,1.1968131,1.2800555,0.0832424
28,-1.2918333,-1.1349788,"('honest', 'dishonest')",-0.27424794,-0.31443673,-1.5496105,-1.4014201,-1.0385639,-0.9502785,0.0882854
14,1.2269672,1.2214165,"('supportive', 'unsupportive')",0.94311225,0.9644478,-0.005693689,-0.17468327,0.7214619,0.6703936,-0.0510683
34,-1.2086716,-1.1550399,"('loyal', 'disloyal')",0.0845062,0.07328345,-1.3722384,-1.0131893,-0.8321346,-0.6983153,0.1338193
36,-1.1764151,-1.2365632,"('tolerant', 'intolerant')",0.47574377,0.39544174,-1.1506307,-1.0318482,-0.6171007,-0.6243232,-0.0072225
68,-1.1546835,-1.2787344,"('clever', 'inept')",-0.09958788,-0.4012872,-0.08783892,-0.16519484,-0.4473701,-0.6150722,-0.1677021
63,-1.1531917,-1.247731,"('capable', 'incapable')",-1.1776181,-1.143305,0.056378797,0.21887854,-0.7581437,-0.7240525,0.0340912
10,-1.1404381,-0.9818032,"('affectionate', 'unaffectionate')",-1.0954084,-0.7952365,-0.4972214,-0.29398462,-0.9110227,-0.6903415,0.2206812
80,1.1338631,1.1085867,"('independent', 'dependent')",0.6362565,0.5204781,1.4328134,1.4666233,1.0676444,1.031896,-0.0357484
32,-1.0826929,-0.86079955,"('benevolent', 'hardhearted')",-0.82858866,-0.56654847,-1.1866165,-1.0107057,-1.0326327,-0.8126845,0.2199482
90,1.0491645,0.5937972,"('motivated', 'unmotivated')",1.658164,1.5040559,-0.046622127,-0.11429356,0.8869022,0.6611865,-0.2257157
88,1.043841,0.93884563,"('impulsive', 'meek')",-0.8019293,-0.67554545,1.4276185,1.4141905,0.5565101,0.5591636,0.0026535
56,1.0323738,0.9904989,"('intelligent', 'dumb')",-0.45649943,-0.37790635,0.7719732,0.7955228,0.4492825,0.4693718,0.0200893
58,-1.0237793,-0.9651425,"('able', 'clumsy')",-0.34842008,-0.37527826,-1.2269598,-1.0250742,-0.8663864,-0.7884983,0.0778881
98,-0.9854115,-1.0679654,"('prestigious', 'insignificant')",-2.0488374,-1.93116,0.3786824,0.52659667,-0.8851888,-0.8241763,0.0610125
38,-0.97020733,-0.63123286,"('kind', 'unkind')",0.05095148,0.06266332,-0.9723795,-0.6888727,-0.6305451,-0.4191474,0.2113977
52,0.95641506,0.93427837,"('competitive', 'uncompetitive')",2.0814357,1.9419312,-0.5023156,-0.5219766,0.8451784,0.7847444,-0.060434
24,-0.9442454,-0.9649992,"('thoughtful', 'rough')",0.6628404,0.43289924,-0.43779576,-0.4276634,-0.2397336,-0.3199211,-0.0801875
12,-0.9097918,-0.8430452,"('sympathetic', 'unsympathetic')",1.2532802,1.2169468,-0.87246156,-0.87690866,-0.1763244,-0.167669,0.0086554
105,-0.8911271,-0.7017883,"('conventional', 'modern')",-0.5074084,-0.47947484,-0.02604866,0.10213411,-0.4748614,-0.3597097,0.1151517
35,0.88610977,1.0688779,"('fair', 'unfair')",0.009673759,-0.014157355,0.8903489,0.91754174,0.5953775,0.6574208,0.0620433
110,-0.86985326,-0.86302674,"('narrow-minded', 'open-minded')",-0.7148312,-0.7597977,0.08453575,-0.0016087294,-0.5000496,-0.5414777,-0.0414281
71,0.8447451,0.6207769,"('efficient', 'inefficient')",2.7582762,2.494353,-0.6158928,-0.7938912,0.9957095,0.7737463,-0.2219632
76,0.8329262,0.9244332,"('secure', 'insecure')",1.964375,1.8292853,0.31676117,0.3413517,1.0380208,1.03169,-0.0063308
9,-0.8324743,-0.8100393,"('sensitive', 'insensitive')",1.0686244,0.91192424,-0.77048737,-0.86600804,-0.1781124,-0.2547077,-0.0765953
94,0.820708,0.7481874,"('aggressive', 'submissive')",2.5394468,2.561468,-0.470141,-0.4427653,0.963338,0.95563,-0.007708
15,0.7939788,0.7826202,"('polite', 'impolite')",1.9638449,1.9656513,0.055189326,0.013111904,0.937671,0.9204611,-0.0172099
47,-0.7748306,-0.67252624,"('forgiving', 'unforgiving')",0.5524518,0.4681138,-0.67787,-0.50159925,-0.3000829,-0.2353372,0.0647457
99,-0.7082459,-0.7666203,"('prestigious', 'insignificant')",-2.1498077,-1.9310427,-0.17530131,0.026599929,-1.0111183,-0.8903543,0.120764
103,0.70354605,0.73054826,"('traditional', 'modern')",0.20825769,0.22342649,0.9495632,1.1450235,0.6204557,0.699666,0.0792103
59,0.7012092,0.84067696,"('skillful', 'clumsy')",-0.560627,-0.46489197,0.3494993,0.50524443,0.1633605,0.2936765,0.130316
26,0.6961234,0.7764044,"('trustworthy', 'untrustworthy')",0.5513681,0.48605204,-0.23994291,-0.17197192,0.3358496,0.3634948,0.0276452
37,0.69273794,0.86779726,"('good', 'evil')",-0.5241369,-0.48388952,1.2375335,1.1172113,0.4687115,0.500373,0.0316615
93,0.6923339,0.6632658,"('dominating', 'dominated')",0.968779,0.9044755,0.37857205,0.4084226,0.679895,0.6587213,-0.0211737
72,-0.68591154,-0.43416208,"('logical', 'illogical')",0.77833986,0.8337386,-1.0540164,-0.73560333,-0.3205293,-0.1120089,0.2085204
89,0.6837067,0.64426905,"('daring', 'anxious')",0.84714997,0.62511116,0.0014666021,-0.18953252,0.5107744,0.3599492,-0.1508252
62,-0.67991936,-0.6700524,"('creative', 'uncreative')",0.40029746,0.5669433,-1.0103526,-1.0473948,-0.4299915,-0.3835013,0.0464902
18,-0.6660864,-0.47763193,"('social', 'asocial')",0.083041966,0.051203266,-1.3839527,-1.3894101,-0.6556657,-0.6052796,0.0503861
92,-0.63884944,-0.7286134,"('unwavering', 'wavering')",-2.0641155,-1.9667699,0.51858276,0.62090194,-0.7281274,-0.6914938,0.0366336
73,-0.61586267,-0.8462782,"('brilliant', 'incompetent')",1.69857,1.427351,-0.8236053,-0.84450215,0.0863674,-0.0878098,-0.1741772
77,0.6006664,0.63735455,"('active', 'inactive')",-0.61596036,-0.5020058,1.0869483,1.0565033,0.3572181,0.397284,0.0400659
31,-0.59613657,-0.5715187,"('altruistic', 'egoistic')",-1.4228256,-1.2700323,-1.2718008,-1.2157421,-1.096921,-1.0190977,0.0778233
49,-0.5577394,-0.549575,"('responsible', 'irresponsible')",1.1907423,0.9844956,-0.9629732,-1.0040463,-0.1099901,-0.1897086,-0.0797185
22,0.55409294,0.6606679,"('welcoming', 'disagreeable')",-0.24049363,-0.4179527,0.75321853,0.94584864,0.355606,0.3961879,0.0405819
97,-0.5508476,-0.43314713,"('superior', 'inferior')",-0.079253286,0.12136334,-0.5301103,-0.6216305,-0.386737,-0.3111381,0.0755989
100,-0.5283736,-0.27028188,"('influential', 'uninfluential')",1.3187708,1.4526172,-0.6033643,-0.40589184,0.0623443,0.2588145,0.1964702
25,0.5120684,0.27750698,"('moral', 'immoral')",1.1962656,0.9892123,-1.2797287,-1.2671453,0.1428684,-0.000142,-0.1430104
45,-0.51143134,-0.5935376,"('cooperative', 'exploitative')",0.81887466,0.4594242,-0.1117391,-0.18912545,0.0652347,-0.1077463,-0.172981
16,0.498545,0.60760736,"('social', 'antisocial')",2.737586,2.592138,-1.0979965,-1.04493,0.7127115,0.7182718,0.0055603
55,-0.4900119,-0.52543145,"('intelligent', 'unintelligent')",1.6595494,1.5297861,-0.5106346,-0.41031578,0.2196343,0.198013,-0.0216213
44,-0.4740347,-0.57798856,"('truthful', 'untruthful')",0.043693326,-0.09155157,-1.0485921,-0.90509284,-0.4929778,-0.5248777,-0.0318999
17,0.44499692,0.654248,"('social', 'antisocial')",1.3759799,1.4502445,-1.3352265,-1.2137967,0.1619168,0.2968986,0.1349818
69,-0.4436359,-0.3605268,"('wise', 'foolish')",-1.8769965,-1.784344,0.10552872,0.28403562,-0.7383679,-0.6202784,0.1180895
82,0.4428432,0.3391009,"('industrious', 'meek')",-1.0037961,-0.8790561,0.055713594,-0.0038514435,-0.1684131,-0.1812689,-0.0128558
65,-0.43055096,-0.5643679,"('practical', 'impractical')",1.9385669,1.635077,-1.2405001,-1.4025495,0.089172,-0.1106135,-0.1997855
4,0.3806455,0.2970543,"('likable', 'unlikable')",-0.6704953,-0.75323856,-0.90756494,-0.8086626,-0.3991382,-0.4216156,-0.0224774
8,-0.37641847,-0.27363288,"('open', 'distant')",-1.594424,-1.4151609,0.50194037,0.51212394,-0.489634,-0.3922233,0.0974107
60,0.3695804,0.3697163,"('educated', 'uneducated')",0.5882177,0.7460551,0.765642,1.0288236,0.57448,0.714865,0.140385
79,0.36834848,0.20708692,"('determined', 'doubtful')",-0.5991419,-0.5571203,-0.37742093,-0.42859435,-0.2027381,-0.2595426,-0.0568045
23,0.36384678,0.27293068,"('hospitable', 'inhospitable')",-0.8994081,-0.9128789,1.4462111,1.3453705,0.3035499,0.2351408,-0.0684091
64,-0.35773158,-0.33975255,"('clever', 'incompetent')",2.0240276,1.7261822,-0.57263255,-0.53705263,0.3645545,0.2831257,-0.0814288
0,-0.328786,-0.11004156,"('sociable', 'unsociable')",1.9337354,1.8830084,-0.47659352,-0.35561895,0.3761186,0.4724493,0.0963307
87,-0.32867062,-0.2069053,"('dedicated', 'undedicated')",-0.3058515,-0.37670934,-0.531473,-0.49684322,-0.388665,-0.3601526,0.0285124
101,-0.3236342,-0.29181337,"('successful', 'unsuccessful')",1.2214751,1.1405144,-1.1209464,-1.0103703,-0.0743685,-0.0538898,0.0204787
91,0.31134793,0.22449803,"('resilient', 'nonresilient')",0.24846196,0.32662827,0.34177512,0.42382047,0.3005283,0.3249822,0.0244539
70,0.3064443,0.3287428,"('wise', 'unwise')",0.07529938,0.1064907,1.1990504,1.2050515,0.5269314,0.5467617,0.0198303
39,-0.3010207,-0.21007255,"('right', 'wrong')",-0.9740179,-0.96135795,-1.3662479,-1.2592888,-0.8804288,-0.8102398,0.070189
19,0.29057544,0.30563772,"('funny', 'boring')",-0.41834927,-0.33779734,0.22575784,0.22042209,0.0326613,0.0627542,0.0300929
57,0.29010725,0.09279847,"('able', 'unable')",1.2286831,1.0667048,0.9745107,0.89467674,0.8311004,0.6847266,-0.1463738
96,0.28603923,0.28766796,"('powerful', 'powerless')",1.217945,0.9984101,0.3052628,0.36016127,0.6030823,0.5487465,-0.0543358
21,0.28183615,0.20888412,"('nice', 'nasty')",0.41016877,0.24326041,0.69755226,0.46310285,0.4631857,0.3050825,-0.1581032
83,-0.2811888,-0.29536822,"('energetic', 'lethargic')",0.6743374,0.6346278,-0.48602402,-0.55110216,-0.0309585,-0.0706142,-0.0396557
106,-0.24180597,-0.16165958,"('conventional', 'unconventional')",0.3277369,0.31361455,-0.818285,-0.59009683,-0.244118,-0.1460473,0.0980707
2,-0.23524724,-0.24967848,"('friendly', 'unfriendly')",2.1808672,2.047458,0.0633927,0.10397297,0.6696709,0.6339175,-0.0357534
42,0.23411983,0.33954167,"('amicable', 'hostile')",-1.1381391,-0.90263784,0.98109496,1.1289736,0.0256919,0.1886258,0.1629339
20,-0.20205933,-0.17526114,"('popular', 'unpopular')",-0.05823995,0.009322867,0.6916438,0.9445988,0.1437815,0.2595535,0.115772
5,-0.17222512,-0.20639774,"('pleasant', 'repellent')",1.3676469,1.1828637,0.0906699,0.016630769,0.4286972,0.3310322,-0.097665
43,-0.17079249,-0.16575763,"('genuine', 'fake')",-0.9270634,-1.0839589,-0.56955355,-0.52071565,-0.5558031,-0.5901441,-0.034341
51,0.15622966,0.16382203,"('competent', 'incompetent')",1.7374496,1.5940336,-0.96592426,-0.8855444,0.3092517,0.2907704,-0.0184813
102,-0.1471507,-0.14695334,"('eminent', 'low')",-0.1205509,-0.09091051,-0.2999054,-0.102325276,-0.1892023,-0.1133964,0.0758059
7,0.14583379,0.13518548,"('outgoing', 'distant')",-1.4698744,-1.325744,0.47381407,0.4178988,-0.2834089,-0.2575533,0.0258556
41,-0.12480128,0.06012535,"('incorrupt', 'corrupt')",-2.3602767,-2.140573,0.79366976,0.9265542,-0.5638027,-0.3846312,0.1791715
84,0.101993054,0.043754652,"('self-confident', 'diffident')",-0.32480407,-0.3425049,-0.95775825,-0.99570763,-0.3935231,-0.431486,-0.0379629
61,0.08902547,0.32398123,"('rational', 'irrational')",-1.7413429,-1.4715705,-0.22996765,0.07154493,-0.6274284,-0.3586814,0.268747
85,-0.081249356,-0.029725134,"('ambitious', 'unambitious')",1.6400789,1.6346939,-0.5008365,-0.44329035,0.3526644,0.3872261,0.0345617
67,0.04963392,0.026882663,"('discriminating', 'undiscriminating')",0.54000956,0.6001903,-1.4993852,-1.5197864,-0.3032473,-0.2975711,0.0056762
30,0.040424407,0.117305815,"('honest', 'dishonest')",0.7017039,0.48626876,-0.5776521,-0.50558114,0.0548254,0.0326645,-0.0221609
54,0.03323239,-0.1448558,"('smart', 'stupid')",1.2530416,1.1186252,-0.40922856,-0.5152558,0.2923485,0.1528379,-0.1395106
74,-0.029201776,-0.16365916,"('insightful', 'unperceptive')",0.4109002,0.44625238,-0.85202587,-0.8049781,-0.1567758,-0.1741283,-0.0173525
