,Moderna_male,Moderna_female,tuple,average_male,average_female,female-male
25,-0.4802031,-0.41555077,"('moral', 'immoral')",-0.4802031,-0.4155508,0.0646523
17,-0.47862276,-0.46142924,"('social', 'antisocial')",-0.4786228,-0.4614292,0.0171936
38,-0.4740036,-0.32224524,"('kind', 'unkind')",-0.4740036,-0.3222452,0.1517584
39,-0.46772164,-0.26735342,"('right', 'wrong')",-0.4677216,-0.2673534,0.2003682
49,-0.4657625,-0.58575094,"('responsible', 'irresponsible')",-0.4657625,-0.5857509,-0.1199884
105,-0.46398944,-0.41356534,"('conventional', 'modern')",-0.4639894,-0.4135653,0.0504241
28,-0.42938498,-0.34480092,"('honest', 'dishonest')",-0.429385,-0.3448009,0.0845841
93,0.42591208,0.4420407,"('dominating', 'dominated')",0.4259121,0.4420407,0.0161286
102,0.4231835,0.48230022,"('eminent', 'low')",0.4231835,0.4823002,0.0591167
70,0.41253006,0.5799978,"('wise', 'unwise')",0.4125301,0.5799978,0.1674677
110,0.39747822,0.4519151,"('narrow-minded', 'open-minded')",0.3974782,0.4519151,0.0544369
47,-0.393323,-0.40914825,"('forgiving', 'unforgiving')",-0.393323,-0.4091482,-0.0158252
44,-0.383263,-0.34142172,"('truthful', 'untruthful')",-0.383263,-0.3414217,0.0418413
5,0.38015074,0.33860725,"('pleasant', 'repellent')",0.3801507,0.3386073,-0.0415434
92,0.38000476,0.4180428,"('unwavering', 'wavering')",0.3800048,0.4180428,0.038038
57,-0.37455624,-0.42399988,"('able', 'unable')",-0.3745562,-0.4239999,-0.0494437
41,0.3711337,0.5868759,"('incorrupt', 'corrupt')",0.3711337,0.5868759,0.2157422
97,-0.35251558,-0.22866583,"('superior', 'inferior')",-0.3525156,-0.2286658,0.1238498
72,-0.3454591,-0.27167156,"('logical', 'illogical')",-0.3454591,-0.2716716,0.0737875
83,0.34392625,0.26909864,"('energetic', 'lethargic')",0.3439263,0.2690986,-0.0748277
82,0.3433998,0.33629027,"('industrious', 'meek')",0.3433998,0.3362903,-0.0071095
9,-0.33655894,-0.46736503,"('sensitive', 'insensitive')",-0.3365589,-0.467365,-0.1308061
109,0.33586502,0.37630293,"('conservative', 'liberal')",0.335865,0.3763029,0.0404379
108,0.33586502,0.37630293,"('conservative', 'liberal')",0.335865,0.3763029,0.0404379
96,0.3267274,0.22435598,"('powerful', 'powerless')",0.3267274,0.224356,-0.1023714
46,0.3262092,0.3654951,"('generous', 'stingy')",0.3262092,0.3654951,0.0392859
19,-0.3136679,-0.14536422,"('funny', 'boring')",-0.3136679,-0.1453642,0.1683037
34,-0.31335598,-0.23262209,"('loyal', 'disloyal')",-0.313356,-0.2326221,0.0807339
76,0.31017542,0.31073278,"('secure', 'insecure')",0.3101754,0.3107328,0.0005574
30,0.30983403,0.42158848,"('honest', 'dishonest')",0.309834,0.4215885,0.1117545
51,0.28481612,0.25244933,"('competent', 'incompetent')",0.2848161,0.2524493,-0.0323668
16,-0.26867616,-0.44564387,"('social', 'antisocial')",-0.2686762,-0.4456439,-0.1769677
12,0.26581055,0.30435216,"('sympathetic', 'unsympathetic')",0.2658105,0.3043522,0.0385417
69,0.25946566,0.3562128,"('wise', 'foolish')",0.2594657,0.3562128,0.0967471
36,-0.24596673,-0.45150548,"('tolerant', 'intolerant')",-0.2459667,-0.4515055,-0.2055388
73,0.23936278,-0.07239008,"('brilliant', 'incompetent')",0.2393628,-0.0723901,-0.3117529
74,-0.22700235,-0.168175,"('insightful', 'unperceptive')",-0.2270024,-0.168175,0.0588274
85,-0.19599938,-0.30011475,"('ambitious', 'unambitious')",-0.1959994,-0.3001148,-0.1041154
98,-0.19499196,-0.09472546,"('prestigious', 'insignificant')",-0.194992,-0.0947255,0.1002665
101,-0.17314789,-0.17403588,"('successful', 'unsuccessful')",-0.1731479,-0.1740359,-0.000888
0,-0.1719712,-0.24379355,"('sociable', 'unsociable')",-0.1719712,-0.2437935,-0.0718223
55,0.16365689,0.019283175,"('intelligent', 'unintelligent')",0.1636569,0.0192832,-0.1443737
13,0.16055483,0.24147394,"('helpful', 'unhelpful')",0.1605548,0.2414739,0.0809191
79,-0.14222959,-0.26717108,"('determined', 'doubtful')",-0.1422296,-0.2671711,-0.1249415
71,-0.1016227,-0.35816592,"('efficient', 'inefficient')",-0.1016227,-0.3581659,-0.2565432
58,-0.0986101,-0.09755716,"('able', 'clumsy')",-0.0986101,-0.0975572,0.0010529
89,-0.09458533,-0.19707358,"('daring', 'anxious')",-0.0945853,-0.1970736,-0.1024883
23,0.08992767,0.033401966,"('hospitable', 'inhospitable')",0.0899277,0.033402,-0.0565257
43,-0.08817467,-0.12454103,"('genuine', 'fake')",-0.0881747,-0.124541,-0.0363663
80,0.083643824,0.22881246,"('independent', 'dependent')",0.0836438,0.2288125,0.1451687
100,-0.080239415,0.10046941,"('influential', 'uninfluential')",-0.0802394,0.1004694,0.1807088
22,0.05356337,-0.014973931,"('welcoming', 'disagreeable')",0.0535634,-0.0149739,-0.0685373
45,-0.052171737,-0.29421955,"('cooperative', 'exploitative')",-0.0521717,-0.2942196,-0.2420479
2,0.050473243,-0.022398978,"('friendly', 'unfriendly')",0.0504732,-0.022399,-0.0728722
60,0.047264636,-0.0053423047,"('educated', 'uneducated')",0.0472646,-0.0053423,-0.0526069
61,0.042938404,0.22001642,"('rational', 'irrational')",0.0429384,0.2200164,0.177078
64,-0.037672818,-0.16720267,"('clever', 'incompetent')",-0.0376728,-0.1672027,-0.1295299
91,-0.036440194,0.076842815,"('resilient', 'nonresilient')",-0.0364402,0.0768428,0.113283
42,0.00059849024,0.33552969,"('amicable', 'hostile')",0.0005985,0.3355297,0.3349312
