,APA_male,APA_female,tuple,Corporation_male,Corporation_female,average_male,average_female,female-male
54,0.63790065,0.29100952,"('smart', 'stupid')",0.27648887,0.18502852,0.4571947,0.238019,-0.2191757
28,-0.6352664,-0.49355698,"('honest', 'dishonest')",-1.754081,-1.7046982,-1.1946738,-1.0991275,0.0955463
42,0.6291276,0.56245565,"('amicable', 'hostile')",0.7175753,1.0475513,0.6733515,0.8050035,0.131652
68,-0.61710244,-0.9322933,"('clever', 'inept')",-1.4786408,-1.5712712,-1.0478716,-1.2517822,-0.2039106
63,-0.6114476,-0.54616743,"('capable', 'incapable')",-0.8338088,-0.82480395,-0.7226282,-0.6854857,0.0371425
62,0.60584056,0.7322681,"('creative', 'uncreative')",-0.59355617,-0.54130137,0.0061422,0.0954834,0.0893412
74,-0.5926403,-0.77392757,"('insightful', 'unperceptive')",-1.6700075,-1.6634356,-1.1313238,-1.2186816,-0.0873578
50,0.5691136,0.31221616,"('unprejudiced', 'prejudiced')",2.4974093,2.3457124,1.5332615,1.3289642,-0.2042973
82,0.5621911,0.46097693,"('industrious', 'meek')",0.82638836,1.0624516,0.6942897,0.7617143,0.0674246
34,-0.5535679,-0.26303834,"('loyal', 'disloyal')",-1.952559,-1.8180134,-1.2530634,-1.0405259,0.2125375
83,-0.5454543,-0.53917813,"('energetic', 'lethargic')",-0.8529256,-0.97785556,-0.69919,-0.7585168,-0.0593268
89,0.54424894,0.5147138,"('daring', 'anxious')",0.20823935,0.014363587,0.3762441,0.2645387,-0.1117054
49,-0.5194838,-0.4425385,"('responsible', 'irresponsible')",-1.171669,-1.421817,-0.8455764,-0.9321777,-0.0866013
69,-0.5184205,-0.43833667,"('wise', 'foolish')",0.46945584,0.6314868,-0.0244823,0.0965751,0.1210574
94,0.5133864,0.498192,"('aggressive', 'submissive')",0.5067985,0.31398696,0.5100925,0.4060895,-0.104003
22,0.5121751,0.33494478,"('welcoming', 'disagreeable')",0.7834791,0.9223124,0.6478271,0.6286286,-0.0191985
90,0.5111337,0.27270007,"('motivated', 'unmotivated')",1.4671855,1.2563818,0.9891596,0.7645409,-0.2246187
85,-0.49608946,-0.60281205,"('ambitious', 'unambitious')",-1.0209961,-0.9879769,-0.7585428,-0.7953945,-0.0368517
25,-0.44723466,-0.59075373,"('moral', 'immoral')",-0.66990954,-0.86645496,-0.5585721,-0.7286043,-0.1700322
47,-0.43999648,-0.46512264,"('forgiving', 'unforgiving')",-1.3958423,-1.2360581,-0.9179194,-0.8505903,0.0673291
33,-0.43584383,-0.2670352,"('softhearted', 'hardhearted')",-0.68716663,-0.48124987,-0.5615052,-0.3741425,0.1873627
102,-0.4336382,-0.39299095,"('eminent', 'low')",-1.6142371,-1.3247689,-1.0239376,-0.8588799,0.1650577
23,0.43249047,0.32138622,"('hospitable', 'inhospitable')",0.06715667,0.14862442,0.2498236,0.2350053,-0.0148183
36,-0.4310112,-0.18575783,"('tolerant', 'intolerant')",-1.0738385,-1.2501924,-0.7524248,-0.7179751,0.0344497
107,0.42552367,0.66769534,"('conventional', 'modern')",0.15696877,0.04123503,0.2912462,0.3544652,0.063219
101,-0.42064318,-0.3918284,"('successful', 'unsuccessful')",-2.0361576,-1.8054595,-1.2284003,-1.0986439,0.1297564
97,-0.4145205,-0.13265333,"('superior', 'inferior')",-1.1821775,-1.0645268,-0.798349,-0.5985901,0.1997589
39,-0.39990586,-0.37467223,"('right', 'wrong')",0.31192005,0.5375889,-0.0439929,0.0814583,0.1254512
2,0.37965724,0.3596896,"('friendly', 'unfriendly')",-1.0376813,-1.04854,-0.329012,-0.3444252,-0.0154132
55,0.36332214,0.39829642,"('intelligent', 'unintelligent')",-0.8582853,-0.7608187,-0.2474816,-0.1812612,0.0662204
93,0.35506272,0.37111133,"('dominating', 'dominated')",-0.0038221478,0.034066856,0.1756203,0.2025891,0.0269688
37,0.35419697,0.043319836,"('good', 'evil')",1.363445,1.5317115,0.858821,0.7875156,-0.0713054
104,-0.34413832,-0.4850545,"('conventional', 'unconventional')",-0.8936192,-0.5166974,-0.6188787,-0.5008759,0.1180028
38,-0.33434534,-0.028795589,"('kind', 'unkind')",-2.3360877,-2.1750834,-1.3352165,-1.1019394,0.2332771
76,0.32775,0.38584822,"('secure', 'insecure')",-0.25611198,-0.39448076,0.035819,-0.0043163,-0.0401353
20,0.32356632,0.3700989,"('popular', 'unpopular')",-0.4259438,-0.17401364,-0.0511887,0.0980426,0.1492313
35,0.3099178,0.6617915,"('fair', 'unfair')",0.836849,1.0450791,0.5733834,0.8534353,0.2800519
43,-0.3093987,-0.18907325,"('genuine', 'fake')",-0.4597743,-0.51524913,-0.3845865,-0.3521612,0.0324253
14,0.30911845,0.02461353,"('supportive', 'unsupportive')",0.2834552,0.3673225,0.2962868,0.195968,-0.1003188
67,-0.2929262,-0.1528469,"('discriminating', 'undiscriminating')",-1.0061553,-1.0121269,-0.6495407,-0.5824869,0.0670538
96,0.29014093,0.18626653,"('powerful', 'powerless')",-0.17151986,-0.14666,0.0593105,0.0198033,-0.0395072
52,0.28110325,0.35025355,"('competitive', 'uncompetitive')",-1.0085267,-1.0554684,-0.3637117,-0.3526074,0.0111043
41,-0.28036913,0.012414753,"('incorrupt', 'corrupt')",1.7075706,2.043691,0.7136007,1.0280528,0.3144521
109,-0.26557863,-0.101801425,"('conservative', 'liberal')",0.95013714,0.72841185,0.3422793,0.3133052,-0.0289741
108,-0.26557863,-0.101801425,"('conservative', 'liberal')",0.95013714,0.72841185,0.3422793,0.3133052,-0.0289741
60,0.25754616,0.3951999,"('educated', 'uneducated')",-0.63648766,-0.49107665,-0.1894708,-0.0479384,0.1415324
105,-0.2540847,-0.26533177,"('conventional', 'modern')",-0.43854254,-0.4160932,-0.3463136,-0.3407125,0.0056011
16,-0.25008786,-0.18420479,"('social', 'antisocial')",-1.0976408,-1.0759275,-0.6738643,-0.6300662,0.0437981
64,0.2416104,0.15532288,"('clever', 'incompetent')",-1.1084907,-1.2355897,-0.4334401,-0.5401334,-0.1066933
9,-0.2392258,-0.23859684,"('sensitive', 'insensitive')",-1.2989955,-1.4105285,-0.7691107,-0.8245627,-0.055452
71,0.23650023,0.17121664,"('efficient', 'inefficient')",-0.31214243,-0.66582847,-0.0378211,-0.2473059,-0.2094848
51,-0.23264943,-0.3191873,"('competent', 'incompetent')",-0.86257654,-0.8091742,-0.547613,-0.5641807,-0.0165677
84,0.19745651,0.16365072,"('self-confident', 'diffident')",-0.6401853,-0.46615046,-0.2213644,-0.1512499,0.0701145
110,-0.19666798,-0.22504003,"('narrow-minded', 'open-minded')",0.20299102,0.08157921,0.0031615,-0.0717304,-0.0748919
81,-0.19460858,-0.4708892,"('industrious', 'lazy')",1.5114976,1.6851848,0.6584445,0.6071478,-0.0512967
7,0.19192904,0.14512493,"('outgoing', 'distant')",1.2203294,1.2222133,0.7061292,0.6836691,-0.0224601
19,0.18703312,0.42433435,"('funny', 'boring')",-0.5628154,-0.45039928,-0.1878912,-0.0130325,0.1748587
18,-0.18445037,-0.13193735,"('social', 'asocial')",-1.1269926,-1.1898576,-0.6557215,-0.6608975,-0.005176
92,-0.18006146,-0.3531862,"('unwavering', 'wavering')",-0.4527764,-0.27781996,-0.3164189,-0.3155031,0.0009158
31,-0.17803887,-0.13189422,"('altruistic', 'egoistic')",-0.59159064,-0.43182242,-0.3848147,-0.2818583,0.1029564
56,0.17457607,0.106006205,"('intelligent', 'dumb')",1.060664,1.050429,0.6176201,0.5782176,-0.0394025
44,-0.17161664,-0.13695192,"('truthful', 'untruthful')",-1.0502793,-1.0505736,-0.610948,-0.5937628,0.0171852
5,-0.13669854,-0.16240978,"('pleasant', 'repellent')",-0.25773704,-0.39348692,-0.1972178,-0.2779483,-0.0807305
86,0.13046218,0.023077138,"('self-reliant', 'helpless')",2.936181,2.9082026,1.5333216,1.4656399,-0.0676817
0,0.10577802,0.24431762,"('sociable', 'unsociable')",-1.0868596,-0.87454176,-0.4905408,-0.3151121,0.1754287
8,-0.10144767,-0.167909,"('open', 'distant')",1.0239071,1.0725777,0.4612297,0.4523343,-0.0088954
106,0.10113262,0.17080505,"('conventional', 'unconventional')",-0.35674915,-0.2866406,-0.1278083,-0.0579178,0.0698905
100,0.097755216,0.23488735,"('influential', 'uninfluential')",-1.2244661,-0.9625629,-0.5633554,-0.3638378,0.1995176
29,0.09641945,0.003651239,"('honest', 'immoral')",-0.900992,-0.90648067,-0.4022863,-0.4514147,-0.0491284
59,0.08153613,0.09188607,"('skillful', 'clumsy')",0.06462303,0.35131168,0.0730796,0.2215989,0.1485193
79,-0.071208656,-0.1305309,"('determined', 'doubtful')",0.009210169,0.021496922,-0.0309992,-0.054517,-0.0235178
1,-0.07074168,0.0846353,"('friendly', 'unfriendly')",-1.9708536,-1.6629757,-1.0207976,-0.7891702,0.2316274
30,-0.068300605,0.064341396,"('honest', 'dishonest')",-0.64388895,-0.610849,-0.3560948,-0.2732538,0.082841
11,-0.04898432,0.1331914,"('caring', 'unaffectionate')",-1.7873064,-1.7140722,-0.9181454,-0.7904404,0.127705
13,0.0447139,0.1718331,"('helpful', 'unhelpful')",-2.9682832,-3.1371207,-1.4617846,-1.4826438,-0.0208592
10,-0.040210813,0.12881485,"('affectionate', 'unaffectionate')",-1.2556378,-1.1272457,-0.6479243,-0.4992154,0.1487089
48,0.02681461,-0.27943963,"('reliable', 'unreliable')",1.7940993,1.8037168,0.910457,0.7621386,-0.1483184
57,-0.008968256,-0.018977508,"('able', 'unable')",-0.059098035,-0.26861152,-0.0340331,-0.1437945,-0.1097614
80,0.0018468797,-0.0011276901,"('independent', 'dependent')",1.2020552,1.2808201,0.6019511,0.6398462,0.0378951
46,-0.0014013648,-0.1970931,"('generous', 'stingy')",1.4647251,1.7478253,0.7316619,0.7753661,0.0437042
61,0.0012015849,0.09184639,"('rational', 'irrational')",0.24241582,0.5365246,0.1218087,0.3141855,0.1923768
88,-0.0007660538,-0.024347857,"('impulsive', 'meek')",1.1850227,1.1676286,0.5921283,0.5716404,-0.0204879
