,Cigna_male,Cigna_female,tuple,average_male,average_female,female-male
82,-0.9802216,-1.4129459,"('industrious', 'meek')",-0.9802216,-1.4129459,-0.4327243
39,-0.9723371,-0.8915708,"('right', 'wrong')",-0.9723371,-0.8915708,0.0807663
1,-0.9627309,-0.55727327,"('friendly', 'unfriendly')",-0.9627309,-0.5572733,0.4054576
9,0.96059024,1.228245,"('sensitive', 'insensitive')",0.9605902,1.228245,0.2676548
70,0.91287774,1.3967689,"('wise', 'unwise')",0.9128777,1.3967689,0.4838912
11,-0.89523435,-0.39401245,"('caring', 'unaffectionate')",-0.8952343,-0.3940125,0.5012218
34,-0.8869176,-0.2949452,"('loyal', 'disloyal')",-0.8869176,-0.2949452,0.5919724
100,0.8830393,0.95422786,"('influential', 'uninfluential')",0.8830393,0.9542279,0.0711886
43,-0.8601212,-0.6006955,"('genuine', 'fake')",-0.8601212,-0.6006955,0.2594257
54,0.8480124,0.6473345,"('smart', 'stupid')",0.8480124,0.6473345,-0.2006779
65,0.8443172,0.580018,"('practical', 'impractical')",0.8443172,0.580018,-0.2642992
8,-0.8151075,-0.503439,"('open', 'distant')",-0.8151075,-0.503439,0.3116685
52,0.797619,0.7856999,"('competitive', 'uncompetitive')",0.797619,0.7856999,-0.0119191
0,0.7901273,0.78005624,"('sociable', 'unsociable')",0.7901273,0.7800562,-0.0100711
53,-0.7719042,-0.9146695,"('smart', 'stupid')",-0.7719042,-0.9146695,-0.1427653
20,-0.73871094,-0.6949314,"('popular', 'unpopular')",-0.7387109,-0.6949314,0.0437795
102,-0.7349063,-0.59568435,"('eminent', 'low')",-0.7349063,-0.5956843,0.139222
63,-0.73204815,-0.29695892,"('capable', 'incapable')",-0.7320482,-0.2969589,0.4350893
36,0.72446704,0.54904306,"('tolerant', 'intolerant')",0.724467,0.5490431,-0.1754239
45,0.71611965,0.50377697,"('cooperative', 'exploitative')",0.7161196,0.503777,-0.2123426
86,-0.7137704,-0.7527522,"('self-reliant', 'helpless')",-0.7137704,-0.7527522,-0.0389818
95,-0.6732304,-0.45642442,"('rich', 'poor')",-0.6732304,-0.4564244,0.216806
68,-0.67244935,-0.6687641,"('clever', 'inept')",-0.6724494,-0.6687641,0.0036853
104,-0.6701138,-0.31777793,"('conventional', 'unconventional')",-0.6701138,-0.3177779,0.3523359
73,0.65636456,0.34939682,"('brilliant', 'incompetent')",0.6563646,0.3493968,-0.3069678
80,0.63867193,0.8168798,"('independent', 'dependent')",0.6386719,0.8168798,0.1782079
29,0.6235884,0.956809,"('honest', 'immoral')",0.6235884,0.956809,0.3332206
110,-0.6081432,-0.64245737,"('narrow-minded', 'open-minded')",-0.6081432,-0.6424574,-0.0343142
105,-0.60575485,-0.33751246,"('conventional', 'modern')",-0.6057549,-0.3375125,0.2682424
50,0.597188,0.012179248,"('unprejudiced', 'prejudiced')",0.597188,0.0121792,-0.5850088
48,-0.59076047,-0.5304265,"('reliable', 'unreliable')",-0.5907605,-0.5304265,0.060334
7,-0.5812451,-0.4929164,"('outgoing', 'distant')",-0.5812451,-0.4929164,0.0883287
74,0.5753727,0.6865365,"('insightful', 'unperceptive')",0.5753727,0.6865365,0.1111638
66,0.5716034,0.58608973,"('imaginative', 'unimaginative')",0.5716034,0.5860897,0.0144863
13,0.56936073,0.928968,"('helpful', 'unhelpful')",0.5693607,0.928968,0.3596073
26,-0.56698877,-0.19595027,"('trustworthy', 'untrustworthy')",-0.5669888,-0.1959503,0.3710385
28,-0.5540262,0.09607516,"('honest', 'dishonest')",-0.5540262,0.0960752,0.6501014
35,-0.5261154,-0.110631436,"('fair', 'unfair')",-0.5261154,-0.1106314,0.415484
49,0.5042123,0.32185465,"('responsible', 'irresponsible')",0.5042123,0.3218547,-0.1823576
64,0.49107307,0.5641854,"('clever', 'incompetent')",0.4910731,0.5641854,0.0731123
24,-0.4888912,-0.58780015,"('thoughtful', 'rough')",-0.4888912,-0.5878001,-0.0989089
85,0.4812592,0.24076888,"('ambitious', 'unambitious')",0.4812592,0.2407689,-0.2404903
22,0.46958703,0.17405334,"('welcoming', 'disagreeable')",0.469587,0.1740533,-0.2955337
40,-0.46851215,-0.4750417,"('honorable', 'mean')",-0.4685121,-0.4750417,-0.0065296
51,0.4631444,0.9668466,"('competent', 'incompetent')",0.4631444,0.9668466,0.5037022
30,0.45661288,0.5752456,"('honest', 'dishonest')",0.4566129,0.5752456,0.1186327
72,0.45135504,0.59927374,"('logical', 'illogical')",0.451355,0.5992737,0.1479187
92,-0.43713397,-0.16377982,"('unwavering', 'wavering')",-0.437134,-0.1637798,0.2733542
38,-0.42413527,-0.009486437,"('kind', 'unkind')",-0.4241353,-0.0094864,0.4146489
81,-0.4177544,-1.0239013,"('industrious', 'lazy')",-0.4177544,-1.0239013,-0.6061469
46,-0.4123407,-0.095005155,"('generous', 'stingy')",-0.4123407,-0.0950052,0.3173355
37,-0.4083473,-0.40636837,"('good', 'evil')",-0.4083473,-0.4063684,0.0019789
87,-0.40387875,-0.62423164,"('dedicated', 'undedicated')",-0.4038787,-0.6242316,-0.2203529
78,0.39837015,0.087577,"('active', 'inactive')",0.3983701,0.087577,-0.3107931
58,-0.3925682,0.19297928,"('able', 'clumsy')",-0.3925682,0.1929793,0.5855475
44,0.38623214,0.47858417,"('truthful', 'untruthful')",0.3862321,0.4785842,0.0923521
55,0.36674154,0.5269691,"('intelligent', 'unintelligent')",0.3667415,0.5269691,0.1602276
21,0.3542309,0.5347258,"('nice', 'nasty')",0.3542309,0.5347258,0.1804949
101,0.34552866,0.11425233,"('successful', 'unsuccessful')",0.3455287,0.1142523,-0.2312764
25,0.31957656,0.054341316,"('moral', 'immoral')",0.3195766,0.0543413,-0.2652353
77,0.3158843,0.09640928,"('active', 'inactive')",0.3158843,0.0964093,-0.219475
84,-0.31037754,-0.25604382,"('self-confident', 'diffident')",-0.3103775,-0.2560438,0.0543337
96,-0.2994999,-0.34874088,"('powerful', 'powerless')",-0.2994999,-0.3487409,-0.049241
18,0.2969132,0.15573522,"('social', 'asocial')",0.2969132,0.1557352,-0.141178
62,-0.22518255,-0.15941788,"('creative', 'uncreative')",-0.2251825,-0.1594179,0.0657646
56,-0.21885604,-0.2603101,"('intelligent', 'dumb')",-0.218856,-0.2603101,-0.0414541
47,0.20038098,0.24840197,"('forgiving', 'unforgiving')",0.200381,0.248402,0.048021
91,0.19373846,0.118214265,"('resilient', 'nonresilient')",0.1937385,0.1182143,-0.0755242
89,0.14755344,0.067174375,"('daring', 'anxious')",0.1475534,0.0671744,-0.080379
14,0.118365705,0.12480503,"('supportive', 'unsupportive')",0.1183657,0.124805,0.0064393
83,-0.09754652,-0.077613056,"('energetic', 'lethargic')",-0.0975465,-0.0776131,0.0199334
27,-0.085686564,0.26684326,"('sincere', 'insincere')",-0.0856866,0.2668433,0.3525299
106,0.049575746,-0.49610302,"('conventional', 'unconventional')",0.0495757,-0.496103,-0.5456787
23,-0.04533139,0.26349998,"('hospitable', 'inhospitable')",-0.0453314,0.2635,0.3088314
57,0.037896976,-0.05937091,"('able', 'unable')",0.037897,-0.0593709,-0.0972679
79,0.013843477,-0.08793858,"('determined', 'doubtful')",0.0138435,-0.0879386,-0.1017821
6,-0.012159526,0.18629825,"('liked', 'disliked')",-0.0121595,0.1862983,0.1984578
