,Corteva_male,Corteva_female,tuple,average_male,average_female,female-male
14,0.65329534,0.7220322,"('supportive', 'unsupportive')",0.6532953,0.7220322,0.0687369
74,0.6357676,0.60023016,"('insightful', 'unperceptive')",0.6357676,0.6002302,-0.0355374
69,-0.63237536,-0.586782,"('wise', 'foolish')",-0.6323754,-0.586782,0.0455934
3,0.62854743,0.36855888,"('likable', 'unlikable')",0.6285474,0.3685589,-0.2599885
19,-0.6274515,-0.43151543,"('funny', 'boring')",-0.6274515,-0.4315154,0.1959361
54,0.6031896,0.36607394,"('smart', 'stupid')",0.6031896,0.3660739,-0.2371157
39,-0.6028036,-0.4358546,"('right', 'wrong')",-0.6028036,-0.4358546,0.166949
52,0.59257245,0.48446637,"('competitive', 'uncompetitive')",0.5925725,0.4844664,-0.1081061
16,0.5883026,0.18203604,"('social', 'antisocial')",0.5883026,0.182036,-0.4062666
2,0.5662157,0.37777808,"('friendly', 'unfriendly')",0.5662157,0.3777781,-0.1884376
98,-0.55595934,-0.4458286,"('prestigious', 'insignificant')",-0.5559593,-0.4458286,0.1101307
17,0.55382895,0.4671599,"('social', 'antisocial')",0.553829,0.4671599,-0.0866691
90,0.55071723,0.30228025,"('motivated', 'unmotivated')",0.5507172,0.3022802,-0.248437
76,0.5431148,0.35359663,"('secure', 'insecure')",0.5431148,0.3535966,-0.1895182
32,-0.53607833,-0.3905801,"('benevolent', 'hardhearted')",-0.5360783,-0.3905801,0.1454982
37,0.523137,0.39941657,"('good', 'evil')",0.523137,0.3994166,-0.1237204
101,0.5051173,0.3595336,"('successful', 'unsuccessful')",0.5051173,0.3595336,-0.1455837
30,0.50464255,0.48699415,"('honest', 'dishonest')",0.5046425,0.4869941,-0.0176484
24,-0.48308533,-0.39758536,"('thoughtful', 'rough')",-0.4830853,-0.3975854,0.0854999
40,-0.47445062,-0.52237993,"('honorable', 'mean')",-0.4744506,-0.5223799,-0.0479293
55,0.45727095,0.40180272,"('intelligent', 'unintelligent')",0.457271,0.4018027,-0.0554683
38,-0.4443742,-0.20592846,"('kind', 'unkind')",-0.4443742,-0.2059285,0.2384457
51,0.4283085,0.37668163,"('competent', 'incompetent')",0.4283085,0.3766816,-0.0516269
44,0.42752653,0.5082549,"('truthful', 'untruthful')",0.4275265,0.5082549,0.0807284
29,0.4261707,0.33660322,"('honest', 'immoral')",0.4261707,0.3366032,-0.0895675
82,-0.42055982,-0.415527,"('industrious', 'meek')",-0.4205598,-0.415527,0.0050328
18,0.41793525,0.4550281,"('social', 'asocial')",0.4179353,0.4550281,0.0370928
107,0.40984637,0.36316192,"('conventional', 'modern')",0.4098464,0.3631619,-0.0466845
1,0.4086141,0.6521532,"('friendly', 'unfriendly')",0.4086141,0.6521532,0.2435391
78,0.40534326,0.23060262,"('active', 'inactive')",0.4053433,0.2306026,-0.1747407
26,-0.3829205,-0.32549888,"('trustworthy', 'untrustworthy')",-0.3829205,-0.3254989,0.0574216
88,-0.3828629,-0.2040429,"('impulsive', 'meek')",-0.3828629,-0.2040429,0.17882
27,-0.3724781,-0.31924498,"('sincere', 'insincere')",-0.3724781,-0.319245,0.0532331
104,-0.3628379,-0.19022845,"('conventional', 'unconventional')",-0.3628379,-0.1902284,0.1726095
56,0.35083023,0.29439363,"('intelligent', 'dumb')",0.3508302,0.2943936,-0.0564366
13,0.34021175,0.3658991,"('helpful', 'unhelpful')",0.3402117,0.3658991,0.0256874
92,0.3138162,0.425868,"('unwavering', 'wavering')",0.3138162,0.425868,0.1120518
96,-0.30700332,-0.47622538,"('powerful', 'powerless')",-0.3070033,-0.4762254,-0.1692221
5,0.29786035,0.14640738,"('pleasant', 'repellent')",0.2978604,0.1464074,-0.151453
42,-0.29721296,0.08559075,"('amicable', 'hostile')",-0.297213,0.0855907,0.3828037
87,-0.2918534,-0.3462026,"('dedicated', 'undedicated')",-0.2918534,-0.3462026,-0.0543492
22,0.28863117,0.15050942,"('welcoming', 'disagreeable')",0.2886312,0.1505094,-0.1381218
45,0.28586847,-0.08861079,"('cooperative', 'exploitative')",0.2858685,-0.0886108,-0.3744793
59,-0.28528276,-0.19529471,"('skillful', 'clumsy')",-0.2852828,-0.1952947,0.0899881
57,0.2838459,-0.0125721395,"('able', 'unable')",0.2838459,-0.0125721,-0.296418
81,-0.27054697,-0.5490031,"('industrious', 'lazy')",-0.270547,-0.5490031,-0.2784561
105,-0.26868188,-0.18904972,"('conventional', 'modern')",-0.2686819,-0.1890497,0.0796322
109,0.24508408,-0.039176926,"('conservative', 'liberal')",0.2450841,-0.0391769,-0.284261
108,0.24508408,-0.039176926,"('conservative', 'liberal')",0.2450841,-0.0391769,-0.284261
10,-0.23415421,0.19291386,"('affectionate', 'unaffectionate')",-0.2341542,0.1929139,0.4270681
68,-0.22998375,-0.4036231,"('clever', 'inept')",-0.2299837,-0.4036231,-0.1736394
99,-0.22453588,0.034692883,"('prestigious', 'insignificant')",-0.2245359,0.0346929,0.2592288
46,-0.19336537,-0.04606548,"('generous', 'stingy')",-0.1933654,-0.0460655,0.1472999
49,0.18702608,0.060709402,"('responsible', 'irresponsible')",0.1870261,0.0607094,-0.1263167
20,0.17652571,0.26305902,"('popular', 'unpopular')",0.1765257,0.263059,0.0865333
85,-0.17480233,-0.08941911,"('ambitious', 'unambitious')",-0.1748023,-0.0894191,0.0853832
106,0.16829257,0.029816061,"('conventional', 'unconventional')",0.1682926,0.0298161,-0.1384765
83,0.16554676,0.2688182,"('energetic', 'lethargic')",0.1655468,0.2688182,0.1032714
102,0.15855163,0.21970877,"('eminent', 'low')",0.1585516,0.2197088,0.0611572
11,-0.14113583,0.18219255,"('caring', 'unaffectionate')",-0.1411358,0.1821925,0.3233283
35,0.1366288,0.33228463,"('fair', 'unfair')",0.1366288,0.3322846,0.1956558
64,-0.13324499,-0.29579687,"('clever', 'incompetent')",-0.133245,-0.2957969,-0.1625519
7,0.13230708,0.31842536,"('outgoing', 'distant')",0.1323071,0.3184254,0.1861183
79,0.121628925,-0.0754157,"('determined', 'doubtful')",0.1216289,-0.0754157,-0.1970446
28,0.10134025,0.28137344,"('honest', 'dishonest')",0.1013402,0.2813734,0.1800332
36,-0.09773692,-0.3979819,"('tolerant', 'intolerant')",-0.0977369,-0.3979819,-0.300245
84,0.097328514,0.20470293,"('self-confident', 'diffident')",0.0973285,0.2047029,0.1073744
47,0.08092178,0.014812544,"('forgiving', 'unforgiving')",0.0809218,0.0148125,-0.0661093
67,0.07479754,0.22061777,"('discriminating', 'undiscriminating')",0.0747975,0.2206178,0.1458203
8,0.07027197,0.3721733,"('open', 'distant')",0.070272,0.3721733,0.3019013
58,-0.06904709,-0.03302127,"('able', 'clumsy')",-0.0690471,-0.0330213,0.0360258
86,-0.06472352,-0.11421853,"('self-reliant', 'helpless')",-0.0647235,-0.1142185,-0.049495
61,0.05876276,0.246748,"('rational', 'irrational')",0.0587628,0.246748,0.1879852
34,-0.055526644,0.18624184,"('loyal', 'disloyal')",-0.0555266,0.1862418,0.2417684
89,-0.05089301,-0.17825164,"('daring', 'anxious')",-0.050893,-0.1782516,-0.1273586
65,0.046886027,-0.17120294,"('practical', 'impractical')",0.046886,-0.1712029,-0.2180889
73,-0.035118602,-0.36130774,"('brilliant', 'incompetent')",-0.0351186,-0.3613077,-0.3261891
91,-0.03338909,0.099774234,"('resilient', 'nonresilient')",-0.0333891,0.0997742,0.1331633
48,0.021907717,-0.12810427,"('reliable', 'unreliable')",0.0219077,-0.1281043,-0.150012
25,-0.021464497,-0.15063521,"('moral', 'immoral')",-0.0214645,-0.1506352,-0.1291707
63,-0.018048123,0.09942996,"('capable', 'incapable')",-0.0180481,0.09943,0.1174781
50,0.01413741,-0.22963662,"('unprejudiced', 'prejudiced')",0.0141374,-0.2296366,-0.243774
43,-0.010923609,0.082681626,"('genuine', 'fake')",-0.0109236,0.0826816,0.0936052
