,Ecolab_male,Ecolab_female,tuple,average_male,average_female,female-male
81,-0.20564657,-0.24223778,"('industrious', 'lazy')",-0.2056466,-0.2422378,-0.0365912
14,0.20090713,-0.090385556,"('supportive', 'unsupportive')",0.2009071,-0.0903856,-0.2912927
8,-0.18195078,-0.31374773,"('open', 'distant')",-0.1819508,-0.3137477,-0.1317969
7,-0.18097338,-0.31516677,"('outgoing', 'distant')",-0.1809734,-0.3151668,-0.1341934
20,0.17701161,0.25394556,"('popular', 'unpopular')",0.1770116,0.2539456,0.076934
26,0.17123719,0.1988827,"('trustworthy', 'untrustworthy')",0.1712372,0.1988827,0.0276455
83,-0.15250652,-0.3318692,"('energetic', 'lethargic')",-0.1525065,-0.3318692,-0.1793627
67,0.14687724,0.14987814,"('discriminating', 'undiscriminating')",0.1468772,0.1498781,0.0030009
0,-0.14476702,-0.09344351,"('sociable', 'unsociable')",-0.144767,-0.0934435,0.0513235
77,0.13640633,0.055514403,"('active', 'inactive')",0.1364063,0.0555144,-0.0808919
18,0.12911074,0.15228935,"('social', 'asocial')",0.1291107,0.1522893,0.0231786
39,-0.12758626,-0.077558875,"('right', 'wrong')",-0.1275863,-0.0775589,0.0500274
15,0.115100265,0.08557086,"('polite', 'impolite')",0.1151003,0.0855709,-0.0295294
96,0.10827285,0.19970918,"('powerful', 'powerless')",0.1082729,0.1997092,0.0914363
43,-0.10645404,-0.12891808,"('genuine', 'fake')",-0.106454,-0.1289181,-0.0224641
30,0.09394142,-0.070507675,"('honest', 'dishonest')",0.0939414,-0.0705077,-0.1644491
79,-0.08208257,-0.24195442,"('determined', 'doubtful')",-0.0820826,-0.2419544,-0.1598718
92,0.08051634,-0.06421104,"('unwavering', 'wavering')",0.0805163,-0.064211,-0.1447273
61,-0.04700479,0.19491488,"('rational', 'irrational')",-0.0470048,0.1949149,0.2419197
64,-0.04259637,0.018432513,"('clever', 'incompetent')",-0.0425964,0.0184325,0.0610289
57,-0.042485625,-0.19913822,"('able', 'unable')",-0.0424856,-0.1991382,-0.1566526
100,-0.035742432,0.022201225,"('influential', 'uninfluential')",-0.0357424,0.0222012,0.0579436
68,0.034436844,-0.12874661,"('clever', 'inept')",0.0344368,-0.1287466,-0.1631834
2,-0.006657958,-0.023468375,"('friendly', 'unfriendly')",-0.006658,-0.0234684,-0.0168104
109,-0.0045170486,0.16402029,"('conservative', 'liberal')",-0.004517,0.1640203,0.1685373
108,-0.0045170486,0.16402029,"('conservative', 'liberal')",-0.004517,0.1640203,0.1685373
