,LKQ_male,LKQ_female,tuple,Corporation_male,Corporation_female,average_male,average_female,female-male
15,0.71281785,0.9025581,"('polite', 'impolite')",0.60729504,0.55079806,0.6600565,0.7266781,0.0666216
37,0.7036201,0.463614,"('good', 'evil')",1.363445,1.5317115,1.0335326,0.9976627,-0.0358699
21,0.6982851,0.6315873,"('nice', 'nasty')",0.083910525,0.049200058,0.3910978,0.3403937,-0.0507041
33,-0.6926056,-0.4023529,"('softhearted', 'hardhearted')",-0.68716663,-0.48124987,-0.6898861,-0.4418014,0.2480847
26,-0.68443215,-0.5000854,"('trustworthy', 'untrustworthy')",-0.31007636,-0.3223795,-0.4972543,-0.4112325,0.0860218
45,-0.6841749,-0.68674815,"('cooperative', 'exploitative')",-0.7605086,-0.95082784,-0.7223418,-0.818788,-0.0964462
65,-0.6784173,-0.6260557,"('practical', 'impractical')",-1.4706507,-1.5633919,-1.0745339,-1.0947238,-0.0201899
100,0.65556973,0.8933794,"('influential', 'uninfluential')",-1.2244661,-0.9625629,-0.2844482,-0.0345918,0.2498564
77,0.65434605,0.5360759,"('active', 'inactive')",0.2532639,0.4833073,0.453805,0.5096916,0.0558866
54,0.63790315,0.49500188,"('smart', 'stupid')",0.27648887,0.18502852,0.457196,0.3400152,-0.1171808
42,0.61484534,0.63203764,"('amicable', 'hostile')",0.7175753,1.0475513,0.6662103,0.8397945,0.1735842
91,0.6117277,0.63428307,"('resilient', 'nonresilient')",-0.13546547,-0.13475233,0.2381311,0.2497654,0.0116343
49,-0.6092659,-0.53342664,"('responsible', 'irresponsible')",-1.171669,-1.421817,-0.8904675,-0.9776218,-0.0871543
18,-0.5902239,-0.44615227,"('social', 'asocial')",-1.1269926,-1.1898576,-0.8586082,-0.818005,0.0406032
94,0.5772871,0.72303027,"('aggressive', 'submissive')",0.5067985,0.31398696,0.5420428,0.5185086,-0.0235342
82,0.56586933,0.38248825,"('industrious', 'meek')",0.82638836,1.0624516,0.6961288,0.7224699,0.0263411
89,-0.56478155,-0.6021763,"('daring', 'anxious')",0.20823935,0.014363587,-0.1782711,-0.2939064,-0.1156353
58,-0.54990506,-0.31921566,"('able', 'clumsy')",-1.9668676,-1.9417025,-1.2583864,-1.1304591,0.1279273
14,0.5396048,0.5544992,"('supportive', 'unsupportive')",0.2834552,0.3673225,0.41153,0.4609109,0.0493809
43,-0.53541535,-0.43952194,"('genuine', 'fake')",-0.4597743,-0.51524913,-0.4975948,-0.4773855,0.0202093
84,0.5287039,0.44553155,"('self-confident', 'diffident')",-0.6401853,-0.46615046,-0.0557407,-0.0103095,0.0454312
63,-0.5254081,-0.39124116,"('capable', 'incapable')",-0.8338088,-0.82480395,-0.6796085,-0.6080226,0.0715859
92,0.5161116,0.46024373,"('unwavering', 'wavering')",-0.4527764,-0.27781996,0.0316676,0.0912119,0.0595443
79,-0.50129783,-0.4241995,"('determined', 'doubtful')",0.009210169,0.021496922,-0.2460438,-0.2013513,0.0446925
38,-0.4872986,-0.060789116,"('kind', 'unkind')",-2.3360877,-2.1750834,-1.4116931,-1.1179363,0.2937568
22,0.46214336,0.52659243,"('welcoming', 'disagreeable')",0.7834791,0.9223124,0.6228112,0.7244524,0.1016412
20,0.45772752,0.40382487,"('popular', 'unpopular')",-0.4259438,-0.17401364,0.0158919,0.1149056,0.0990137
46,0.43815082,0.5695455,"('generous', 'stingy')",1.4647251,1.7478253,0.951438,1.1586854,0.2072474
3,0.43787354,0.35624978,"('likable', 'unlikable')",1.2001915,1.255702,0.8190325,0.8059759,-0.0130566
74,-0.43231875,-0.4823535,"('insightful', 'unperceptive')",-1.6700075,-1.6634356,-1.0511631,-1.0728946,-0.0217315
48,-0.41238225,-0.44357523,"('reliable', 'unreliable')",1.7940993,1.8037168,0.6908585,0.6800708,-0.0107877
104,0.4114827,0.49504146,"('conventional', 'unconventional')",-0.8936192,-0.5166974,-0.2410682,-0.010828,0.2302402
106,-0.40998113,-0.3511408,"('conventional', 'unconventional')",-0.35674915,-0.2866406,-0.3833652,-0.3188907,0.0644745
24,-0.40922475,-0.27089942,"('thoughtful', 'rough')",-0.6666918,-0.6926383,-0.5379583,-0.4817688,0.0561895
36,-0.40849507,-0.1624697,"('tolerant', 'intolerant')",-1.0738385,-1.2501924,-0.7411668,-0.7063311,0.0348357
44,0.40136978,0.41390955,"('truthful', 'untruthful')",-1.0502793,-1.0505736,-0.3244547,-0.318332,0.0061227
105,-0.39942968,-0.3631305,"('conventional', 'modern')",-0.43854254,-0.4160932,-0.4189861,-0.3896118,0.0293743
32,-0.39521164,-0.28751242,"('benevolent', 'hardhearted')",-2.5948312,-2.3815007,-1.4950215,-1.3345065,0.160515
102,0.39403358,0.49126816,"('eminent', 'low')",-1.6142371,-1.3247689,-0.6101018,-0.4167504,0.1933514
83,-0.38794023,-0.2276296,"('energetic', 'lethargic')",-0.8529256,-0.97785556,-0.6204329,-0.6027426,0.0176903
23,0.3860446,0.29133907,"('hospitable', 'inhospitable')",0.06715667,0.14862442,0.2266006,0.2199817,-0.0066189
0,0.38291144,0.68953276,"('sociable', 'unsociable')",-1.0868596,-0.87454176,-0.3519741,-0.0925045,0.2594696
59,-0.36938924,-0.27968675,"('skillful', 'clumsy')",0.06462303,0.35131168,-0.1523831,0.0358125,0.1881956
7,0.35330832,0.19540603,"('outgoing', 'distant')",1.2203294,1.2222133,0.7868189,0.7088097,-0.0780092
81,0.34029683,0.13624126,"('industrious', 'lazy')",1.5114976,1.6851848,0.9258972,0.9107131,-0.0151841
57,0.3225162,0.23589672,"('able', 'unable')",-0.059098035,-0.26861152,0.1317091,-0.0163574,-0.1480665
34,0.32215947,0.550591,"('loyal', 'disloyal')",-1.952559,-1.8180134,-0.8151997,-0.6337112,0.1814885
19,-0.3095662,-0.301692,"('funny', 'boring')",-0.5628154,-0.45039928,-0.4361908,-0.3760456,0.0601452
67,-0.30728108,-0.22898297,"('discriminating', 'undiscriminating')",-1.0061553,-1.0121269,-0.6567181,-0.6205549,0.0361632
28,-0.3024114,-0.08979004,"('honest', 'dishonest')",-1.754081,-1.7046982,-1.0282462,-0.8972441,0.1310021
96,0.29986477,0.29477826,"('powerful', 'powerless')",-0.17151986,-0.14666,0.0641725,0.0740591,0.0098866
109,-0.29883766,-0.10718322,"('conservative', 'liberal')",0.95013714,0.72841185,0.3256497,0.3106143,-0.0150354
108,-0.29883766,-0.10718322,"('conservative', 'liberal')",0.95013714,0.72841185,0.3256497,0.3106143,-0.0150354
80,0.2859608,0.40382057,"('independent', 'dependent')",1.2020552,1.2808201,0.744008,0.8423203,0.0983123
52,0.2663517,0.38162404,"('competitive', 'uncompetitive')",-1.0085267,-1.0554684,-0.3710875,-0.3369222,0.0341653
51,-0.2636691,-0.32639146,"('competent', 'incompetent')",-0.86257654,-0.8091742,-0.5631228,-0.5677828,-0.00466
101,-0.25591606,-0.4097387,"('successful', 'unsuccessful')",-2.0361576,-1.8054595,-1.1460369,-1.1075991,0.0384378
2,0.2514745,0.53281194,"('friendly', 'unfriendly')",-1.0376813,-1.04854,-0.3931034,-0.257864,0.1352394
47,0.250446,0.40281236,"('forgiving', 'unforgiving')",-1.3958423,-1.2360581,-0.5726982,-0.4166229,0.1560753
107,-0.24427415,-0.041781217,"('conventional', 'modern')",0.15696877,0.04123503,-0.0436527,-0.0002731,0.0433796
29,-0.23745814,-0.18936145,"('honest', 'immoral')",-0.900992,-0.90648067,-0.5692251,-0.5479211,0.021304
41,0.22652999,0.2593388,"('incorrupt', 'corrupt')",1.7075706,2.043691,0.9670503,1.1515149,0.1844646
99,-0.22247297,-0.43435884,"('prestigious', 'insignificant')",-0.36734855,-0.14205799,-0.2949108,-0.2882084,0.0067024
5,0.2158122,0.21188343,"('pleasant', 'repellent')",-0.25773704,-0.39348692,-0.0209624,-0.0908017,-0.0698393
13,-0.20278591,-0.025991865,"('helpful', 'unhelpful')",-2.9682832,-3.1371207,-1.5855346,-1.5815563,0.0039783
9,0.2027487,0.3454312,"('sensitive', 'insensitive')",-1.2989955,-1.4105285,-0.5481234,-0.5325487,0.0155747
30,0.19835618,0.3483804,"('honest', 'dishonest')",-0.64388895,-0.610849,-0.2227664,-0.1312343,0.0915321
86,0.1530969,0.027616158,"('self-reliant', 'helpless')",2.936181,2.9082026,1.544639,1.4679095,-0.0767295
72,-0.14209211,0.08226016,"('logical', 'illogical')",-0.87245774,-0.6190673,-0.5072749,-0.2684036,0.2388713
61,0.13922326,0.23091747,"('rational', 'irrational')",0.24241582,0.5365246,0.1908195,0.383721,0.1929015
12,0.13608307,0.38831162,"('sympathetic', 'unsympathetic')",-0.8327242,-0.94881463,-0.3483206,-0.2802515,0.0680691
16,0.13425402,0.21001363,"('social', 'antisocial')",-1.0976408,-1.0759275,-0.4816934,-0.4329569,0.0487365
88,-0.13025965,-0.2583701,"('impulsive', 'meek')",1.1850227,1.1676286,0.5273815,0.4546293,-0.0727522
1,0.119071916,0.31478885,"('friendly', 'unfriendly')",-1.9708536,-1.6629757,-0.9258908,-0.6740934,0.2517974
17,0.11554065,0.19075206,"('social', 'antisocial')",-1.0290959,-0.7812415,-0.4567776,-0.2952447,0.1615329
71,-0.112329245,-0.05051075,"('efficient', 'inefficient')",-0.31214243,-0.66582847,-0.2122358,-0.3581696,-0.1459338
56,-0.1079558,-0.14716132,"('intelligent', 'dumb')",1.060664,1.050429,0.4763541,0.4516338,-0.0247203
10,-0.099622905,0.034533605,"('affectionate', 'unaffectionate')",-1.2556378,-1.1272457,-0.6776303,-0.546356,0.1312743
103,0.0813343,0.16071367,"('traditional', 'modern')",1.3085226,1.3149366,0.6949285,0.7378252,0.0428967
39,-0.07893905,0.0019005239,"('right', 'wrong')",0.31192005,0.5375889,0.1164905,0.2697447,0.1532542
85,0.07164456,0.0265878,"('ambitious', 'unambitious')",-1.0209961,-0.9879769,-0.4746758,-0.4806946,-0.0060188
31,-0.06458035,0.056203544,"('altruistic', 'egoistic')",-0.59159064,-0.43182242,-0.3280855,-0.1878094,0.1402761
50,0.05946687,-0.17796302,"('unprejudiced', 'prejudiced')",2.4974093,2.3457124,1.2784381,1.0838747,-0.1945634
35,0.044517785,0.27581897,"('fair', 'unfair')",0.836849,1.0450791,0.4406834,0.660449,0.2197656
11,0.043358266,0.23980168,"('caring', 'unaffectionate')",-1.7873064,-1.7140722,-0.8719741,-0.7371353,0.1348388
93,-0.04027407,0.018898822,"('dominating', 'dominated')",-0.0038221478,0.034066856,-0.0220481,0.0264828,0.0485309
97,0.04011321,0.16406345,"('superior', 'inferior')",-1.1821775,-1.0645268,-0.5710322,-0.4502317,0.1208005
8,0.034443036,-0.09198216,"('open', 'distant')",1.0239071,1.0725777,0.529175,0.4902978,-0.0388772
76,-0.030731395,0.12627383,"('secure', 'insecure')",-0.25611198,-0.39448076,-0.1434217,-0.1341035,0.0093182
62,0.025003418,0.031148538,"('creative', 'uncreative')",-0.59355617,-0.54130137,-0.2842764,-0.2550764,0.0292
98,-0.013346255,-0.17239057,"('prestigious', 'insignificant')",-0.4130975,-0.3233846,-0.2132219,-0.2478876,-0.0346657
25,-0.00558424,0.13405424,"('moral', 'immoral')",-0.66990954,-0.86645496,-0.3377469,-0.3662004,-0.0284535
