,AvalonBay_male,AvalonBay_female,tuple,Communities_male,Communities_female,average_male,average_female,female-male
3,0.9780146,0.90101254,"('likable', 'unlikable')",0.46103156,0.2416284,0.7195231,0.5713205,-0.1482026
54,0.95475084,0.75409913,"('smart', 'stupid')",0.3438144,0.30680025,0.6492826,0.5304497,-0.1188329
28,-0.94338584,-0.846425,"('honest', 'dishonest')",-1.5143975,-1.3503773,-1.2288916,-1.0984012,0.1304904
42,0.9294269,0.92783916,"('amicable', 'hostile')",1.7635291,1.9491837,1.346478,1.4385114,0.0920334
1,-0.9244962,-0.85191953,"('friendly', 'unfriendly')",-1.2682693,-0.950104,-1.0963827,-0.9010118,0.1953709
21,0.91038185,0.7406843,"('nice', 'nasty')",-0.07461691,-0.25245678,0.4178825,0.2441137,-0.1737688
9,-0.9023107,-1.0246127,"('sensitive', 'insensitive')",-1.9407151,-2.0322917,-1.4215128,-1.5284522,-0.1069394
70,0.8899218,0.8557962,"('wise', 'unwise')",0.037067145,0.102686524,0.4634945,0.4792414,0.0157469
13,-0.8544942,-0.89385843,"('helpful', 'unhelpful')",-2.7608805,-2.818183,-1.8076873,-1.8560207,-0.0483334
81,0.84663755,0.817451,"('industrious', 'lazy')",1.3162029,1.3857127,1.0814202,1.1015818,0.0201616
18,-0.84285104,-0.8268089,"('social', 'asocial')",-1.9520947,-1.9802374,-1.3974729,-1.4035232,-0.0060503
73,-0.8062849,-0.9962615,"('brilliant', 'incompetent')",-2.0610316,-2.2566056,-1.4336582,-1.6264336,-0.1927754
59,0.8015381,0.80106175,"('skillful', 'clumsy')",0.8044915,0.8554623,0.8030148,0.828262,0.0252472
41,0.77039015,0.8581599,"('incorrupt', 'corrupt')",1.6345577,1.9140121,1.2024739,1.386086,0.1836121
20,0.71188563,0.7132158,"('popular', 'unpopular')",0.65105546,0.7771001,0.6814705,0.745158,0.0636875
57,0.67594284,0.5313581,"('able', 'unable')",-0.002714336,-0.26527962,0.3366143,0.1330393,-0.203575
45,-0.6357467,-0.7365831,"('cooperative', 'exploitative')",-2.2076738,-2.2496345,-1.4217103,-1.4931087,-0.0713984
77,0.62322545,0.54017204,"('active', 'inactive')",0.22922137,0.31469595,0.4262234,0.427434,0.0012106
30,-0.6193753,-0.60616744,"('honest', 'dishonest')",-1.334929,-1.4329149,-0.9771521,-1.0195411,-0.042389
36,-0.61828303,-0.6979314,"('tolerant', 'intolerant')",-2.302166,-2.2745636,-1.4602245,-1.4862475,-0.026023
99,0.6163707,0.5912814,"('prestigious', 'insignificant')",1.1117938,1.4225798,0.8640822,1.0069306,0.1428484
56,0.60974467,0.5636186,"('intelligent', 'dumb')",0.091902226,0.051478833,0.3508235,0.3075487,-0.0432748
49,-0.6035087,-0.6761385,"('responsible', 'irresponsible')",-2.5738661,-2.606599,-1.5886874,-1.6413689,-0.0526815
65,-0.6016183,-0.69610584,"('practical', 'impractical')",-2.6937606,-2.8633463,-1.6476895,-1.779726,-0.1320365
105,-0.59924895,-0.5972989,"('conventional', 'modern')",-0.6318767,-0.59932697,-0.6155628,-0.598313,0.0172498
84,-0.5715467,-0.6220033,"('self-confident', 'diffident')",-1.5233004,-1.5063326,-1.0474236,-1.064168,-0.0167444
34,-0.5622869,-0.4599175,"('loyal', 'disloyal')",-1.3025606,-1.1409414,-0.9324237,-0.8004295,0.1319942
88,0.5619848,0.49928916,"('impulsive', 'meek')",1.3461525,1.2445753,0.9540687,0.8719322,-0.0821365
29,-0.5306305,-0.55040157,"('honest', 'immoral')",-0.7655709,-0.9848578,-0.6481007,-0.7676297,-0.119529
35,0.52637523,0.72567314,"('fair', 'unfair')",-0.031515747,0.019108623,0.2474297,0.3723909,0.1249612
87,-0.52389544,-0.6425305,"('dedicated', 'undedicated')",-1.5710658,-1.7077501,-1.0474806,-1.1751403,-0.1276597
39,-0.515241,-0.41280678,"('right', 'wrong')",-0.23294818,0.049419686,-0.3740946,-0.1816936,0.192401
46,0.51040787,0.5688626,"('generous', 'stingy')",-0.088312194,-0.05389735,0.2110478,0.2574826,0.0464348
63,-0.5047964,-0.44017375,"('capable', 'incapable')",-0.4398129,-0.42063046,-0.4723046,-0.4304021,0.0419025
92,0.4840918,0.43537602,"('unwavering', 'wavering')",-0.261943,-0.31131625,0.1110744,0.0620299,-0.0490445
90,0.4815123,0.46342272,"('motivated', 'unmotivated')",0.9864169,0.8788518,0.7339646,0.6711372,-0.0628274
66,0.46716863,0.37360424,"('imaginative', 'unimaginative')",-0.50937915,-0.6678965,-0.0211053,-0.1471461,-0.1260408
83,-0.4615037,-0.5926926,"('energetic', 'lethargic')",-1.7057337,-1.8976283,-1.0836186,-1.2451605,-0.1615419
52,-0.45981607,-0.476255,"('competitive', 'uncompetitive')",-0.7688175,-0.9188205,-0.6143168,-0.6975378,-0.083221
17,-0.45580623,-0.37591588,"('social', 'antisocial')",-0.94176185,-0.7597828,-0.6987841,-0.5678493,0.1309348
91,0.42358994,0.44769824,"('resilient', 'nonresilient')",-0.26236904,-0.43280476,0.0806105,0.0074467,-0.0731638
89,-0.41365892,-0.48875213,"('daring', 'anxious')",-0.85769624,-1.0664575,-0.6356776,-0.7776048,-0.1419272
22,0.4128495,0.35788622,"('welcoming', 'disagreeable')",0.22969139,0.2070603,0.3212704,0.2824733,-0.0387971
50,0.40582734,0.38026622,"('unprejudiced', 'prejudiced')",1.394555,1.3250539,0.9001912,0.8526601,-0.0475311
58,-0.3996249,-0.34848338,"('able', 'clumsy')",-1.4578547,-1.3626692,-0.9287398,-0.8555763,0.0731635
74,-0.39906466,-0.5750204,"('insightful', 'unperceptive')",-2.4421864,-2.598526,-1.4206254,-1.5867732,-0.1661478
102,0.38673392,0.32029366,"('eminent', 'low')",0.45386794,0.4803988,0.4203009,0.4003462,-0.0199547
85,-0.38481447,-0.35204166,"('ambitious', 'unambitious')",-1.1442015,-1.039043,-0.764508,-0.6955423,0.0689657
94,0.37761712,0.38881975,"('aggressive', 'submissive')",-0.3911106,-0.5263403,-0.0067467,-0.0687603,-0.0620136
86,0.3749232,0.2838395,"('self-reliant', 'helpless')",1.2857455,1.2343196,0.8303344,0.7590795,-0.0712549
38,-0.3662992,-0.23781711,"('kind', 'unkind')",-1.6246998,-1.4272369,-0.9954995,-0.832527,0.1629725
33,-0.36544746,-0.25168028,"('softhearted', 'hardhearted')",-1.3820598,-1.1015824,-0.8737537,-0.6766313,0.1971224
104,-0.34683308,-0.1869781,"('conventional', 'unconventional')",-0.3969874,-0.19441271,-0.3719102,-0.1906954,0.1812148
72,-0.32861674,-0.13850911,"('logical', 'illogical')",-0.87242436,-0.6005194,-0.6005206,-0.3695143,0.2310063
26,-0.31274664,-0.26289266,"('trustworthy', 'untrustworthy')",-0.8368045,-0.99474454,-0.5747756,-0.6288186,-0.054043
4,-0.30830985,-0.369502,"('likable', 'unlikable')",-0.810613,-0.7637015,-0.5594614,-0.5666018,-0.0071404
109,0.30062953,0.4216447,"('conservative', 'liberal')",0.03438376,-0.015898764,0.1675066,0.202873,0.0353664
108,0.30062953,0.4216447,"('conservative', 'liberal')",0.03438376,-0.015898764,0.1675066,0.202873,0.0353664
51,-0.29589203,-0.4309289,"('competent', 'incompetent')",-1.7442327,-1.9262094,-1.0200623,-1.1785692,-0.1585069
68,-0.29260823,-0.5501731,"('clever', 'inept')",-1.2644613,-1.5378801,-0.7785348,-1.0440266,-0.2654918
96,0.28676873,0.26385552,"('powerful', 'powerless')",0.4886728,0.49518993,0.3877208,0.3795227,-0.0081981
14,0.28631714,0.18348013,"('supportive', 'unsupportive')",-1.8183534,-2.0535007,-0.7660182,-0.9350103,-0.1689921
64,-0.27978772,-0.39739102,"('clever', 'incompetent')",-0.97871125,-1.1698091,-0.6292495,-0.7836001,-0.1543506
7,0.2626427,0.20619291,"('outgoing', 'distant')",-0.1960757,-0.12435509,0.0332835,0.0409189,0.0076354
71,-0.2592109,-0.40104032,"('efficient', 'inefficient')",-1.795541,-1.9705925,-1.0273759,-1.1858164,-0.1584405
62,-0.24465756,-0.2242471,"('creative', 'uncreative')",-1.6709807,-1.5375575,-0.9578191,-0.8809023,0.0769168
110,-0.23943383,-0.2552569,"('narrow-minded', 'open-minded')",0.50191563,0.31162286,0.1312409,0.028183,-0.1030579
10,-0.23402113,-0.14326882,"('affectionate', 'unaffectionate')",-0.83854246,-0.5305222,-0.5362818,-0.3368955,0.1993863
97,-0.23287234,-0.106970936,"('superior', 'inferior')",1.289397,1.4116489,0.5282623,0.652339,0.1240767
82,0.20929267,0.24731228,"('industrious', 'meek')",1.1022143,1.2040887,0.6557535,0.7257005,0.069947
76,0.20246029,0.25885397,"('secure', 'insecure')",-0.5216453,-0.6600423,-0.1595925,-0.2005942,-0.0410017
100,0.19726807,0.34573868,"('influential', 'uninfluential')",-1.146054,-1.0224159,-0.474393,-0.3383386,0.1360544
79,0.19701457,0.07737565,"('determined', 'doubtful')",-0.21653736,-0.37364462,-0.0097614,-0.1481345,-0.1383731
8,0.1839177,0.1564307,"('open', 'distant')",-0.034888476,0.09436616,0.0745146,0.1253984,0.0508838
106,0.16821735,0.16131274,"('conventional', 'unconventional')",0.21609828,0.31913313,0.1921578,0.2402229,0.0480651
2,-0.16624786,-0.12792177,"('friendly', 'unfriendly')",-0.13282047,-0.24551973,-0.1495342,-0.1867208,-0.0371866
93,0.16372268,0.22776,"('dominating', 'dominated')",0.14155903,0.006213188,0.1526408,0.1169866,-0.0356542
31,-0.16293752,-0.01164829,"('altruistic', 'egoistic')",-0.13266072,0.15890594,-0.1477991,0.0736288,0.2214279
47,-0.16239554,-0.22888835,"('forgiving', 'unforgiving')",-0.8109882,-0.77675205,-0.4866919,-0.5028202,-0.0161283
98,-0.14917552,-0.118350044,"('prestigious', 'insignificant')",1.1664886,1.2564666,0.5086566,0.5690583,0.0604017
55,-0.14053401,-0.12485415,"('intelligent', 'unintelligent')",-0.21862209,-0.14165312,-0.1795781,-0.1332536,0.0463245
24,-0.13627332,-0.16271326,"('thoughtful', 'rough')",-0.31894022,-0.23946705,-0.2276068,-0.2010902,0.0265166
43,-0.13174924,-0.13682586,"('genuine', 'fake')",-1.3298402,-1.2269351,-0.7307947,-0.6818805,0.0489142
0,0.12608743,0.19007766,"('sociable', 'unsociable')",-1.1826155,-1.0014708,-0.528264,-0.4056966,0.1225674
25,0.10841657,0.019590221,"('moral', 'immoral')",-1.2145257,-1.3330382,-0.5530546,-0.656724,-0.1036694
69,0.10707669,0.16327174,"('wise', 'foolish')",-0.33292,-0.18206999,-0.1129217,-0.0093991,0.1035226
15,-0.09465324,-0.05048503,"('polite', 'impolite')",-0.40929163,-0.35264885,-0.2519724,-0.2015669,0.0504055
19,-0.092831194,-0.10992706,"('funny', 'boring')",-0.27877134,-0.15785678,-0.1858013,-0.1338919,0.0519094
44,-0.058681827,-0.09970574,"('truthful', 'untruthful')",-1.4020718,-1.3217447,-0.7303768,-0.7107252,0.0196516
16,-0.055584513,-0.07579375,"('social', 'antisocial')",-1.1827028,-1.2016748,-0.6191437,-0.6387343,-0.0195906
61,0.053720206,0.24902412,"('rational', 'irrational')",0.37314802,0.7568658,0.2134341,0.5029449,0.2895108
12,-0.038245827,-0.08243452,"('sympathetic', 'unsympathetic')",-1.6824217,-1.7618923,-0.8603337,-0.9221634,-0.0618297
67,0.0222473,-0.16708677,"('discriminating', 'undiscriminating')",-0.63241744,-0.5558789,-0.3050851,-0.3614828,-0.0563977
5,-0.011961654,-0.09116687,"('pleasant', 'repellent')",-0.31648135,-0.49499682,-0.1642215,-0.2930818,-0.1288603
101,-0.00034254417,-0.0015406422,"('successful', 'unsuccessful')",-1.0744693,-0.9697409,-0.5374059,-0.4856408,0.0517651
