,S&P_male,S&P_female,tuple,Global_male,Global_female,average_male,average_female,female-male
3,-0.24384461,-0.38052988,"('likable', 'unlikable')",1.2775657,1.3050896,0.5168605,0.4622799,-0.0545806
69,0.24108812,0.296615,"('wise', 'foolish')",-0.7974787,-0.73736084,-0.2781953,-0.2203729,0.0578224
47,-0.23472327,0.058544755,"('forgiving', 'unforgiving')",-0.57985526,-0.52900213,-0.4072893,-0.2352287,0.1720606
97,0.22715862,0.4242265,"('superior', 'inferior')",-1.3071333,-1.1280686,-0.5399873,-0.351921,0.1880663
100,0.22420609,0.58562136,"('influential', 'uninfluential')",-0.28624403,-0.14054275,-0.031019,0.2225393,0.2535583
38,0.22345603,0.27710044,"('kind', 'unkind')",-1.888325,-1.7990277,-0.8324345,-0.7609636,0.0714709
14,-0.22052443,-0.2503576,"('supportive', 'unsupportive')",-0.40010452,-0.47238687,-0.3103145,-0.3613722,-0.0510577
99,-0.21992694,-0.54168403,"('prestigious', 'insignificant')",-0.8686381,-0.80037403,-0.5442825,-0.671029,-0.1267465
6,-0.21960792,-0.22013596,"('liked', 'disliked')",5.431769,5.5798244,2.6060805,2.6798441,0.0737636
105,-0.21434474,-0.33178037,"('conventional', 'modern')",-0.17983064,-0.26413894,-0.1970877,-0.2979597,-0.100872
61,-0.20427954,-0.078855574,"('rational', 'irrational')",0.41432625,0.6514905,0.1050234,0.2863175,0.1812941
90,0.20288256,0.21780996,"('motivated', 'unmotivated')",0.718332,0.6025172,0.4606073,0.4101636,-0.0504437
50,0.1943586,-0.024239004,"('unprejudiced', 'prejudiced')",1.5330713,1.5162517,0.8637149,0.7460064,-0.1177085
36,0.19271827,0.38985193,"('tolerant', 'intolerant')",-1.1203616,-1.0037162,-0.4638216,-0.3069322,0.1568894
81,-0.19166027,-0.5371929,"('industrious', 'lazy')",0.8219648,0.9447664,0.3151523,0.2037868,-0.1113655
98,0.18940401,0.046721548,"('prestigious', 'insignificant')",-0.6365526,-0.67502314,-0.2235743,-0.3141508,-0.0905765
43,0.18937743,0.30611375,"('genuine', 'fake')",-0.36671332,-0.3721354,-0.0886679,-0.0330108,0.0556571
82,0.17317194,-0.08820087,"('industrious', 'meek')",-0.04130444,0.10341039,0.0659337,0.0076048,-0.0583289
17,0.17167918,0.53716016,"('social', 'antisocial')",-0.4941718,-0.36632097,-0.1612463,0.0854196,0.2466659
18,0.16363297,0.1825991,"('social', 'asocial')",-0.52104664,-0.46198183,-0.1787068,-0.1396914,0.0390154
44,0.15604931,0.024446607,"('truthful', 'untruthful')",-1.1942667,-1.3200521,-0.5191087,-0.6478028,-0.1286941
45,-0.14548673,-0.20626971,"('cooperative', 'exploitative')",-0.65120125,-0.5598701,-0.398344,-0.3830699,0.0152741
26,-0.14398487,-0.026844077,"('trustworthy', 'untrustworthy')",0.13546973,0.16008478,-0.0042576,0.0666203,0.0708779
62,0.13067514,0.23964086,"('creative', 'uncreative')",-0.8230849,-0.81078446,-0.3462049,-0.2855718,0.0606331
33,-0.1256137,-0.17880291,"('softhearted', 'hardhearted')",-1.4703988,-1.2911284,-0.7980062,-0.7349657,0.0630405
77,-0.11198163,-0.25896373,"('active', 'inactive')",-0.080711454,-0.0059474707,-0.0963465,-0.1324556,-0.0361091
109,-0.10441163,0.15767005,"('conservative', 'liberal')",0.66712064,0.7048951,0.2813545,0.4312826,0.1499281
108,-0.10441163,0.15767005,"('conservative', 'liberal')",0.66712064,0.7048951,0.2813545,0.4312826,0.1499281
66,0.10267526,0.46834797,"('imaginative', 'unimaginative')",2.6792874,2.6596742,1.3909813,1.5640111,0.1730298
55,-0.10031304,0.111260906,"('intelligent', 'unintelligent')",-0.36570185,-0.3722816,-0.2330074,-0.1305104,0.102497
35,0.09473121,0.0982984,"('fair', 'unfair')",0.23262516,0.2961226,0.1636782,0.1972105,0.0335323
85,-0.09469065,0.14899191,"('ambitious', 'unambitious')",-0.11301729,-0.16744247,-0.103854,-0.0092253,0.0946287
7,0.092776954,-0.22422773,"('outgoing', 'distant')",-0.2910563,-0.34088022,-0.0991397,-0.282554,-0.1834143
88,0.08830704,0.031330943,"('impulsive', 'meek')",1.0100472,0.8967922,0.5491771,0.4640616,-0.0851155
83,0.08007014,0.2682114,"('energetic', 'lethargic')",-0.15318324,-0.29810828,-0.0365565,-0.0149484,0.0216081
9,0.071934775,0.298325,"('sensitive', 'insensitive')",-1.1406114,-1.2948694,-0.5343383,-0.4982722,0.0360661
23,0.07031524,-0.21538882,"('hospitable', 'inhospitable')",0.105199635,0.014889836,0.0877574,-0.1002495,-0.1880069
31,-0.06807384,-0.2606005,"('altruistic', 'egoistic')",-0.26858068,-0.07716727,-0.1683273,-0.1688839,-0.0005566
79,-0.06329298,0.18713617,"('determined', 'doubtful')",0.099076,0.035967946,0.0178915,0.1115521,0.0936606
2,-0.060634136,0.19655952,"('friendly', 'unfriendly')",-0.7568045,-0.81191754,-0.4087193,-0.307679,0.1010403
13,0.059778273,0.10394573,"('helpful', 'unhelpful')",-2.5773818,-2.6757245,-1.2588018,-1.2858894,-0.0270876
75,0.057889834,0.16915938,"('confident', 'shy')",5.9140854,6.190687,2.9859877,3.1799233,0.1939356
42,0.05341029,-0.01576884,"('amicable', 'hostile')",0.58236855,0.753247,0.3178894,0.3687391,0.0508497
5,0.051411793,0.18022005,"('pleasant', 'repellent')",0.3418597,0.2477432,0.1966358,0.2139816,0.0173458
46,-0.045523882,0.16036007,"('generous', 'stingy')",1.8406875,1.9502411,0.8975818,1.0553006,0.1577188
41,-0.04324299,-0.1431443,"('incorrupt', 'corrupt')",0.46154726,0.6120988,0.2091521,0.2344773,0.0253252
92,0.027259767,-0.20818079,"('unwavering', 'wavering')",-0.68941647,-0.88376355,-0.3310784,-0.5459722,-0.2148938
28,0.02426216,0.05549454,"('honest', 'dishonest')",-1.5238943,-1.4937606,-0.7498161,-0.719133,0.0306831
60,0.020797662,0.18446922,"('educated', 'uneducated')",0.0732643,0.15668646,0.047031,0.1705778,0.1235468
10,0.010776103,-0.054824293,"('affectionate', 'unaffectionate')",-0.8143443,-0.72406185,-0.4017841,-0.3894431,0.012341
56,0.0023275316,-0.12591472,"('intelligent', 'dumb')",0.7654773,0.668527,0.3839024,0.2713062,-0.1125962
