,TransDigm_male,TransDigm_female,tuple,Group_male,Group_female,average_male,average_female,female-male
24,-0.18087256,-0.17587009,"('generous', 'stingy')",1.2617209,1.5009742,0.5404241681098938,0.6625520586967468,0.12212789058685303
55,-0.17309505,0.033321887,"('conventional', 'unconventional')",-0.46095848,-0.18341199,-0.3170267641544342,-0.07504504919052124,0.24198171496391296
26,0.15039922,0.039257333,"('reliable', 'unreliable')",1.9948481,1.8933095,1.0726237297058105,0.96628338098526,-0.10634034872055054
42,0.13793132,0.3426507,"('secure', 'insecure')",-0.7880738,-0.63091683,-0.32507121562957764,-0.144133061170578,0.18093815445899963
51,-0.13349873,-0.014956683,"('powerful', 'powerless')",-0.18959212,0.002394706,-0.16154542565345764,-0.006280988454818726,0.15526443719863892
49,-0.12109862,-0.16688417,"('motivated', 'unmotivated')",0.19137564,0.19759409,0.035138510167598724,0.015354961156845093,-0.01978354901075363
48,0.09751274,0.074292935,"('dedicated', 'undedicated')",-1.7366168,-1.5679417,-0.8195520639419556,-0.7468243837356567,0.07272768020629883
32,0.097277164,-0.020329148,"('able', 'unable')",-0.17505473,-0.21569885,-0.038888782262802124,-0.11801400035619736,-0.07912521809339523
12,0.08919388,0.25830013,"('trustworthy', 'untrustworthy')",-0.3533585,-0.23793119,-0.13208231329917908,0.01018446683883667,0.14226678013801575
20,0.026087224,0.035826474,"('right', 'wrong')",0.3137683,0.48879585,0.16992776095867157,0.2623111605644226,0.09238339960575104
