,Caesars_male,Caesars_female,tuple,Entertainment_male,Entertainment_female,average_male,average_female,female-male
48,-1.1664072,-1.1009066,"('dedicated', 'undedicated')",-0.6378765,-0.67247236,-0.9021418690681458,-0.8866894841194153,0.015452384948730469
24,1.1646738,1.1833527,"('generous', 'stingy')",3.0260396,3.0557437,2.0953567028045654,2.1195483207702637,0.024191617965698242
57,-1.1306585,-0.7798267,"('conservative', 'liberal')",-0.000888288,0.16150855,-0.5657733678817749,-0.3091590702533722,0.2566142976284027
17,-1.109745,-1.1310226,"('tolerant', 'intolerant')",-0.9447952,-0.8949108,-1.0272700786590576,-1.0129666328430176,0.014303445816040039
52,-1.1037936,-1.0193937,"('superior', 'inferior')",-0.3125438,-0.29766932,-0.7081687450408936,-0.6585314869880676,0.04963725805282593
11,-1.0078933,-0.617857,"('moral', 'immoral')",-1.0667849,-1.0222179,-1.0373390913009644,-0.8200374245643616,0.21730166673660278
16,0.9835246,0.9904822,"('fair', 'unfair')",1.3135147,1.3495882,1.1485196352005005,1.1700351238250732,0.021515488624572754
14,-0.9509299,-0.81096524,"('honest', 'dishonest')",-0.8259892,-0.79709566,-0.8884595632553101,-0.8040304183959961,0.08442914485931396
25,-0.9265845,-0.77367806,"('forgiving', 'unforgiving')",-0.13295953,0.084702715,-0.5297719836235046,-0.34448766708374023,0.1852843165397644
40,-0.91737777,-0.84350014,"('logical', 'illogical')",-0.97198,-0.9187095,-0.9446789026260376,-0.8811048269271851,0.06357407569885254
27,-0.8802906,-0.90307516,"('responsible', 'irresponsible')",-1.0243788,-1.1142663,-0.9523347020149231,-1.008670687675476,-0.05633598566055298
41,0.8637116,0.6604058,"('confident', 'shy')",1.3079973,0.9573995,1.0858545303344727,0.8089026212692261,-0.2769519090652466
31,-0.86060697,-0.71269804,"('intelligent', 'unintelligent')",-1.1831877,-0.9414317,-1.021897315979004,-0.8270648717880249,0.194832444190979
49,0.82102764,0.9402674,"('motivated', 'unmotivated')",0.414746,0.45602965,0.6178867816925049,0.6981484889984131,0.0802617073059082
13,-0.7946238,-0.5599359,"('sincere', 'insincere')",0.39980468,0.59031117,-0.19740955531597137,0.015187621116638184,0.21259717643260956
4,-0.7937675,-0.6683234,"('sensitive', 'insensitive')",-0.30110654,-0.21399122,-0.5474370121955872,-0.4411573112010956,0.10627970099449158
8,0.76354724,0.8705367,"('popular', 'unpopular')",-1.5865175,-1.4677551,-0.41148510575294495,-0.29860919713974,0.11287590861320496
7,-0.754658,-0.35944405,"('polite', 'impolite')",0.25494683,0.47858554,-0.24985557794570923,0.05957074463367462,0.30942632257938385
26,0.74221236,0.9111118,"('reliable', 'unreliable')",1.7718859,1.4327179,1.2570490837097168,1.17191481590271,-0.08513426780700684
9,0.68502957,0.7873707,"('nice', 'nasty')",0.572469,0.4726364,0.6287492513656616,0.6300035715103149,0.0012543201446533203
29,-0.6687882,-0.3724398,"('competent', 'incompetent')",-0.2969696,-0.22365661,-0.4828788936138153,-0.298048198223114,0.1848306953907013
53,-0.61667323,-0.3197321,"('influential', 'uninfluential')",-1.3083886,-1.0809765,-0.9625309109687805,-0.700354278087616,0.26217663288116455
39,0.61318004,0.7072804,"('wise', 'foolish')",-0.28307524,-0.4714441,0.1650523990392685,0.11791814863681793,-0.04713425040245056
43,-0.50819427,-0.41537565,"('active', 'inactive')",-0.68993145,-0.53311706,-0.5990628600120544,-0.4742463529109955,0.12481650710105896
23,0.48487708,0.6335384,"('truthful', 'untruthful')",1.2399714,1.3347626,0.8624242544174194,0.9841505289077759,0.12172627449035645
2,-0.48009363,-0.29970014,"('likable', 'unlikable')",-0.4064175,-0.27647787,-0.44325554370880127,-0.28808900713920593,0.15516653656959534
42,-0.44327688,-0.39504653,"('secure', 'insecure')",0.33501428,0.43679368,-0.05413129925727844,0.020873576402664185,0.07500487565994263
46,-0.41572192,-0.22073215,"('energetic', 'lethargic')",-0.24103706,-0.25958058,-0.32837948203086853,-0.2401563674211502,0.08822311460971832
12,-0.35368973,0.04936267,"('trustworthy', 'untrustworthy')",0.92828476,0.92168397,0.2872975170612335,0.4855233132839203,0.19822579622268677
54,-0.31917918,-0.3181817,"('successful', 'unsuccessful')",-1.322171,-1.3232794,-0.8206750750541687,-0.8207305669784546,-5.549192428588867e-05
38,-0.30313152,-0.08711325,"('discriminating', 'undiscriminating')",-0.49910408,-0.5194893,-0.40111780166625977,-0.30330127477645874,0.09781652688980103
36,-0.2372581,-0.22704566,"('capable', 'incapable')",-1.0714304,-0.99835414,-0.6543442606925964,-0.6126998662948608,0.041644394397735596
32,0.20484406,0.16576687,"('able', 'unable')",-0.9804286,-1.1462878,-0.3877922594547272,-0.4902604818344116,-0.10246822237968445
10,0.19402882,0.422833,"('hospitable', 'inhospitable')",-0.261867,-0.37218878,-0.0339190810918808,0.02532210946083069,0.05924119055271149
45,0.09720386,0.19876339,"('independent', 'dependent')",-0.098631114,-0.056577727,-0.0007136277854442596,0.07109282910823822,0.07180645689368248
47,0.088526726,0.21518269,"('ambitious', 'unambitious')",0.112660825,0.049491048,0.10059377551078796,0.13233686983585358,0.03174309432506561
1,0.049229503,-0.16643894,"('friendly', 'unfriendly')",-0.9578496,-0.8524068,-0.4543100595474243,-0.5094228982925415,-0.05511283874511719
55,-0.03820288,-0.04421884,"('conventional', 'unconventional')",0.3127481,0.5113224,0.13727261126041412,0.2335517704486847,0.09627915918827057
35,0.037651777,-0.04798159,"('creative', 'uncreative')",-1.5403593,-1.6537864,-0.7513537406921387,-0.8508840203285217,-0.09953027963638306
51,-0.034712985,0.2260254,"('powerful', 'powerless')",-0.2316232,-0.18116757,-0.13316810131072998,0.02242891490459442,0.1555970162153244
20,-0.013515592,0.13272086,"('right', 'wrong')",-0.004599005,-0.02845329,-0.009057298302650452,0.05213378369808197,0.06119108200073242
6,0.012964277,0.18117727,"('supportive', 'unsupportive')",0.39286172,0.25057095,0.20291300117969513,0.2158741056919098,0.01296110451221466
56,-0.0023526251,-0.025886491,"('conventional', 'unconventional')",0.38023746,0.5243993,0.18894241750240326,0.24925640225410461,0.060313984751701355
