,General_male,General_female,tuple,Mills_male,Mills_female,average_male,average_female,female-male
67,-0.95815134,-0.87758505,"('discriminating', 'undiscriminating')",-0.7907102,-0.6626569,-0.8744308,-0.770121,0.1043098
7,0.9579153,0.5314646,"('outgoing', 'distant')",0.73909605,1.0061703,0.8485057,0.7688174,-0.0796883
15,0.94948107,0.9729414,"('polite', 'impolite')",0.34295353,0.36240175,0.6462173,0.6676716,0.0214543
35,0.9469053,0.8788559,"('fair', 'unfair')",1.2734411,1.2250893,1.1101732,1.0519726,-0.0582006
3,0.9070266,1.0227643,"('likable', 'unlikable')",1.2415603,1.109548,1.0742935,1.0661561,-0.0081374
49,-0.9015855,-1.3688788,"('responsible', 'irresponsible')",-0.8100396,-1.2139791,-0.8558125,-1.291429,-0.4356165
98,-0.8986181,-0.70303726,"('prestigious', 'insignificant')",0.6761751,0.8390809,-0.1112215,0.0680218,0.1792433
4,-0.88620776,-0.87094927,"('likable', 'unlikable')",0.03253828,-0.118923604,-0.4268347,-0.4949364,-0.0681017
107,0.84710234,1.2501733,"('conventional', 'modern')",0.04583305,0.053836748,0.4464677,0.652005,0.2055373
102,-0.81973183,-0.5588811,"('eminent', 'low')",-0.30272835,-0.15386224,-0.5612301,-0.3563717,0.2048584
17,-0.79842424,-0.5496547,"('social', 'antisocial')",-1.3246698,-1.0431032,-1.061547,-0.796379,0.265168
72,-0.79602355,-0.5779554,"('logical', 'illogical')",-0.74735963,-0.466106,-0.7716916,-0.5220307,0.2496609
25,-0.76562214,-0.74787307,"('moral', 'immoral')",0.20631611,-0.25095725,-0.279653,-0.4994152,-0.2197622
68,-0.723595,-0.78757644,"('clever', 'inept')",-0.46707642,-0.8158765,-0.5953357,-0.8017265,-0.2063908
47,-0.7212305,-0.34660357,"('forgiving', 'unforgiving')",-0.43695128,-0.50593466,-0.5790909,-0.4262691,0.1528218
59,-0.7209675,-0.34500825,"('skillful', 'clumsy')",0.18612078,0.43839222,-0.2674233,0.046692,0.3141153
101,-0.71826905,-0.66614586,"('successful', 'unsuccessful')",-0.80529773,-0.69026685,-0.7617834,-0.6782063,0.0835771
21,0.71597373,0.5972057,"('nice', 'nasty')",0.9266174,0.70390654,0.8212956,0.6505561,-0.1707395
43,-0.7122859,-0.8913771,"('genuine', 'fake')",-0.15497212,-0.3261067,-0.433629,-0.6087419,-0.1751129
80,0.67695963,0.60912126,"('independent', 'dependent')",1.6849681,1.4898882,1.1809639,1.0495048,-0.1314591
70,0.676047,0.7821889,"('wise', 'unwise')",0.33965296,0.5034479,0.50785,0.6428184,0.1349684
74,-0.6578673,-0.55704063,"('insightful', 'unperceptive')",-0.9278277,-0.9878636,-0.7928475,-0.7724521,0.0203954
42,0.65691245,0.97286534,"('amicable', 'hostile')",0.68103504,1.0029438,0.6689737,0.9879045,0.3189308
81,0.5865518,0.64065164,"('industrious', 'lazy')",1.2191482,1.4011307,0.90285,1.0208912,0.1180412
16,-0.57432264,-0.35261595,"('social', 'antisocial')",-0.6013956,-0.7655053,-0.5878592,-0.5590606,0.0287986
77,0.57356906,0.434129,"('active', 'inactive')",0.5537262,0.82499886,0.5636476,0.6295639,0.0659163
64,-0.5636819,-0.48700365,"('clever', 'incompetent')",-0.47928306,-0.75234354,-0.5214825,-0.6196736,-0.0981911
93,0.56344855,0.5437094,"('dominating', 'dominated')",0.16847453,0.04528615,0.3659616,0.2944978,-0.0714638
9,-0.54402107,-0.5058445,"('sensitive', 'insensitive')",-1.0996056,-1.3729608,-0.8218133,-0.9394026,-0.1175893
89,0.5400192,0.37112552,"('daring', 'anxious')",0.34594494,-0.049428094,0.4429821,0.1608487,-0.2821334
2,-0.53220046,-0.5703263,"('friendly', 'unfriendly')",0.23435721,-0.115535915,-0.1489216,-0.3429311,-0.1940095
23,0.53017396,0.5044507,"('hospitable', 'inhospitable')",0.70254993,0.7649113,0.616362,0.634681,0.018319
87,-0.529429,-0.37241238,"('dedicated', 'undedicated')",-0.89830285,-0.88667834,-0.7138659,-0.6295453,0.0843206
84,-0.51055646,-0.71543896,"('self-confident', 'diffident')",-0.6303225,-0.54888093,-0.5704395,-0.6321599,-0.0617204
14,0.5071964,0.5046592,"('supportive', 'unsupportive')",0.5074941,0.36225152,0.5073453,0.4334553,-0.07389
39,-0.49841565,-0.20552802,"('right', 'wrong')",0.112962216,0.31997368,-0.1927267,0.0572228,0.2499495
54,0.4857316,0.15340805,"('smart', 'stupid')",0.2638783,0.29082862,0.3748049,0.2221183,-0.1526866
26,-0.47237456,-0.45722562,"('trustworthy', 'untrustworthy')",0.6208883,0.39504442,0.0742569,-0.0310906,-0.1053475
36,-0.47102055,-0.4394833,"('tolerant', 'intolerant')",-1.3491529,-1.5009019,-0.9100868,-0.9701926,-0.0601058
24,-0.46593434,-0.5348246,"('thoughtful', 'rough')",0.67924607,0.378461,0.1066559,-0.0781818,-0.1848377
62,-0.46025115,-0.42652476,"('creative', 'uncreative')",-0.81114167,-0.7829313,-0.6356964,-0.604728,0.0309684
51,-0.45295107,-0.22989395,"('competent', 'incompetent')",-1.4490154,-1.368319,-0.9509832,-0.7991065,0.1518767
12,-0.44933665,-0.43945917,"('sympathetic', 'unsympathetic')",-1.08942,-1.3329978,-0.7693783,-0.8862285,-0.1168502
85,-0.4350753,-0.38567603,"('ambitious', 'unambitious')",-0.40375245,-0.39726418,-0.4194139,-0.3914701,0.0279438
56,0.43173257,0.22719328,"('intelligent', 'dumb')",1.3682213,1.3545177,0.8999769,0.7908555,-0.1091214
91,0.42300808,0.3846941,"('resilient', 'nonresilient')",0.40230203,0.33072153,0.4126551,0.3577078,-0.0549473
44,-0.39689064,-0.45695323,"('truthful', 'untruthful')",-0.630198,-0.54963076,-0.5135443,-0.503292,0.0102523
18,-0.37976888,-0.47793162,"('social', 'asocial')",-0.6051305,-0.7958584,-0.4924497,-0.636895,-0.1444453
8,0.37961385,-0.045886397,"('open', 'distant')",0.59771097,0.9185472,0.4886624,0.4363304,-0.052332
30,-0.3700501,-0.43620855,"('honest', 'dishonest')",-0.62760293,-0.74959993,-0.4988265,-0.5929042,-0.0940777
110,-0.36085406,-0.2909836,"('narrow-minded', 'open-minded')",-0.3774415,-0.79326016,-0.3691478,-0.5421219,-0.1729741
71,0.3583851,-0.083064914,"('efficient', 'inefficient')",0.08711791,-0.42453933,0.2227515,-0.2538021,-0.4765536
92,-0.3351161,-0.19431055,"('unwavering', 'wavering')",-0.052219525,0.1502876,-0.1936678,-0.0220115,0.1716563
0,-0.32568598,0.02106452,"('sociable', 'unsociable')",-0.5705562,-0.41259784,-0.4481211,-0.1957667,0.2523544
19,-0.31863534,-0.14435017,"('funny', 'boring')",-1.1585991,-0.8611593,-0.7386172,-0.5027547,0.2358625
99,-0.30948797,-0.2194815,"('prestigious', 'insignificant')",0.6111246,0.819998,0.1508183,0.3002583,0.14944
22,0.30021003,0.36553347,"('welcoming', 'disagreeable')",1.4119995,1.2266316,0.8561047,0.7960826,-0.0600221
73,-0.29261562,-0.3461871,"('brilliant', 'incompetent')",-0.84438705,-1.1960639,-0.5685014,-0.7711255,-0.2026241
76,-0.2840472,-0.19511318,"('secure', 'insecure')",0.26155788,-0.10524067,-0.0112447,-0.1501769,-0.1389322
55,-0.25756073,-0.24268311,"('intelligent', 'unintelligent')",-0.15068096,-0.1930111,-0.2041208,-0.2178471,-0.0137263
100,-0.24246436,-0.10253346,"('influential', 'uninfluential')",-1.3241303,-0.8480569,-0.7832973,-0.4752952,0.3080021
94,0.20352817,0.41976961,"('aggressive', 'submissive')",0.31565994,0.23202343,0.2595941,0.3258965,0.0663024
96,0.19481544,0.12660956,"('powerful', 'powerless')",0.75500596,0.64576185,0.4749107,0.3861857,-0.088725
52,-0.17661387,-0.20311338,"('competitive', 'uncompetitive')",-0.4830484,-0.7050658,-0.3298311,-0.4540896,-0.1242585
57,-0.124245696,-0.32322216,"('able', 'unable')",0.8190657,0.24705806,0.34741,-0.038082,-0.385492
61,0.12018446,0.36980492,"('rational', 'irrational')",0.9067264,1.3248589,0.5134555,0.8473319,0.3338764
41,0.10604447,0.34348804,"('incorrupt', 'corrupt')",0.85665596,1.3497399,0.4813502,0.846614,0.3652638
20,-0.08166429,0.2791825,"('popular', 'unpopular')",-0.29042634,0.109662294,-0.1860453,0.1944224,0.3804677
60,-0.059208393,0.48533756,"('educated', 'uneducated')",0.2047762,0.31588584,0.0727839,0.4006117,0.3278278
82,-0.032283068,0.0331797,"('industrious', 'meek')",0.08922115,0.48842478,0.028469,0.2608022,0.2323332
105,-0.03176886,-0.18949327,"('conventional', 'modern')",-0.7656744,-0.56264144,-0.3987216,-0.3760673,0.0226543
83,0.013999447,-0.036391363,"('energetic', 'lethargic')",-0.6668424,-0.8107007,-0.3264215,-0.423546,-0.0971245
33,0.007095337,-0.19344288,"('softhearted', 'hardhearted')",-0.40653,-0.33976835,-0.1997173,-0.2666056,-0.0668883
