,IDEX_male,IDEX_female,tuple,Corporation_male,Corporation_female,average_male,average_female,female-male
71,0.32288367,0.11780314,"('efficient', 'inefficient')",-0.31214243,-0.66582847,0.0053706,-0.2740127,-0.2793833
4,-0.32159105,-0.30795446,"('likable', 'unlikable')",-1.1267765,-1.0491971,-0.7241837,-0.6785758,0.0456079
43,0.31864774,0.3343417,"('genuine', 'fake')",-0.4597743,-0.51524913,-0.0705633,-0.0904537,-0.0198904
81,-0.31841797,-0.3202027,"('industrious', 'lazy')",1.5114976,1.6851848,0.5965399,0.6824911,0.0859512
5,0.31234312,0.15787539,"('pleasant', 'repellent')",-0.25773704,-0.39348692,0.027303,-0.1178058,-0.1451088
94,0.303559,0.09007136,"('aggressive', 'submissive')",0.5067985,0.31398696,0.4051788,0.2020292,-0.2031496
42,0.2992625,0.5515002,"('amicable', 'hostile')",0.7175753,1.0475513,0.5084189,0.7995257,0.2911068
92,0.2857729,0.24855635,"('unwavering', 'wavering')",-0.4527764,-0.27781996,-0.0835018,-0.0146318,0.06887
17,0.27870077,0.35953134,"('social', 'antisocial')",-1.0290959,-0.7812415,-0.3751976,-0.2108551,0.1643425
49,-0.27502903,-0.48041967,"('responsible', 'irresponsible')",-1.171669,-1.421817,-0.723349,-0.9511183,-0.2277693
109,0.27447936,0.25202262,"('conservative', 'liberal')",0.95013714,0.72841185,0.6123083,0.4902172,-0.1220911
108,0.27447936,0.25202262,"('conservative', 'liberal')",0.95013714,0.72841185,0.6123083,0.4902172,-0.1220911
73,-0.2616157,-0.5420109,"('brilliant', 'incompetent')",-1.335294,-1.5418103,-0.7984549,-1.0419106,-0.2434557
38,-0.26109576,-0.06004844,"('kind', 'unkind')",-2.3360877,-2.1750834,-1.2985917,-1.1175659,0.1810258
45,-0.23560989,-0.2922627,"('cooperative', 'exploitative')",-0.7605086,-0.95082784,-0.4980592,-0.6215453,-0.1234861
7,0.22676027,0.26106802,"('outgoing', 'distant')",1.2203294,1.2222133,0.7235448,0.7416406,0.0180958
67,-0.22306632,-0.15945503,"('discriminating', 'undiscriminating')",-1.0061553,-1.0121269,-0.6146108,-0.585791,0.0288198
68,-0.21467546,-0.39863104,"('clever', 'inept')",-1.4786408,-1.5712712,-0.8466581,-0.9849511,-0.138293
84,0.21256213,0.094133765,"('self-confident', 'diffident')",-0.6401853,-0.46615046,-0.2138116,-0.1860083,0.0278033
20,0.21129593,0.25202933,"('popular', 'unpopular')",-0.4259438,-0.17401364,-0.1073239,0.0390078,0.1463317
47,0.20527892,0.24387383,"('forgiving', 'unforgiving')",-1.3958423,-1.2360581,-0.5952817,-0.4960921,0.0991896
61,0.19937149,0.514045,"('rational', 'irrational')",0.24241582,0.5365246,0.2208937,0.5252848,0.3043911
88,0.19702685,0.10220819,"('impulsive', 'meek')",1.1850227,1.1676286,0.6910248,0.6349184,-0.0561064
82,-0.19545034,-0.18232775,"('industrious', 'meek')",0.82638836,1.0624516,0.315469,0.4400619,0.1245929
100,0.1913085,0.42484832,"('influential', 'uninfluential')",-1.2244661,-0.9625629,-0.5165788,-0.2688573,0.2477215
0,0.19098929,0.26173633,"('sociable', 'unsociable')",-1.0868596,-0.87454176,-0.4479352,-0.3064027,0.1415325
54,0.18567574,-0.017629974,"('smart', 'stupid')",0.27648887,0.18502852,0.2310823,0.0836993,-0.147383
96,0.18552811,0.17026865,"('powerful', 'powerless')",-0.17151986,-0.14666,0.0070041,0.0118043,0.0048002
85,-0.17184392,-0.19098672,"('ambitious', 'unambitious')",-1.0209961,-0.9879769,-0.59642,-0.5894818,0.0069382
22,0.16502579,0.20613745,"('welcoming', 'disagreeable')",0.7834791,0.9223124,0.4742524,0.5642249,0.0899725
28,-0.14622709,-0.076912835,"('honest', 'dishonest')",-1.754081,-1.7046982,-0.9501541,-0.8908055,0.0593486
26,-0.14490768,-0.14130178,"('trustworthy', 'untrustworthy')",-0.31007636,-0.3223795,-0.227492,-0.2318406,-0.0043486
72,-0.13652688,0.047656506,"('logical', 'illogical')",-0.87245774,-0.6190673,-0.5044923,-0.2857054,0.2187869
64,-0.12700382,-0.21247464,"('clever', 'incompetent')",-1.1084907,-1.2355897,-0.6177472,-0.7240322,-0.106285
59,0.12601098,0.13518466,"('skillful', 'clumsy')",0.06462303,0.35131168,0.095317,0.2432482,0.1479312
98,-0.11603526,-0.0627774,"('prestigious', 'insignificant')",-0.4130975,-0.3233846,-0.2645664,-0.193081,0.0714854
79,-0.11571349,-0.2378288,"('determined', 'doubtful')",0.009210169,0.021496922,-0.0532517,-0.1081659,-0.0549142
63,-0.10245462,-0.034312204,"('capable', 'incapable')",-0.8338088,-0.82480395,-0.4681317,-0.4295581,0.0385736
106,-0.10011363,-0.08154151,"('conventional', 'unconventional')",-0.35674915,-0.2866406,-0.2284314,-0.1840911,0.0443403
62,0.09606771,0.15544038,"('creative', 'uncreative')",-0.59355617,-0.54130137,-0.2487442,-0.1929305,0.0558137
10,-0.091018885,0.13708067,"('affectionate', 'unaffectionate')",-1.2556378,-1.1272457,-0.6733283,-0.4950825,0.1782458
55,0.08813731,0.06709544,"('intelligent', 'unintelligent')",-0.8582853,-0.7608187,-0.385074,-0.3468616,0.0382124
69,-0.073266394,-0.011994801,"('wise', 'foolish')",0.46945584,0.6314868,0.1980947,0.309746,0.1116513
74,-0.06699505,-0.26547915,"('insightful', 'unperceptive')",-1.6700075,-1.6634356,-0.8685012,-0.9644574,-0.0959562
89,0.05276005,-0.099294856,"('daring', 'anxious')",0.20823935,0.014363587,0.1304997,-0.0424656,-0.1729653
57,0.04626961,-0.090807915,"('able', 'unable')",-0.059098035,-0.26861152,-0.0064142,-0.1797097,-0.1732955
11,-0.045848608,0.06931898,"('caring', 'unaffectionate')",-1.7873064,-1.7140722,-0.9165775,-0.8223766,0.0942009
65,0.03847757,-0.13908146,"('practical', 'impractical')",-1.4706507,-1.5633919,-0.7160866,-0.8512367,-0.1351501
102,0.032515347,0.000266999,"('eminent', 'low')",-1.6142371,-1.3247689,-0.7908609,-0.6622509,0.12861
9,-0.020737678,-0.12663406,"('sensitive', 'insensitive')",-1.2989955,-1.4105285,-0.6598666,-0.7685813,-0.1087147
83,-0.013181686,-0.18953988,"('energetic', 'lethargic')",-0.8529256,-0.97785556,-0.4330536,-0.5836977,-0.1506441
99,0.010887235,0.18422997,"('prestigious', 'insignificant')",-0.36734855,-0.14205799,-0.1782307,0.021086,0.1993167
