,Dictionary,term,term preproc,PoS,sense,Dir,Synset,Definition,Examples,Antonyms
58,Sociability,sentimental,sentimental,ADJECTIVE,1,high,sentimental.s.01,given to or marked by sentiment or sentimentality,she felt a sentimental attachment to the place creep over her,
59,Sociability,forthcoming,forthcoming,ADJECTIVE,1,high,extroverted.s.02,at ease in talking to others,the forthcoming cricket season,
60,Sociability,tender,tender,ADJECTIVE,1,high,tender.a.01,given to sympathy or gentleness or sentimentality,a tender heart,tough.a.01
61,Sociability,tender,tender,ADJECTIVE,3,high,tender.s.03,young and immature,at a tender age,
62,Sociability,agreeable,agreeable,ADJECTIVE,1,high,agreeable.a.01,conforming to your own liking or feelings or nature; ; ; - Disraeli,Is the plan agreeable to you?,disagreeable.a.01
63,Sociability,disagreeable,disagreeable,ADJECTIVE,2,low,disagreeable.s.02,unpleasant to interact with,a disagreeable old man,
64,Sociability,rough,rough,ADJECTIVE,2,low,rough.s.02,(of persons or behavior) lacking refinement or finesse,she was a diamond in the rough,
65,Sociability,rough,rough,ADJECTIVE,7,low,pugnacious.s.02,ready and able to resort to force or violence; - Herman Melville,pugnacious spirits...lamented that there was so little prospect of an exhilarating disturbance,
66,Sociability,rough,rough,ADJECTIVE,13,low,harsh.s.01,unpleasantly stern,wild and harsh country full of hot sand and cactus,
67,Sociability,rough,rough,ADJECTIVE,14,low,harsh.s.04,unkind or cruel or uncivil,had harsh words,
68,Sociability,welcoming,welcoming,ADJECTIVE,1,high,welcoming.s.01,very cordial,a welcoming smile,
69,Sociability,inhospitable,inhospitable,ADJECTIVE,2,low,inhospitable.a.02,not hospitable,they are extremely inhospitable these days,hospitable.a.02
70,Sociability,hospitable,hospitable,ADJECTIVE,2,high,hospitable.a.02,disposed to treat guests and strangers with cordiality and generosity,a good-natured and hospitable man,inhospitable.a.02
71,Sociability,thoughtful,thoughtful,ADJECTIVE,5,high,thoughtful.s.05,considerate of the feelings or well-being of others,brows drawn together in thoughtful consideration,
72,Sociability,inconsiderate,inconsiderate,ADJECTIVE,1,low,inconsiderate.a.01,lacking regard for the rights or feelings of others,shockingly inconsiderate behavior,considerate.a.01
73,Sociability,timid,timid,ADJECTIVE,1,low,timid.a.01,showing fear and lack of confidence,I was too timid to ask for what I wanted,bold.a.01
74,Sociability,timid,timid,ADJECTIVE,2,low,diffident.a.02,lacking self-confidence,stood in the doorway diffident and abashed,confident.a.01
