,Comcast_male,Comcast_female,tuple,average_male,average_female,female-male
9,1.1561406,1.2543637,"('sensitive', 'insensitive')",1.1561405658721924,1.2543636560440063,0.09822309017181396
39,-1.1243653,-1.149303,"('right', 'wrong')",-1.1243653297424316,-1.1493029594421387,-0.02493762969970703
26,1.0197469,1.2039164,"('trustworthy', 'untrustworthy')",1.0197468996047974,1.2039164304733276,0.18416953086853027
3,1.012887,1.012739,"('likable', 'unlikable')",1.0128870010375977,1.0127389430999756,-0.0001480579376220703
90,0.9776094,0.8431026,"('motivated', 'unmotivated')",0.977609395980835,0.8431025743484497,-0.13450682163238525
95,-0.976843,-0.9890972,"('rich', 'poor')",-0.976842999458313,-0.9890971779823303,-0.012254178524017334
60,0.93788004,1.1816344,"('educated', 'uneducated')",0.9378800392150879,1.1816344261169434,0.24375438690185547
74,0.9030578,0.9671381,"('insightful', 'unperceptive')",0.9030578136444092,0.9671381115913391,0.06408029794692993
1,-0.8957443,-0.7938802,"('friendly', 'unfriendly')",-0.8957443237304688,-0.7938802242279053,0.10186409950256348
6,0.83405083,0.6202053,"('liked', 'disliked')",0.8340508341789246,0.620205283164978,-0.21384555101394653
30,0.8312255,0.9931524,"('honest', 'dishonest')",0.8312255144119263,0.993152379989624,0.16192686557769775
86,0.8254013,0.6220646,"('self-reliant', 'helpless')",0.8254013061523438,0.6220645904541016,-0.2033367156982422
103,0.82439137,0.8280876,"('traditional', 'modern')",0.8243913650512695,0.8280876278877258,0.003696262836456299
7,-0.79158324,-1.17151,"('outgoing', 'distant')",-0.791583240032196,-1.1715099811553955,-0.37992674112319946
105,-0.7891813,-0.89052904,"('conventional', 'modern')",-0.7891812920570374,-0.8905290365219116,-0.10134774446487427
47,0.7694548,0.79100335,"('forgiving', 'unforgiving')",0.7694547772407532,0.7910033464431763,0.021548569202423096
79,0.75422007,0.7683602,"('determined', 'doubtful')",0.7542200684547424,0.7683601975440979,0.014140129089355469
96,0.74021006,0.7414857,"('powerful', 'powerless')",0.7402100563049316,0.7414857149124146,0.0012756586074829102
40,-0.7150607,-0.7951747,"('honorable', 'mean')",-0.7150607109069824,-0.7951747179031372,-0.08011400699615479
85,0.71078414,0.66847354,"('ambitious', 'unambitious')",0.7107841372489929,0.6684735417366028,-0.04231059551239014
62,-0.702383,-0.8007008,"('creative', 'uncreative')",-0.7023829817771912,-0.8007007837295532,-0.09831780195236206
43,0.68095994,0.843863,"('genuine', 'fake')",0.680959939956665,0.8438630104064941,0.1629030704498291
88,-0.6790832,-0.9018973,"('impulsive', 'meek')",-0.6790832281112671,-0.9018973112106323,-0.22281408309936523
87,0.67609257,0.6317578,"('dedicated', 'undedicated')",0.6760925650596619,0.6317577958106995,-0.0443347692489624
17,0.6295678,0.7320846,"('social', 'antisocial')",0.6295678019523621,0.7320845723152161,0.102516770362854
97,-0.62697506,-0.469752,"('superior', 'inferior')",-0.6269750595092773,-0.4697520136833191,0.15722304582595825
33,-0.5983329,-0.538014,"('softhearted', 'hardhearted')",-0.5983328819274902,-0.5380139946937561,0.06031888723373413
84,-0.5692445,-0.7298595,"('self-confident', 'diffident')",-0.5692445039749146,-0.729859471321106,-0.1606149673461914
11,-0.5662074,-0.48619056,"('caring', 'unaffectionate')",-0.5662074089050293,-0.4861905574798584,0.0800168514251709
4,-0.56220996,-0.64377123,"('likable', 'unlikable')",-0.562209963798523,-0.643771231174469,-0.08156126737594604
54,0.5417815,0.33791578,"('smart', 'stupid')",0.541781485080719,0.3379157781600952,-0.20386570692062378
100,0.53771776,0.70274276,"('influential', 'uninfluential')",0.5377177596092224,0.7027427554130554,0.165024995803833
32,-0.5319037,-0.47251707,"('benevolent', 'hardhearted')",-0.5319036841392517,-0.47251707315444946,0.059386610984802246
80,0.52197254,0.538278,"('independent', 'dependent')",0.5219725370407104,0.5382779836654663,0.01630544662475586
68,-0.51813877,-0.69931185,"('clever', 'inept')",-0.5181387662887573,-0.6993118524551392,-0.18117308616638184
91,0.51436067,0.38202512,"('resilient', 'nonresilient')",0.5143606662750244,0.3820251226425171,-0.13233554363250732
18,0.48770463,0.6435909,"('social', 'asocial')",0.48770463466644287,0.6435909271240234,0.15588629245758057
70,0.4558898,0.2856756,"('wise', 'unwise')",0.4558897912502289,0.285675585269928,-0.1702142059803009
21,0.40387058,0.3549286,"('nice', 'nasty')",0.4038705825805664,0.3549286127090454,-0.048941969871520996
50,0.33635333,0.3663233,"('unprejudiced', 'prejudiced')",0.3363533318042755,0.3663232922554016,0.0299699604511261
67,0.3187558,0.23253268,"('discriminating', 'undiscriminating')",0.3187558054924011,0.23253268003463745,-0.08622312545776367
38,0.29519844,0.43305773,"('kind', 'unkind')",0.2951984405517578,0.4330577254295349,0.1378592848777771
35,-0.27855957,-0.27085996,"('fair', 'unfair')",-0.2785595655441284,-0.270859956741333,0.00769960880279541
78,0.2660242,0.07177938,"('active', 'inactive')",0.2660242021083832,0.07177937775850296,-0.19424482434988022
34,0.25961027,0.43984407,"('loyal', 'disloyal')",0.25961026549339294,0.4398440718650818,0.18023380637168884
10,-0.25805,-0.10712707,"('affectionate', 'unaffectionate')",-0.25804999470710754,-0.10712707042694092,0.15092292428016663
77,-0.22740322,-0.28767812,"('active', 'inactive')",-0.22740322351455688,-0.2876781225204468,-0.06027489900588989
55,0.22689152,0.38406,"('intelligent', 'unintelligent')",0.22689151763916016,0.38405999541282654,0.15716847777366638
24,0.22021636,0.15235144,"('thoughtful', 'rough')",0.22021636366844177,0.15235143899917603,-0.06786492466926575
101,0.20827147,0.39006108,"('successful', 'unsuccessful')",0.20827147364616394,0.39006108045578003,0.1817896068096161
45,0.20821479,0.27493083,"('cooperative', 'exploitative')",0.20821478962898254,0.27493083477020264,0.06671604514122009
102,-0.1935417,-0.14658155,"('eminent', 'low')",-0.19354170560836792,-0.14658154547214508,0.04696016013622284
59,-0.18761724,-0.25720686,"('skillful', 'clumsy')",-0.1876172423362732,-0.25720685720443726,-0.06958961486816406
58,-0.15090962,0.13942136,"('able', 'clumsy')",-0.15090961754322052,0.13942135870456696,0.2903309762477875
72,-0.14312619,0.03455972,"('logical', 'illogical')",-0.14312618970870972,0.034559719264507294,0.177685908973217
110,-0.11576685,-0.08720285,"('narrow-minded', 'open-minded')",-0.11576685309410095,-0.08720284700393677,0.028564006090164185
57,0.11222318,0.04122415,"('able', 'unable')",0.11222317814826965,0.041224151849746704,-0.07099902629852295
44,0.104064986,0.13353261,"('truthful', 'untruthful')",0.10406498610973358,0.13353261351585388,0.0294676274061203
28,-0.0800198,0.19912224,"('honest', 'dishonest')",-0.08001980185508728,0.19912223517894745,0.27914203703403473
46,-0.07967481,-0.08546719,"('generous', 'stingy')",-0.07967481017112732,-0.08546718955039978,-0.005792379379272461
106,-0.06826028,0.014878064,"('conventional', 'unconventional')",-0.06826028227806091,0.014878064393997192,0.0831383466720581
23,-0.06152278,-0.28552395,"('hospitable', 'inhospitable')",-0.06152278184890747,-0.2855239510536194,-0.22400116920471191
63,0.054694533,-0.021966547,"('capable', 'incapable')",0.054694533348083496,-0.021966546773910522,-0.07666108012199402
22,-0.053177297,-0.105192184,"('welcoming', 'disagreeable')",-0.05317729711532593,-0.10519218444824219,-0.05201488733291626
53,0.03447786,0.14849415,"('smart', 'stupid')",0.03447785973548889,0.148494154214859,0.11401629447937012
29,0.01969415,0.04633385,"('honest', 'immoral')",0.019694149494171143,0.04633384943008423,0.026639699935913086
27,0.01944244,0.29250133,"('sincere', 'insincere')",0.019442439079284668,0.2925013303756714,0.2730588912963867
