,pulte_male,pulte_female,tuple,group_male,group_female,average_male,average_female,female-male
95,-0.6759877,-0.9691852,"('rich', 'poor')",-3.739601,-3.919509,-2.207794189453125,-2.4443471431732178,-0.23655295372009277
54,0.67268634,0.6127485,"('smart', 'stupid')",0.51124406,0.28450105,0.5919651985168457,0.44862478971481323,-0.14334040880203247
64,0.671019,0.41586262,"('clever', 'incompetent')",-1.4463694,-1.316491,-0.3876751959323883,-0.4503141939640045,-0.06263899803161621
52,0.6396084,0.6915346,"('competitive', 'uncompetitive')",-0.7786321,-0.5827871,-0.06951186060905457,0.054373741149902344,0.12388560175895691
63,-0.6316254,-0.39260542,"('capable', 'incapable')",-0.41913867,-0.4962123,-0.5253820419311523,-0.4444088637828827,0.08097317814826965
102,0.623276,0.36959308,"('eminent', 'low')",0.32175678,0.4106063,0.47251638770103455,0.3900997042655945,-0.08241668343544006
38,-0.5957352,-0.6657667,"('kind', 'unkind')",-1.9359932,-1.716505,-1.2658641338348389,-1.1911358833312988,0.07472825050354004
56,-0.5840631,-0.30164933,"('intelligent', 'dumb')",1.733365,1.6238256,0.5746510028839111,0.6610881090164185,0.08643710613250732
61,-0.5765118,-0.0077962875,"('rational', 'irrational')",1.1793873,1.331265,0.30143776535987854,0.6617343425750732,0.3602965772151947
22,0.55439,0.40331525,"('welcoming', 'disagreeable')",0.9713837,0.89815235,0.7628868818283081,0.6507338285446167,-0.1121530532836914
103,0.55386716,0.72051036,"('traditional', 'modern')",0.46084702,0.7360275,0.507357120513916,0.7282689213752747,0.22091180086135864
77,0.53827417,0.82877946,"('active', 'inactive')",1.0798613,1.1776149,0.8090677261352539,1.003197193145752,0.19412946701049805
42,-0.53011525,0.041024804,"('amicable', 'hostile')",1.4234809,1.5795428,0.44668281078338623,0.8102837800979614,0.3636009693145752
15,0.49523216,0.39491436,"('polite', 'impolite')",-0.04083036,0.21482044,0.22720089554786682,0.30486738681793213,0.07766649127006531
109,0.48221606,0.35391188,"('conservative', 'liberal')",-1.1766788,-1.1526232,-0.34723135828971863,-0.3993556499481201,-0.05212429165840149
108,0.48221606,0.35391188,"('conservative', 'liberal')",-1.1766788,-1.1526232,-0.34723135828971863,-0.3993556499481201,-0.05212429165840149
20,-0.4788305,0.15018919,"('popular', 'unpopular')",1.0082709,1.0216434,0.26472020149230957,0.58591628074646,0.3211960792541504
107,0.47743368,0.56395304,"('conventional', 'modern')",0.38715938,0.40438294,0.4322965145111084,0.48416799306869507,0.05187147855758667
73,0.47447106,0.23030606,"('brilliant', 'incompetent')",-1.2650023,-1.4658844,-0.3952655792236328,-0.6177892088890076,-0.22252362966537476
24,0.46686235,0.28803688,"('thoughtful', 'rough')",-1.6960933,-1.4237908,-0.6146154999732971,-0.567876935005188,0.04673856496810913
28,-0.4645262,-0.35886818,"('honest', 'dishonest')",-1.6285405,-1.560349,-1.0465333461761475,-0.9596085548400879,0.08692479133605957
46,0.4591863,0.543536,"('generous', 'stingy')",1.3247952,1.3744605,0.8919907808303833,0.9589982032775879,0.06700742244720459
104,-0.45246488,0.028601274,"('conventional', 'unconventional')",-0.20041429,0.0846716,-0.32643958926200867,0.05663643777370453,0.3830760270357132
99,-0.42855594,-0.23755804,"('prestigious', 'insignificant')",0.77678156,0.5511234,0.17411281168460846,0.15678267180919647,-0.017330139875411987
65,-0.4196583,-0.78448385,"('practical', 'impractical')",-2.043039,-2.0109487,-1.2313487529754639,-1.3977162837982178,-0.1663675308227539
72,0.3897938,0.7424271,"('logical', 'illogical')",-0.8196918,-0.51261544,-0.21494898200035095,0.11490583419799805,0.329854816198349
85,0.38742644,0.46281838,"('ambitious', 'unambitious')",-0.8348314,-0.83987784,-0.22370249032974243,-0.18852972984313965,0.03517276048660278
60,0.3818217,0.45340532,"('educated', 'uneducated')",-0.32826266,-0.075572595,0.02677951753139496,0.18891635537147522,0.16213683784008026
79,-0.3791797,-0.57768726,"('determined', 'doubtful')",-0.38879615,-0.3186389,-0.3839879035949707,-0.44816309213638306,-0.06417518854141235
49,0.37140858,0.061068356,"('responsible', 'irresponsible')",-2.1645157,-2.230853,-0.8965535759925842,-1.0848923921585083,-0.18833881616592407
33,-0.356859,-0.1410532,"('softhearted', 'hardhearted')",-1.077182,-0.89437354,-0.7170205116271973,-0.5177133679389954,0.1993071436882019
59,-0.3452059,-0.23153313,"('skillful', 'clumsy')",0.77878106,0.86766374,0.21678757667541504,0.3180653154850006,0.10127773880958557
47,-0.34013775,-0.33700606,"('forgiving', 'unforgiving')",-1.3525063,-1.2682215,-0.8463220000267029,-0.8026137948036194,0.043708205223083496
45,-0.33227402,-0.69218206,"('cooperative', 'exploitative')",-2.4651735,-2.4185734,-1.3987237215042114,-1.555377721786499,-0.1566540002822876
96,-0.33187264,-0.4245288,"('powerful', 'powerless')",-0.18959212,0.002394706,-0.26073238253593445,-0.2110670506954193,0.04966533184051514
83,0.3314197,0.14511889,"('energetic', 'lethargic')",-0.29718047,-0.34872067,0.017119616270065308,-0.10180088877677917,-0.11892050504684448
18,0.3180347,0.14892247,"('social', 'asocial')",-1.0514355,-0.86090803,-0.3667003810405731,-0.35599279403686523,0.010707587003707886
97,-0.29557496,-0.21689206,"('superior', 'inferior')",-0.6158573,-0.5000367,-0.4557161331176758,-0.35846439003944397,0.09725174307823181
17,-0.29483294,-0.10902895,"('social', 'antisocial')",-1.47078,-1.2230585,-0.8828064799308777,-0.6660436987876892,0.21676278114318848
48,-0.28805023,-0.14303617,"('reliable', 'unreliable')",1.9948481,1.8933095,0.8533989191055298,0.87513667345047,0.021737754344940186
31,-0.28743273,0.0780735,"('altruistic', 'egoistic')",0.38379222,0.5512524,0.0481797456741333,0.31466296315193176,0.26648321747779846
50,0.28395897,0.38565952,"('unprejudiced', 'prejudiced')",1.9148343,1.5773686,1.0993965864181519,0.9815140962600708,-0.11788249015808105
93,0.27831924,0.14828846,"('dominating', 'dominated')",-0.2053335,-0.037721723,0.03649286925792694,0.05528336763381958,0.01879049837589264
13,0.2747634,0.15675129,"('helpful', 'unhelpful')",-2.1762795,-2.3006935,-0.9507580995559692,-1.07197105884552,-0.12121295928955078
87,0.26497602,-0.29226536,"('dedicated', 'undedicated')",-1.7366168,-1.5679417,-0.7358204126358032,-0.9301035404205322,-0.194283127784729
62,0.26049906,0.5435766,"('creative', 'uncreative')",-0.27544188,-0.40071613,-0.007471412420272827,0.07143023610115051,0.07890164852142334
89,0.241508,-0.030409336,"('daring', 'anxious')",-0.5957978,-0.5568205,-0.1771448850631714,-0.29361492395401,-0.11647003889083862
98,-0.23898724,-0.14465946,"('prestigious', 'insignificant')",0.9237452,0.6020702,0.34237897396087646,0.22870537638664246,-0.11367359757423401
37,0.23894674,0.5841323,"('good', 'evil')",1.7279257,1.7371286,0.9834362268447876,1.160630464553833,0.1771942377090454
57,0.22350529,-0.00753361,"('able', 'unable')",-0.17505473,-0.21569885,0.024225279688835144,-0.11161623150110245,-0.1358415111899376
26,-0.21268621,-0.1759493,"('trustworthy', 'untrustworthy')",-0.3533585,-0.23793119,-0.28302234411239624,-0.20694024860858917,0.07608209550380707
1,-0.20324865,-0.043908626,"('friendly', 'unfriendly')",-1.4762433,-1.2522011,-0.8397459387779236,-0.648054838180542,0.1916911005973816
86,-0.20142052,-0.07014735,"('self-reliant', 'helpless')",2.2760673,2.1689343,1.0373233556747437,1.0493935346603394,0.012070178985595703
67,-0.18497732,-0.2119777,"('discriminating', 'undiscriminating')",-1.3161902,-1.0050048,-0.7505837678909302,-0.6084912419319153,0.1420925259590149
7,0.18085757,0.25853217,"('outgoing', 'distant')",1.2472475,0.8397579,0.7140524983406067,0.5491450428962708,-0.16490745544433594
92,-0.17824814,0.08564621,"('unwavering', 'wavering')",1.0815783,0.86477125,0.4516650438308716,0.47520872950553894,0.02354368567466736
29,-0.17732823,-0.12170684,"('honest', 'immoral')",-1.5789661,-1.2909399,-0.8781471848487854,-0.7063233852386475,0.17182379961013794
68,0.1759854,0.046287134,"('clever', 'inept')",-0.7937468,-1.0387912,-0.3088807165622711,-0.49625203013420105,-0.18737131357192993
10,-0.1642303,0.105848715,"('affectionate', 'unaffectionate')",-0.797673,-0.87591875,-0.4809516370296478,-0.3850350081920624,0.09591662883758545
74,-0.15659879,-0.060592152,"('insightful', 'unperceptive')",-1.6465073,-1.5502472,-0.9015530347824097,-0.8054196834564209,0.09613335132598877
81,-0.15609774,-0.18461636,"('industrious', 'lazy')",1.9114699,1.8021244,0.877686083316803,0.808754026889801,-0.06893205642700195
106,0.14610027,0.0043406636,"('conventional', 'unconventional')",-0.8112285,-0.35909978,-0.332564115524292,-0.1773795485496521,0.1551845669746399
8,-0.14264211,0.0025235526,"('open', 'distant')",1.1023654,0.75858015,0.47986161708831787,0.38055184483528137,-0.0993097722530365
82,0.14134896,0.16496281,"('industrious', 'meek')",1.5385609,1.6063236,0.8399549126625061,0.8856431841850281,0.04568827152252197
23,-0.13515528,0.14116874,"('hospitable', 'inhospitable')",0.8936063,0.6695029,0.3792255222797394,0.40533584356307983,0.026110321283340454
58,-0.118138656,-0.3146739,"('able', 'clumsy')",-1.2572565,-1.2748418,-0.6876975893974304,-0.7947578430175781,-0.1070602536201477
101,0.1133163,0.25348958,"('successful', 'unsuccessful')",-1.0340345,-0.81662524,-0.4603590965270996,-0.2815678119659424,0.17879128456115723
25,0.11255613,0.0008096248,"('moral', 'immoral')",-1.4139347,-1.3145158,-0.6506893038749695,-0.6568530797958374,-0.00616377592086792
88,-0.10374287,0.004303515,"('impulsive', 'meek')",2.2571058,2.0581946,1.0766814947128296,1.0312490463256836,-0.045432448387145996
36,-0.090060174,-0.3611428,"('tolerant', 'intolerant')",-0.75403845,-0.63169855,-0.42204931378364563,-0.496420681476593,-0.07437136769294739
80,-0.0752871,0.06321685,"('independent', 'dependent')",0.35079432,0.5369884,0.13775360584259033,0.3001026213169098,0.16234901547431946
3,-0.061848983,0.071800776,"('likable', 'unlikable')",1.2558029,1.1621326,0.5969769358634949,0.616966724395752,0.01998978853225708
34,-0.051300004,0.09546177,"('loyal', 'disloyal')",-1.5511099,-1.3560905,-0.8012049794197083,-0.6303144097328186,0.17089056968688965
30,-0.04174289,-0.023824215,"('honest', 'dishonest')",-0.49386823,-0.49659815,-0.2678055763244629,-0.26021116971969604,0.007594406604766846
84,0.039851546,0.22990899,"('self-confident', 'diffident')",-0.43305594,-0.3952307,-0.19660219550132751,-0.08266086131334305,0.11394133418798447
110,-0.03446962,-0.15317245,"('narrow-minded', 'open-minded')",0.18353903,0.075898826,0.07453470677137375,-0.03863681107759476,-0.1131715178489685
32,0.02574464,-0.35196579,"('benevolent', 'hardhearted')",-1.4164578,-1.2690787,-0.695356547832489,-0.8105222582817078,-0.11516571044921875
35,-0.01977086,0.22416323,"('fair', 'unfair')",0.48221785,0.76956576,0.23122349381446838,0.4968644976615906,0.2656410038471222
105,-0.0070795417,0.03451057,"('conventional', 'modern')",-0.7391451,-0.56725574,-0.3731123208999634,-0.26637259125709534,0.10673972964286804
11,-0.0053561777,0.33872622,"('caring', 'unaffectionate')",-1.4942008,-1.4447865,-0.7497785091400146,-0.5530301332473755,0.19674837589263916
44,0.0019765198,0.057080626,"('truthful', 'untruthful')",-0.33773977,-0.59370875,-0.16788162291049957,-0.26831406354904175,-0.10043244063854218
