,freeport_male,freeport_female,tuple,mcmoran_male,mcmoran_female,average_male,average_female,female-male
100,-0.4841259,-0.25083125,"('influential', 'uninfluential')",0.7854608,0.8146075,0.1506674587726593,0.28188812732696533,0.13122066855430603
87,-0.46615118,-0.5566538,"('dedicated', 'undedicated')",-0.91142744,-1.0660595,-0.6887893080711365,-0.8113566637039185,-0.12256735563278198
33,-0.4586715,-0.27724224,"('softhearted', 'hardhearted')",-0.021956772,0.058713496,-0.24031414091587067,-0.10926437377929688,0.1310497671365738
57,-0.44744658,-0.5623987,"('able', 'unable')",0.7699245,0.65437245,0.16123896837234497,0.04598689079284668,-0.11525207757949829
29,-0.44222948,-0.75607336,"('honest', 'immoral')",0.7990034,0.66384995,0.17838697135448456,-0.04611170291900635,-0.2244986742734909
43,-0.43803224,-0.53594494,"('genuine', 'fake')",-0.51851654,-0.5577667,-0.478274405002594,-0.5468558073043823,-0.06858140230178833
21,0.41442043,0.57976186,"('nice', 'nasty')",0.8138405,0.7155425,0.6141304969787598,0.6476521492004395,0.03352165222167969
61,-0.40839282,0.2140749,"('rational', 'irrational')",-0.19236219,-0.2194536,-0.3003774881362915,-0.002689354121685028,0.2976881340146065
81,0.3580233,0.6402509,"('industrious', 'lazy')",-1.710839,-2.0541,-0.6764078736305237,-0.706924557685852,-0.03051668405532837
80,0.3544749,0.06673038,"('independent', 'dependent')",0.18451166,0.09472104,0.2694932818412781,0.08072571456432343,-0.18876756727695465
71,0.35171998,-0.31767446,"('efficient', 'inefficient')",2.187702,2.1867583,1.2697110176086426,0.9345419406890869,-0.33516907691955566
38,-0.34383193,-0.36596727,"('kind', 'unkind')",0.6522132,0.94134593,0.15419064462184906,0.28768932819366455,0.1334986835718155
52,0.33736196,0.032568008,"('competitive', 'uncompetitive')",1.3783811,1.4774455,0.8578715324401855,0.755006730556488,-0.10286480188369751
16,0.33060777,-0.029131047,"('social', 'antisocial')",2.1576734,2.1875358,1.244140625,1.07920241355896,-0.16493821144104004
39,-0.32940412,0.074863195,"('right', 'wrong')",-0.6940829,-0.87074584,-0.5117435455322266,-0.39794132113456726,0.1138022243976593
9,-0.32291895,-0.68682426,"('sensitive', 'insensitive')",0.40754628,0.41788745,0.04231366515159607,-0.13446840643882751,-0.17678207159042358
106,-0.29239565,-0.18542767,"('conventional', 'unconventional')",0.5276085,0.4050191,0.11760643124580383,0.1097957193851471,-0.007810711860656738
44,-0.28978875,-0.2038163,"('truthful', 'untruthful')",-0.2950413,-0.2522903,-0.2924150228500366,-0.22805330157279968,0.06436172127723694
41,0.28781945,0.78585523,"('incorrupt', 'corrupt')",-1.6573298,-1.5267339,-0.6847552061080933,-0.3704393208026886,0.31431588530540466
97,-0.2777667,-0.2948065,"('superior', 'inferior')",-0.22815824,-0.1359345,-0.25296247005462646,-0.21537050604820251,0.03759196400642395
48,0.2756989,0.18621868,"('reliable', 'unreliable')",-0.1339488,-0.38249153,0.07087504863739014,-0.09813642501831055,-0.16901147365570068
74,-0.27472764,-0.45749772,"('insightful', 'unperceptive')",0.15225103,0.17652741,-0.061238303780555725,-0.14048515260219574,-0.07924684882164001
73,-0.27341855,-1.0249285,"('brilliant', 'incompetent')",0.36492974,0.22856995,0.045755594968795776,-0.39817923307418823,-0.443934828042984
7,-0.26990333,0.20863435,"('outgoing', 'distant')",-1.1583703,-1.4417173,-0.7141367793083191,-0.6165414452552795,0.09759533405303955
66,0.2604096,0.47785032,"('imaginative', 'unimaginative')",0.79796237,0.93335426,0.5291860103607178,0.7056022882461548,0.176416277885437
18,-0.25551665,-0.38080618,"('social', 'asocial')",0.6945423,0.6263169,0.21951282024383545,0.12275536358356476,-0.09675745666027069
110,-0.24929854,-0.0678202,"('narrow-minded', 'open-minded')",-0.6724541,-0.69859815,-0.46087634563446045,-0.3832091689109802,0.07766717672348022
76,0.24611187,-0.2595268,"('secure', 'insecure')",1.6668539,1.8934126,0.9564828872680664,0.8169429302215576,-0.1395399570465088
64,-0.24246031,-0.6996925,"('clever', 'incompetent')",1.6484736,1.60751,0.7030066251754761,0.4539087414741516,-0.24909788370132446
70,0.2402335,0.80380577,"('wise', 'unwise')",0.5670737,0.63448864,0.4036535918712616,0.7191472053527832,0.3154936134815216
0,0.23814088,0.12468451,"('sociable', 'unsociable')",1.361774,1.641407,0.7999573945999146,0.8830457925796509,0.08308839797973633
17,0.22054636,0.19861412,"('social', 'antisocial')",0.8522663,1.0278794,0.5364063382148743,0.613246738910675,0.07684040069580078
85,0.19233878,0.17632535,"('ambitious', 'unambitious')",0.73010015,0.9375328,0.46121945977211,0.5569290518760681,0.09570959210395813
82,0.1854145,0.74701744,"('industrious', 'meek')",-1.0826968,-1.2675155,-0.4486411511898041,-0.2602490484714508,0.18839210271835327
79,-0.18320587,-0.1523214,"('determined', 'doubtful')",-0.38455775,-0.47758716,-0.283881813287735,-0.3149542808532715,-0.0310724675655365
91,0.16887982,0.66650236,"('resilient', 'nonresilient')",0.37363756,0.4343726,0.271258682012558,0.5504374504089355,0.27917876839637756
69,-0.14762205,0.005206108,"('wise', 'foolish')",-1.3220843,-1.4576652,-0.7348531484603882,-0.7262295484542847,0.008623600006103516
56,0.14494185,0.067712024,"('intelligent', 'dumb')",-0.36053443,-0.527613,-0.10779628902673721,-0.22995048761367798,-0.12215419858694077
37,0.13082105,0.69178694,"('good', 'evil')",-0.764863,-0.8875597,-0.317020982503891,-0.09788638353347778,0.2191345989704132
45,0.12961578,-0.7021859,"('cooperative', 'exploitative')",0.3947837,0.18357486,0.2621997594833374,-0.25930553674697876,-0.5215052962303162
89,0.12004852,-0.48895544,"('daring', 'anxious')",1.1474065,1.185153,0.633727490901947,0.3480987846851349,-0.28562870621681213
102,0.11835116,-0.041956276,"('eminent', 'low')",-0.10969153,-0.147082,0.00432981550693512,-0.09451913833618164,-0.09884895384311676
101,-0.09750082,-0.2813838,"('successful', 'unsuccessful')",0.05089678,0.13499393,-0.023302022367715836,-0.0731949433684349,-0.04989292100071907
88,0.057104915,0.59333026,"('impulsive', 'meek')",-1.4205189,-1.3314326,-0.681706964969635,-0.36905115842819214,0.31265580654144287
20,-0.052708656,0.41339287,"('popular', 'unpopular')",-0.022037,0.09157199,-0.03737282752990723,0.25248241424560547,0.2898552417755127
83,0.030585274,-0.5353548,"('energetic', 'lethargic')",-0.07245603,0.007272899,-0.020935378968715668,-0.2640409469604492,-0.24310556799173355
55,-0.027756333,-0.078663826,"('intelligent', 'unintelligent')",1.3650928,1.4533029,0.6686682105064392,0.6873195171356201,0.018651306629180908
26,-0.024017602,-0.20962371,"('trustworthy', 'untrustworthy')",0.15021811,0.2749195,0.06310025602579117,0.03264790028333664,-0.03045235574245453
93,0.02079609,-0.4581173,"('dominating', 'dominated')",0.78489494,0.91306853,0.40284550189971924,0.2274756133556366,-0.17536988854408264
24,-0.015105516,-0.18809342,"('thoughtful', 'rough')",0.47006077,0.4010115,0.22747762501239777,0.10645903646945953,-0.12101858854293823
96,0.0073179603,-0.12510759,"('powerful', 'powerless')",0.6762069,0.5987501,0.3417624235153198,0.2368212640285492,-0.10494115948677063
59,-0.00097578764,0.4127935,"('skillful', 'clumsy')",-0.7103753,-0.5716029,-0.3556755483150482,-0.07940469682216644,0.2762708514928818
