,jabil_male,jabil_female,tuple,average_male,average_female,female-male
25,1.2046934,1.2453222,"('moral', 'immoral')",1.2046934366226196,1.2453222274780273,0.040628790855407715
107,1.1935501,1.2602181,"('conventional', 'modern')",1.1935501098632812,1.2602181434631348,0.06666803359985352
0,1.1889799,1.3722777,"('sociable', 'unsociable')",1.1889798641204834,1.3722777366638184,0.18329787254333496
60,1.1859674,1.4122632,"('educated', 'uneducated')",1.1859674453735352,1.4122631549835205,0.22629570960998535
23,-1.1795559,-1.0041094,"('hospitable', 'inhospitable')",-1.179555892944336,-1.0041093826293945,0.1754465103149414
79,1.1300414,1.3079295,"('determined', 'doubtful')",1.1300413608551025,1.307929515838623,0.1778881549835205
27,1.1284956,1.488009,"('sincere', 'insincere')",1.1284955739974976,1.488008975982666,0.35951340198516846
35,-1.091273,-0.92451966,"('fair', 'unfair')",-1.0912729501724243,-0.9245196580886841,0.16675329208374023
36,1.078305,1.2293868,"('tolerant', 'intolerant')",1.0783050060272217,1.229386806488037,0.15108180046081543
67,-1.0565109,-1.1590984,"('discriminating', 'undiscriminating')",-1.0565109252929688,-1.1590983867645264,-0.10258746147155762
55,1.0229996,1.2327541,"('intelligent', 'unintelligent')",1.02299964427948,1.232754111289978,0.20975446701049805
66,1.0162917,0.95035166,"('imaginative', 'unimaginative')",1.0162917375564575,0.9503516554832458,-0.06594008207321167
9,1.01412,1.1013424,"('sensitive', 'insensitive')",1.0141199827194214,1.1013424396514893,0.08722245693206787
89,0.99691576,1.0035596,"('daring', 'anxious')",0.9969157576560974,1.0035595893859863,0.006643831729888916
33,-0.9840821,-0.80983853,"('softhearted', 'hardhearted')",-0.9840821027755737,-0.8098385334014893,0.17424356937408447
1,-0.9786332,-0.7615012,"('friendly', 'unfriendly')",-0.9786332249641418,-0.7615011930465698,0.21713203191757202
37,-0.9677485,-1.1376464,"('good', 'evil')",-0.9677485227584839,-1.1376464366912842,-0.1698979139328003
49,0.9540343,1.0836542,"('responsible', 'irresponsible')",0.9540343284606934,1.0836541652679443,0.12961983680725098
73,0.93868273,0.8495499,"('brilliant', 'incompetent')",0.9386827349662781,0.8495498895645142,-0.08913284540176392
46,0.9298458,0.8526112,"('generous', 'stingy')",0.9298458099365234,0.8526111841201782,-0.07723462581634521
95,-0.8873807,-0.50586116,"('rich', 'poor')",-0.8873807191848755,-0.5058611631393433,0.3815195560455322
32,-0.8811054,-0.82391346,"('benevolent', 'hardhearted')",-0.8811054229736328,-0.8239134550094604,0.05719196796417236
29,0.8797164,1.0151272,"('honest', 'immoral')",0.8797163963317871,1.015127182006836,0.13541078567504883
45,0.8614812,0.7076223,"('cooperative', 'exploitative')",0.8614811897277832,0.7076222896575928,-0.15385890007019043
85,0.85458016,0.76604563,"('ambitious', 'unambitious')",0.8545801639556885,0.7660456299781799,-0.08853453397750854
59,-0.8496499,-0.76931727,"('skillful', 'clumsy')",-0.8496499061584473,-0.7693172693252563,0.08033263683319092
93,0.84948826,0.9313629,"('dominating', 'dominated')",0.8494882583618164,0.9313629269599915,0.08187466859817505
51,0.8074737,0.71163535,"('competent', 'incompetent')",0.8074737191200256,0.7116353511810303,-0.09583836793899536
24,0.7934286,0.66211116,"('thoughtful', 'rough')",0.7934285998344421,0.6621111631393433,-0.13131743669509888
74,0.78847635,1.0447999,"('insightful', 'unperceptive')",0.7884763479232788,1.0447999238967896,0.25632357597351074
10,-0.76959217,-0.40880853,"('affectionate', 'unaffectionate')",-0.7695921659469604,-0.40880852937698364,0.3607836365699768
83,0.76232326,0.7411182,"('energetic', 'lethargic')",0.762323260307312,0.7411181926727295,-0.02120506763458252
17,0.74424624,0.7475028,"('social', 'antisocial')",0.744246244430542,0.7475028038024902,0.003256559371948242
100,0.7254349,0.9628015,"('influential', 'uninfluential')",0.7254348993301392,0.9628015160560608,0.23736661672592163
106,0.6939008,0.57965046,"('conventional', 'unconventional')",0.6939008235931396,0.5796504616737366,-0.11425036191940308
62,-0.6828589,-0.45461613,"('creative', 'uncreative')",-0.6828588843345642,-0.45461612939834595,0.22824275493621826
88,-0.68219614,-0.84602726,"('impulsive', 'meek')",-0.6821961402893066,-0.8460272550582886,-0.16383111476898193
77,0.67333806,0.8075782,"('active', 'inactive')",0.6733380556106567,0.8075782060623169,0.13424015045166016
30,0.66206527,0.8444032,"('honest', 'dishonest')",0.6620652675628662,0.8444032073020935,0.1823379397392273
70,0.6615001,0.7904328,"('wise', 'unwise')",0.661500096321106,0.7904328107833862,0.12893271446228027
14,0.63710827,0.56537294,"('supportive', 'unsupportive')",0.6371082663536072,0.5653729438781738,-0.07173532247543335
39,-0.6262779,-0.49697506,"('right', 'wrong')",-0.6262779235839844,-0.4969750642776489,0.12930285930633545
57,-0.6124603,-0.48130614,"('able', 'unable')",-0.6124603152275085,-0.48130613565444946,0.13115417957305908
18,0.59877217,0.54962486,"('social', 'asocial')",0.5987721681594849,0.5496248602867126,-0.04914730787277222
102,-0.5782371,-0.29432982,"('eminent', 'low')",-0.5782371163368225,-0.29432982206344604,0.28390729427337646
34,0.57197714,0.8412755,"('loyal', 'disloyal')",0.5719771385192871,0.8412755131721497,0.26929837465286255
53,-0.5503085,-0.30584753,"('smart', 'stupid')",-0.5503085255622864,-0.30584752559661865,0.24446099996566772
101,-0.5113708,-0.20206338,"('successful', 'unsuccessful')",-0.5113707780838013,-0.20206338167190552,0.30930739641189575
48,0.509514,0.25861716,"('reliable', 'unreliable')",0.5095139741897583,0.2586171627044678,-0.2508968114852905
28,-0.5036621,-0.105295,"('honest', 'dishonest')",-0.503662109375,-0.10529500246047974,0.39836710691452026
96,0.50337625,0.46273977,"('powerful', 'powerless')",0.5033762454986572,0.4627397656440735,-0.04063647985458374
68,-0.49733272,-0.67678654,"('clever', 'inept')",-0.49733272194862366,-0.6767865419387817,-0.17945381999015808
47,0.48294973,0.41138443,"('forgiving', 'unforgiving')",0.48294973373413086,0.4113844335079193,-0.07156530022621155
43,0.46277285,0.6781056,"('genuine', 'fake')",0.46277284622192383,0.6781055927276611,0.2153327465057373
21,0.4610714,0.39474005,"('nice', 'nasty')",0.4610714018344879,0.3947400450706482,-0.06633135676383972
11,-0.4532409,-0.1732989,"('caring', 'unaffectionate')",-0.45324090123176575,-0.1732988953590393,0.27994200587272644
87,0.4512135,0.43251878,"('dedicated', 'undedicated')",0.4512135088443756,0.43251878023147583,-0.01869472861289978
22,-0.44902384,-0.57402176,"('welcoming', 'disagreeable')",-0.4490238428115845,-0.5740217566490173,-0.12499791383743286
105,-0.41731232,-0.530283,"('conventional', 'modern')",-0.4173123240470886,-0.5302829742431641,-0.11297065019607544
3,0.41557217,0.57552683,"('likable', 'unlikable')",0.4155721664428711,0.5755268335342407,0.15995466709136963
104,-0.40864158,-0.3324598,"('conventional', 'unconventional')",-0.4086415767669678,-0.33245980739593506,0.07618176937103271
97,-0.40124577,-0.10624487,"('superior', 'inferior')",-0.40124577283859253,-0.10624486953020096,0.29500090330839157
54,-0.36598536,-0.44012696,"('smart', 'stupid')",-0.36598536372184753,-0.4401269555091858,-0.07414159178733826
40,-0.33637357,0.037818283,"('honorable', 'mean')",-0.33637356758117676,0.03781828284263611,0.37419185042381287
44,0.32614917,0.5151945,"('truthful', 'untruthful')",0.3261491656303406,0.5151944756507874,0.18904531002044678
91,0.322945,0.39087096,"('resilient', 'nonresilient')",0.3229449987411499,0.39087095856666565,0.06792595982551575
78,0.29015383,0.2636396,"('active', 'inactive')",0.290153831243515,0.2636395990848541,-0.02651423215866089
84,-0.27794224,-0.29276165,"('self-confident', 'diffident')",-0.2779422402381897,-0.2927616536617279,-0.014819413423538208
56,-0.27104786,-0.21688043,"('intelligent', 'dumb')",-0.2710478603839874,-0.2168804258108139,0.05416743457317352
72,0.16929337,0.39224568,"('logical', 'illogical')",0.1692933738231659,0.39224568009376526,0.22295230627059937
110,0.15826494,-0.15516964,"('narrow-minded', 'open-minded')",0.15826493501663208,-0.15516963601112366,-0.31343457102775574
80,-0.121273875,-0.06595343,"('independent', 'dependent')",-0.12127387523651123,-0.06595343351364136,0.05532044172286987
6,-0.120723724,-0.47394997,"('liked', 'disliked')",-0.12072372436523438,-0.47394996881484985,-0.3532262444496155
86,0.07825136,-0.25885668,"('self-reliant', 'helpless')",0.07825136184692383,-0.2588566839694977,-0.3371080458164215
58,0.06657615,0.41250637,"('able', 'clumsy')",0.06657615303993225,0.4125063717365265,0.34593021869659424
50,-0.033954293,-0.29006064,"('unprejudiced', 'prejudiced')",-0.03395429253578186,-0.2900606393814087,-0.25610634684562683
26,-0.019533634,0.12461454,"('trustworthy', 'untrustworthy')",-0.019533634185791016,0.12461453676223755,0.14414817094802856
38,0.00057530403,0.21794674,"('kind', 'unkind')",0.0005753040313720703,0.21794673800468445,0.21737143397331238
