,Dimension,P-Value M vs. F Firm Embedding,P-Value Delta Firm vs. Delta Random Embedding,Mean Firm,Mean Random,Mean Male,Mean Female,Mean Firm vs. Mean Random,Dictionary
15,"('boring', 'funny')",0.0,0.0,-0.03771142915601023,-0.12582485175,0.3782078916879795,0.3404964625319693,0.08811342259398977,Sociability
16,"('unpopular', 'popular')",0.0,0.0,-0.21309628069053713,-0.10775041,0.39110635179028136,0.17801007109974426,-0.10534587069053712,Sociability
17,"('nasty', 'nice')",0.0,0.0,0.3142918755754476,0.25743232850000003,0.014535732864450129,0.32882760843989767,0.05685954707544755,Sociability
18,"('disagreeable', 'welcoming')",0.0,0.0,0.8395963028132993,0.8008077378749999,0.37988442122762145,1.2194807240409207,0.03878856493829941,Sociability
19,"('inhospitable', 'hospitable')",0.0,0.0,-0.40980511342711007,-0.3194833595,0.3849182168797954,-0.024886896547314578,-0.09032175392711006,Sociability
20,"('rough', 'thoughtful')",0.00271,0.0024,0.024083821227621486,0.03491418675,-0.32434094450127876,-0.30025712327365733,-0.010830365522378513,Sociability
21,"('immoral', 'moral')",0.0,0.0,-0.46445519526854223,-0.58317379575,0.5124771574168798,0.048021962148337594,0.11871860048145771,Morality
22,"('untrustworthy', 'trustworthy')",0.0,0.0,0.12810141675191816,0.01327318425,0.16834308593350383,0.296444502685422,0.11482823250191816,Morality
23,"('insincere', 'sincere')",0.0,0.0,0.03907519117647058,-0.032484299375,0.9674400896419436,1.0065152808184143,0.07155949055147058,Morality
24,"('dishonest', 'honest')",0.84388,0.0,0.0011939925831202089,-0.088278894875,1.629017311892583,1.6302113044757034,0.08947288745812021,Morality
25,"('egoistic', 'altruistic')",0.0,0.0,0.19397817404092071,0.249158988125,0.7428252897698208,0.9368034638107418,-0.055180814084079294,Morality
26,"('hardhearted', 'benevolent')",0.0,0.0,0.5932049038363172,0.45279000037500006,0.26177490588235297,0.85497980971867,0.14041490346131713,Morality
27,"('hardhearted', 'softhearted')",0.0,0.0,0.7160045092071611,0.76524372925,0.6692578011508951,1.3852623103580561,-0.04923922004283887,Morality
28,"('disloyal', 'loyal')",0.0,0.0,-0.30176906048593355,-0.35055424825000003,0.512741758056266,0.2109726975703325,0.048785187764066484,Morality
29,"('unfair', 'fair')",0.0,3e-05,0.6494640565217391,0.6371898850000001,-1.3226765248081842,-0.673212468286445,0.012274171521739041,Morality
30,"('intolerant', 'tolerant')",0.06772,0.0,0.013626288363171351,-0.07730341037499999,0.5037474716112532,0.5173737599744246,0.09092969873817135,Morality
31,"('evil', 'good')",0.73112,0.04723,0.002683213682864451,0.010625074374999998,-0.22636959437340157,-0.2236863806905371,-0.007941860692135547,Morality
32,"('unkind', 'kind')",0.0,0.0,-0.04628472851662405,-0.16580479650000002,1.7905240400255757,1.7442393115089512,0.11952006798337597,Morality
33,"('wrong', 'right')",0.0,0.0,0.7302232214833758,0.771344909125,-0.21506527506393863,0.5151579464194374,-0.04112168764162416,Morality
34,"('mean', 'honorable')",0.0,0.0,-0.2666359985933504,-0.340794964125,0.5132722498721228,0.2466362512787724,0.07415896553164958,Morality
35,"('corrupt', 'incorrupt')",0.50649,0.0,0.006844112787723784,0.16708244174999998,-0.7868088579283887,-0.7799647451406649,-0.1602383289622762,Morality
36,"('hostile', 'amicable')",0.0,0.0,0.26882776713554984,0.387587463375,0.38883845562659847,0.6576662227621484,-0.11875969623945015,Morality
37,"('fake', 'genuine')",0.0,0.0,-0.1565607874680307,-0.13719447075000002,0.7982477335038363,0.6416869460358056,-0.019366316718030685,Morality
38,"('untruthful', 'truthful')",0.0,0.0,0.06576392608695653,0.020789737749999995,0.2056294378516624,0.2713933639386189,0.04497418833695653,Morality
39,"('exploitative', 'cooperative')",0.0,0.0,0.3644360162404092,0.45225880674999996,0.2959824910485933,0.6604185072890025,-0.08782279050959074,Morality
40,"('stingy', 'generous')",0.0,0.0,-0.3177028902813299,-0.2941322235,0.6747962635549872,0.3570933732736573,-0.023570666781329908,Morality
41,"('unforgiving', 'forgiving')",0.0,0.0,-0.36281525856777497,-0.49663581687499997,0.6884918173913043,0.3256765588235294,0.133820558307225,Morality
42,"('unreliable', 'reliable')",0.0,0.0,0.4142975698209718,0.3486783115,0.2395542304347826,0.6538518002557544,0.06561925832097182,Morality
43,"('irresponsible', 'responsible')",0.0,0.0,0.17600121662404095,0.079644075875,0.8433901529411766,1.0193913695652173,0.09635714074904095,Morality
44,"('prejudiced', 'unprejudiced')",0.0,0.0,-0.3348362777493606,-0.34998597374999996,-0.9907795542199489,-1.3256158319693097,0.015149696000639368,Morality
45,"('incompetent', 'competent')",0.00046,0.0,0.04433654245524296,-0.06310442399999999,0.37012704705882354,0.41446358951406653,0.10744096645524295,Ability
46,"('uncompetitive', 'competitive')",0.00085,0.0,-0.03158887762148337,-0.0800229765,-0.24210543823529412,-0.2736943158567775,0.04843409887851662,Ability
47,"('stupid', 'smart')",0.0,0.0,-0.34234723554987206,-0.383621022,0.7423062392583121,0.3999590037084399,0.041273786450127914,Ability
48,"('unintelligent', 'intelligent')",0.0,0.0,-0.30751703196930946,-0.380729029875,0.6908171001278772,0.3833000681585677,0.07321199790569055,Ability
49,"('unable', 'able')",0.0,0.04577,0.8395508855498721,0.832777466375,-0.29372476982097184,0.5458261157289003,0.006773419174872064,Ability
50,"('clumsy', 'skillful')",0.0,0.0,-0.06646397583120203,0.037877754,0.4246241416879796,0.3581601658567775,-0.10434172983120203,Ability
51,"('uneducated', 'educated')",0.0,0.0,-0.3131311647058823,-0.25475810925000003,0.3837145411764706,0.07058337647058822,-0.05837305545588228,Ability
52,"('irrational', 'rational')",0.00035,0.0,-0.03305135907928388,0.054401227999999996,0.4575779015345269,0.42452654245524296,-0.08745258707928388,Ability
53,"('uncreative', 'creative')",0.0,0.0,0.2997771787723785,0.39564649700000004,1.0173744154731457,1.317151594245524,-0.09586931822762151,Ability
54,"('incapable', 'capable')",0.0,0.0,-0.6938583103580563,-0.637396313125,1.6812983062659845,0.9874399959079282,-0.05646199723305634,Ability
55,"('incompetent', 'clever')",0.0,0.0,0.1745106586956522,0.040368195,0.0166444358056266,0.19115509450127877,0.1341424636956522,Ability
56,"('impractical', 'practical')",0.0,0.0,0.4026271296675192,0.19254243824999995,0.3864023847826087,0.7890295144501279,0.21008469141751923,Ability
57,"('unimaginative', 'imaginative')",0.0,0.60232,-0.3225449051150895,-0.32020977799999994,0.6224253993606138,0.2998804942455243,-0.0023351271150895414,Ability
58,"('undiscriminating', 'discriminating')",0.0,0.0,-0.3057763723785166,-0.27212193175,0.7011498336317135,0.39537346125319695,-0.033654440628516635,Ability
59,"('foolish', 'wise')",0.0,0.0,-0.06867379232736572,0.089741245875,0.2981270956521739,0.22945330332480815,-0.15841503820236572,Ability
60,"('inefficient', 'efficient')",0.0,0.0,0.5184956774936061,0.319991321625,-0.17112812915601025,0.34736754833759587,0.19850435586860615,Ability
61,"('illogical', 'logical')",0.0,0.0,0.3873538815856778,0.325230413125,-0.503166984910486,-0.11581310332480818,0.06212346846067779,Ability
62,"('incompetent', 'brilliant')",0.0,0.0,0.05683328772378516,0.013206198375,0.29583825997442453,0.3526715476982097,0.04362708934878516,Ability
63,"('unperceptive', 'insightful')",0.0,0.0,-0.1712606487212276,-0.12784283999999999,0.8090962636828646,0.6378356149616369,-0.04341780872122761,Ability
64,"('shy', 'confident')",0.0,0.00164,-0.5761555960358056,-0.565342160625,-0.7592603075447572,-1.3354159035805628,-0.010813435410805594,Agency
65,"('insecure', 'secure')",0.0,0.0,-0.7391999774936061,-0.8272624415,-0.03154741227621483,-0.770747389769821,0.08806246400639384,Agency
66,"('inactive', 'active')",0.0,0.0,-0.07669668427109974,0.010208934375000001,-0.09585760089514066,-0.1725542851662404,-0.08690561864609975,Agency
67,"('doubtful', 'determined')",0.0,0.0,0.2936163971867008,0.157250154125,-0.9891498497442456,-0.6955334525575447,0.13636624306170078,Agency
68,"('dependent', 'independent')",0.0,0.0,0.05130262698209719,0.18769035212500002,-0.28398629987212276,-0.2326836728900256,-0.13638772514290282,Agency
69,"('lazy', 'industrious')",0.0,0.0,0.6977314584398976,0.6751215238749999,-1.0455237345268542,-0.34779227608695645,0.022609934564897682,Agency
70,"('lethargic', 'energetic')",0.0,0.0,0.16456665728900255,0.140578131,0.8839584648337596,1.0485251221227623,0.023988526289002554,Agency
71,"('diffident', 'self-confident')",0.0,0.0,0.33476010971867004,0.20943558924999997,-0.061865495140664965,0.27289461457800507,0.12532452046867007,Agency
72,"('unambitious', 'ambitious')",0.0,0.0,-0.5446418056265985,-0.605832972625,0.891760109590793,0.34711830396419435,0.06119116699840155,Agency
73,"('helpless', 'self-reliant')",0.0,0.0,-0.12633134437340154,0.04005205074999999,0.579105952685422,0.4527746083120205,-0.16638339512340153,Agency
74,"('undedicated', 'dedicated')",0.0,0.0,1.1889596370843991,1.1057300283749998,0.4018756379795396,1.5908352750639387,0.08322960870939933,Agency
75,"('meek', 'impulsive')",0.0,0.0,-0.8406962239130435,-0.6439832258749999,0.4043550569053709,-0.43634116700767267,-0.19671299803804365,Agency
76,"('anxious', 'daring')",0.0,0.04298,-0.17230628094629155,-0.16503306674999998,0.5493718108695652,0.3770655299232736,-0.007273214196291566,Agency
77,"('unmotivated', 'motivated')",0.0,0.0,-0.4674298878516624,-0.5229532622499999,-0.2377750502557545,-0.7052049381074168,0.055523374398337544,Agency
78,"('nonresilient', 'resilient')",0.0,0.0,0.6469251925831202,0.50795464225,-0.9993314116368286,-0.3524062190537085,0.13897055033312022,Agency
79,"('wavering', 'unwavering')",0.0,0.0,-0.09325788171355498,-0.05019088,0.572151371483376,0.4788934897698209,-0.04306700171355498,Agency
80,"('dominated', 'dominating')",0.0,0.0,-0.5330094997442455,-0.5800985656250001,-0.563266801023018,-1.0962763007672636,0.047089065880754566,Agency
81,"('submissive', 'aggressive')",0.0,0.0,-1.5905794191815856,-1.6308749697500002,0.8512799969309464,-0.7392994222506395,0.040295550568414606,Agency
82,"('poor', 'rich')",0.0,0.01917,-0.7470611062659848,-0.7371336058750001,1.4419216737851661,0.6948605675191816,-0.009927500390984667,Status
83,"('powerless', 'powerful')",0.0,0.0,0.13553948081841433,0.1083220225,-0.6591739712276217,-0.5236344904092072,0.027217458318414323,Status
84,"('inferior', 'superior')",0.0,0.0,-0.3598377393861893,-0.336792213,-0.055913159590792835,-0.41575089897698214,-0.023045526386189286,Status
85,"('insignificant', 'prestigious')",0.3072,0.0,-0.013838919437340155,0.18493795762499998,1.3802434890025574,1.3664045695652174,-0.19877687706234015,Status
86,"('uninfluential', 'influential')",0.0,0.0,0.2933237240409207,0.22645229749999998,0.3464763781329923,0.639800102173913,0.06687142654092074,Status
87,"('unsuccessful', 'successful')",0.0,0.0,-0.46870352749360616,-0.42213650175,0.13231875140664962,-0.33638477608695644,-0.04656702574360616,Status
88,"('low', 'eminent')",0.0,0.0,-0.2619646140664962,-0.17412638837499997,1.1721337460358057,0.9101691319693095,-0.08783822569149621,Status
