,directv_male,directv_female,tuple,average_male,average_female,male-female
54,0.54127693,0.66867226,"('incapable', 'capable')",0.5412769,0.6686723,-0.1273954
74,0.5275568,0.4598786,"('undedicated', 'dedicated')",0.5275568,0.4598786,0.0676782
39,0.52066314,0.5270588,"('exploitative', 'cooperative')",0.5206631,0.5270588,-0.0063957
37,0.5107296,0.20810162,"('fake', 'genuine')",0.5107296,0.2081016,0.302628
32,0.50757605,0.48793915,"('unkind', 'kind')",0.507576,0.4879391,0.0196369
8,-0.4975272,-0.48777187,"('unaffectionate', 'affectionate')",-0.4975272,-0.4877719,-0.0097553
6,-0.48721865,-0.6374741,"('distant', 'open')",-0.4872186,-0.6374741,0.1502555
14,0.46306983,0.47248748,"('antisocial', 'social')",0.4630698,0.4724875,-0.0094177
67,0.44901913,0.4287193,"('doubtful', 'determined')",0.4490191,0.4287193,0.0202998
25,0.4359965,0.650897,"('egoistic', 'altruistic')",0.4359965,0.650897,-0.2149005
69,-0.4337443,-0.49263424,"('lazy', 'industrious')",-0.4337443,-0.4926342,0.0588899
76,0.4247453,0.38863188,"('anxious', 'daring')",0.4247453,0.3886319,0.0361134
65,0.4193756,0.24096315,"('insecure', 'secure')",0.4193756,0.2409631,0.1784125
48,0.40623784,0.5056645,"('unintelligent', 'intelligent')",0.4062378,0.5056645,-0.0994267
75,-0.4025717,-0.56335765,"('meek', 'impulsive')",-0.4025717,-0.5633577,0.160786
38,0.39777413,0.325486,"('untruthful', 'truthful')",0.3977741,0.325486,0.0722881
52,-0.37762308,-0.22891332,"('irrational', 'rational')",-0.3776231,-0.2289133,-0.1487098
88,-0.3660074,0.10880957,"('low', 'eminent')",-0.3660074,0.1088096,-0.474817
71,0.34801847,0.239505,"('diffident', 'self-confident')",0.3480185,0.239505,0.1085135
5,-0.34380376,-0.52350783,"('distant', 'outgoing')",-0.3438038,-0.5235078,0.179704
33,0.3355427,0.21660173,"('wrong', 'right')",0.3355427,0.2166017,0.118941
80,0.30201882,0.29357588,"('dominated', 'dominating')",0.3020188,0.2935759,0.0084429
9,0.30062106,0.01405248,"('unaffectionate', 'caring')",0.3006211,0.0140525,0.2865686
66,0.28813502,-0.06959598,"('inactive', 'active')",0.288135,-0.069596,0.357731
77,-0.2804162,-0.2553661,"('unmotivated', 'motivated')",-0.2804162,-0.2553661,-0.0250501
21,-0.2565123,0.06634141,"('immoral', 'moral')",-0.2565123,0.0663414,-0.3228537
53,0.25448447,0.13227761,"('uncreative', 'creative')",0.2544845,0.1322776,0.1222069
79,-0.24623026,-0.10779388,"('wavering', 'unwavering')",-0.2462303,-0.1077939,-0.1384364
51,-0.22607121,-0.0067316703,"('uneducated', 'educated')",-0.2260712,-0.0067317,-0.2193395
29,0.21576075,-0.060652778,"('unfair', 'fair')",0.2157608,-0.0606528,0.2764136
22,-0.2011437,-0.48547125,"('untrustworthy', 'trustworthy')",-0.2011437,-0.4854712,0.2843275
3,0.17279291,0.2516192,"('repellent', 'pleasant')",0.1727929,0.2516192,-0.0788263
19,-0.17168266,-0.064791806,"('inhospitable', 'hospitable')",-0.1716827,-0.0647918,-0.1068909
59,0.15190654,0.3037228,"('foolish', 'wise')",0.1519065,0.3037228,-0.1518163
81,0.14335743,0.45160568,"('submissive', 'aggressive')",0.1433574,0.4516057,-0.3082483
13,0.123887345,-0.18525717,"('impolite', 'polite')",0.1238873,-0.1852572,0.3091445
10,-0.122973494,-0.35871062,"('unsympathetic', 'sympathetic')",-0.1229735,-0.3587106,0.2357371
0,-0.105170995,-0.30255577,"('unsociable', 'sociable')",-0.105171,-0.3025558,0.1973848
50,-0.095488,-0.026526935,"('clumsy', 'skillful')",-0.095488,-0.0265269,-0.0689611
46,-0.09363088,-0.45518345,"('uncompetitive', 'competitive')",-0.0936309,-0.4551834,0.3615525
27,0.089913286,0.002797862,"('hardhearted', 'softhearted')",0.0899133,0.0027979,0.0871154
20,0.07477849,-0.059706286,"('rough', 'thoughtful')",0.0747785,-0.0597063,0.1344848
83,0.06653157,-0.057232775,"('powerless', 'powerful')",0.0665316,-0.0572328,0.1237644
72,0.060124002,-0.09310082,"('unambitious', 'ambitious')",0.060124,-0.0931008,0.1532248
86,-0.05032538,0.02757049,"('uninfluential', 'influential')",-0.0503254,0.0275705,-0.0778959
49,-0.02558449,-0.005198233,"('unable', 'able')",-0.0255845,-0.0051982,-0.0203863
